sex,biomarker_status,panel_source_model,performance_model,performance_auroc,performance_ci_lo,performance_ci_hi,n,omics,feature,loading,rank_within_block
female,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.46615581098339715,0.3149665802727803,0.617345041694014,56,transcriptomics_gene,ENSG00000100246,-0.05155640531607539,13
female,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.46615581098339715,0.3149665802727803,0.617345041694014,56,transcriptomics_gene,ENSG00000099251,0.02295399569947851,14
female,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.46615581098339715,0.3149665802727803,0.617345041694014,56,transcriptomics_gene,ENSG00000229358,0.00356674706830901,15
female,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.46615581098339715,0.3149665802727803,0.617345041694014,56,methylation_CpG,cg26365776,0.6676821887193687,1
female,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.46615581098339715,0.3149665802727803,0.617345041694014,56,methylation_CpG,cg25982883,0.4863478918880648,2
female,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.46615581098339715,0.3149665802727803,0.617345041694014,56,methylation_CpG,cg11685432,0.3624861776910728,3
female,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.46615581098339715,0.3149665802727803,0.617345041694014,56,methylation_CpG,cg14199570,0.2578050693780331,4
female,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.46615581098339715,0.3149665802727803,0.617345041694014,56,methylation_CpG,cg12594366,0.238669158013516,5
female,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.46615581098339715,0.3149665802727803,0.617345041694014,56,methylation_CpG,cg25755875,0.14228200229689236,6
female,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.46615581098339715,0.3149665802727803,0.617345041694014,56,methylation_CpG,cg05830240,0.13286596855191765,7
female,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.46615581098339715,0.3149665802727803,0.617345041694014,56,methylation_CpG,cg20500404,0.11690497685477384,8
female,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.46615581098339715,0.3149665802727803,0.617345041694014,56,methylation_CpG,cg19358589,0.06761378075730283,9
female,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.46615581098339715,0.3149665802727803,0.617345041694014,56,methylation_CpG,cg04645160,0.05354033362077522,10
female,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.46615581098339715,0.3149665802727803,0.617345041694014,56,methylation_CpG,cg14323204,0.05024231258003223,11
female,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.46615581098339715,0.3149665802727803,0.617345041694014,56,methylation_CpG,cg16197684,0.02731051126620935,12
female,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.46615581098339715,0.3149665802727803,0.617345041694014,56,methylation_CpG,cg25602071,0.02187510012546144,13
female,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.46615581098339715,0.3149665802727803,0.617345041694014,56,methylation_CpG,cg08541601,0.00750217169588721,14
female,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.46615581098339715,0.3149665802727803,0.617345041694014,56,methylation_CpG,cg16084822,0.00600986476709497,15
male,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.5227272727272727,0.27342157647960597,0.7720329689749394,23,transcriptomics_gene,ENSG00000162191,-0.5506185395384485,1
male,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.5227272727272727,0.27342157647960597,0.7720329689749394,23,transcriptomics_gene,ENSG00000175054,0.4664598338310624,2
male,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.5227272727272727,0.27342157647960597,0.7720329689749394,23,transcriptomics_gene,ENSG00000213533,0.3164229520665431,3
male,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.5227272727272727,0.27342157647960597,0.7720329689749394,23,transcriptomics_gene,ENSG00000259343,-0.3151523329217284,4
male,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.5227272727272727,0.27342157647960597,0.7720329689749394,23,transcriptomics_gene,ENSG00000146263,0.26088107793953214,5
male,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.5227272727272727,0.27342157647960597,0.7720329689749394,23,transcriptomics_gene,ENSG00000182158,0.25236086148153275,6
male,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.5227272727272727,0.27342157647960597,0.7720329689749394,23,transcriptomics_gene,ENSG00000131507,-0.1853051676934552,7
male,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.5227272727272727,0.27342157647960597,0.7720329689749394,23,transcriptomics_gene,ENSG00000240230,0.15235276070128745,8
male,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.5227272727272727,0.27342157647960597,0.7720329689749394,23,transcriptomics_gene,ENSG00000143442,0.15056593590602094,9
male,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.5227272727272727,0.27342157647960597,0.7720329689749394,23,transcriptomics_gene,ENSG00000106605,-0.14356423841114327,10
male,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.5227272727272727,0.27342157647960597,0.7720329689749394,23,transcriptomics_gene,ENSG00000170325,0.13671255508423666,11
male,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.5227272727272727,0.27342157647960597,0.7720329689749394,23,transcriptomics_gene,ENSG00000130940,0.12369408207081214,12
male,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.5227272727272727,0.27342157647960597,0.7720329689749394,23,transcriptomics_gene,ENSG00000165609,0.0998477820895868,13
male,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.5227272727272727,0.27342157647960597,0.7720329689749394,23,transcriptomics_gene,ENSG00000230626,-0.05605715797344648,14
male,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.5227272727272727,0.27342157647960597,0.7720329689749394,23,transcriptomics_gene,ENSG00000237788,0.01059881528448824,15
male,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.5227272727272727,0.27342157647960597,0.7720329689749394,23,methylation_CpG,cg02760103,-0.4989996569144635,1
male,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.5227272727272727,0.27342157647960597,0.7720329689749394,23,methylation_CpG,cg19180387,-0.45360104185396727,2
male,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.5227272727272727,0.27342157647960597,0.7720329689749394,23,methylation_CpG,cg24545315,-0.3891694459245392,3
male,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.5227272727272727,0.27342157647960597,0.7720329689749394,23,methylation_CpG,cg23630973,-0.3400280053642343,4
male,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.5227272727272727,0.27342157647960597,0.7720329689749394,23,methylation_CpG,cg25224232,-0.30633836816840254,5
male,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.5227272727272727,0.27342157647960597,0.7720329689749394,23,methylation_CpG,cg24874166,-0.2906848449257912,6
male,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.5227272727272727,0.27342157647960597,0.7720329689749394,23,methylation_CpG,cg09288844,-0.22290196485259697,7
male,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.5227272727272727,0.27342157647960597,0.7720329689749394,23,methylation_CpG,cg10735019,-0.12994288269491153,8
male,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.5227272727272727,0.27342157647960597,0.7720329689749394,23,methylation_CpG,cg23036605,-0.11153431158661144,9
male,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.5227272727272727,0.27342157647960597,0.7720329689749394,23,methylation_CpG,cg18220719,-0.07721197999982284,10
male,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.5227272727272727,0.27342157647960597,0.7720329689749394,23,methylation_CpG,cg08508745,-0.07504752954173644,11
male,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.5227272727272727,0.27342157647960597,0.7720329689749394,23,methylation_CpG,cg17061821,-0.06931255088408685,12
male,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.5227272727272727,0.27342157647960597,0.7720329689749394,23,methylation_CpG,cg21668964,-0.04066659572982894,13
male,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.5227272727272727,0.27342157647960597,0.7720329689749394,23,methylation_CpG,cg04599041,-0.04013831617252979,14
male,exploratory_not_significant,DIABLO,DIABLO (nested CV),0.5227272727272727,0.27342157647960597,0.7720329689749394,23,methylation_CpG,cg21828173,-0.03405012811780622,15
