sex,CpG,delta_M_response,p_response,fdr_response,n,Gene,Region,Island
female,cg00718382,-0.0365832001001235,0.642427639438377,0.926822882886378,56,LRIT3,Body,OpenSea
female,cg00718401,0.0684461152579352,0.416785786127916,0.896839789292066,56,CREB3L2,Body,OpenSea
female,cg00721086,-0.00245360540905801,0.971058529181667,0.994696535143109,56,CHRNA7,TSS1500,Island
female,cg00754947,0.060713390266559,0.484431002009908,0.901775961921074,56,GRB10,TSS1500,S_Shore
female,cg00762468,-0.0313860865251069,0.726770360689356,0.944071469068817,56,POLR3K,1stExon,Island
female,cg00781817,0.140571983891606,0.024309574568383,0.896622608361287,56,FANCC,Body,OpenSea
female,cg00787856,0.179719323439862,0.02603939720631,0.896622608361287,56,CASZ1,TSS1500,S_Shore
female,cg00808419,0.0362785155474568,0.57388302074567,0.914226882230319,56,PRDM10,Body,OpenSea
female,cg00842161,0.0116169275991702,0.875836928142621,0.97565808220422,56,CHD8,Body,OpenSea
female,cg00843973,-0.0308784142587722,0.703229464613077,0.939488522149354,56,GABARAPL1,Body,S_Shore
female,cg00894435,0.0861542678307687,0.332592453211371,0.896622608361287,56,SV2B,TSS1500,Island
female,cg00901940,0.0593972932550754,0.590389871923535,0.917138561060576,56,GRB10,5'UTR,OpenSea
female,cg00911981,0.0291373325849054,0.657126964922014,0.929874150701647,56,ATR,TSS200,Island
female,cg00925802,-0.0732747656552065,0.378794928562607,0.896622608361287,56,CASZ1,Body,OpenSea
female,cg00940243,0.0584421315412518,0.374120917202269,0.896622608361287,56,CREB3L2,Body,OpenSea
female,cg00950962,0.130120228864247,0.029512103766809,0.896622608361287,56,ATR,TSS1500,S_Shore
female,cg00955230,0.00431748676396387,0.961238935217126,0.992895085216081,56,RFC2,TSS1500,S_Shore
female,cg00958578,0.0483001474476261,0.598101742445044,0.91840954766116,56,SNRNP25,TSS200,Island
female,cg00969988,-0.0588813981713693,0.619911422286576,0.922671800817512,56,ATR,TSS200,Island
female,cg00992207,-0.0305954357434675,0.668178814477639,0.93227789675144,56,SNRNP25,3'UTR,N_Shelf
female,cg01003245,0.0292751134776915,0.744651321246348,0.947861606833123,56,POGZ,5'UTR,N_Shelf
female,cg01016030,0.0925490620006144,0.169405789411726,0.896622608361287,56,CASZ1,Body,N_Shelf
female,cg01018096,0.00281366100511942,0.976006187738074,0.99557459382667,56,FAM229B,TSS1500,N_Shore
female,cg01019444,0.0582529213501712,0.570200193054185,0.913757764979927,56,SV2B,5'UTR,OpenSea
female,cg01022171,-0.157969296319703,0.0697370386628278,0.896622608361287,56,TP53BP2,Body,Island
female,cg01049849,0.024624363250545,0.815043985033869,0.962784798538419,56,CASZ1,5'UTR,OpenSea
female,cg01062126,-0.0461082731587229,0.685345005383392,0.935684390235106,56,SNRNP25,Body,S_Shore
female,cg01070468,0.0442287697729326,0.566776384957563,0.913163469245725,56,FANCC,5'UTR,OpenSea
female,cg01070854,0.0347925891684402,0.711147195752708,0.941006416436112,56,DSP,Body,Island
female,cg01076035,0.123390624394712,0.150064940257062,0.896622608361287,56,KCTD9,TSS200,Island
female,cg01088571,-0.0925211669250626,0.740948701910959,0.947025029911472,56,FANCC,TSS1500,Island
female,cg01107157,0.0994094816762593,0.123441062970232,0.896622608361287,56,INTU,Body,OpenSea
female,cg01172735,0.0300772999498715,0.71963993804336,0.942424722878954,56,SESN2,Body,Island
female,cg01177190,0.0177029439809171,0.857649786340055,0.971621229677994,56,GRB10,Body,OpenSea
female,cg01188584,-0.0823937296085328,0.411415315268009,0.896787527627792,56,SNRNP25,5'UTR,Island
female,cg01228206,0.0395855171576726,0.564443923911139,0.912804543058605,56,CASZ1,5'UTR,S_Shelf
female,cg01237202,-0.0215652809865846,0.785239782517091,0.956305002817908,56,INTU,Body,OpenSea
female,cg01238073,0.0196225070078988,0.765549034110994,0.952308024783535,56,GRB10,5'UTR,OpenSea
female,cg01245423,0.00759697861311978,0.940370446519842,0.98874519305277,56,FANCC,TSS1500,Island
female,cg01259101,0.0321021830407376,0.705007025521627,0.939735783732545,56,SESN2,TSS200,N_Shore
female,cg01288377,0.0305618109810855,0.772852517017676,0.953892985937614,56,RFC2,Body,OpenSea
female,cg01326085,0.0886193492567611,0.382762634764491,0.896622608361287,56,LRIT3,TSS200,OpenSea
female,cg01399485,0.00334433139147329,0.95560652205065,0.991699076050819,56,CASZ1,Body,OpenSea
female,cg01421021,0.0215951261130368,0.767548104223468,0.952682728657825,56,CASZ1,Body,Island
female,cg01421380,0.122665176339429,0.0819975806332377,0.896622608361287,56,UBXN1,TSS1500,S_Shore
female,cg01437425,0.0527125835774981,0.661981381356474,0.930792023362483,56,CASZ1,5'UTR,OpenSea
female,cg01444413,0.0303454560889974,0.707247189787227,0.940252274450253,56,POGZ,Body,OpenSea
female,cg01448853,0.0634047626805384,0.369182841386227,0.896622608361287,56,GRB10,5'UTR,OpenSea
female,cg01451758,0.100511604456541,0.147518586938471,0.896622608361287,56,FANCC,Body,OpenSea
female,cg01495332,0.0870901750113598,0.398677790217857,0.896622608361287,56,GRB10,5'UTR,OpenSea
female,cg01515508,-0.0748595032643673,0.359899565968311,0.896622608361287,56,CASZ1,Body,S_Shelf
female,cg01538659,0.269767941514468,0.035657210846834,0.896622608361287,56,POGZ,TSS200,Island
female,cg01550887,0.0317845080375102,0.644419170264999,0.92724087843041,56,CASZ1,5'UTR,OpenSea
female,cg01557411,0.177197057414114,0.129376617655337,0.896622608361287,56,SESN2,Body,Island
female,cg01557844,-0.0337133801507959,0.778082572938797,0.954958789533126,56,POGZ,TSS200,Island
female,cg01566069,0.126727581798897,0.0782127825818617,0.896622608361287,56,TP53BP2,ExonBnd,OpenSea
female,cg01569001,-0.000348139940723473,0.997385447521087,0.999533203257757,56,SV2B,5'UTR,OpenSea
female,cg01577361,0.0442064779049643,0.565500432416316,0.912968701775184,56,CSRNP2,TSS200,Island
female,cg01581867,0.0155790052546768,0.868977976476355,0.974050972706112,56,BLVRA,TSS200,Island
female,cg01583769,-2.30304636332294e-05,0.999699262709746,0.999936417861877,56,C1QBP,Body,OpenSea
female,cg01589827,0.094842204852236,0.381775079523543,0.896622608361287,56,CASZ1,5'UTR,OpenSea
female,cg01604051,0.0453947927069839,0.561647120996794,0.912324235000199,56,GRB10,5'UTR,S_Shore
female,cg01610059,0.134805499742785,0.0851917835648777,0.896622608361287,56,GRB10,Body,OpenSea
female,cg01617437,0.114559562209609,0.0955485272109506,0.896622608361287,56,ATR,Body,OpenSea
female,cg01691411,0.0385952128596269,0.591806790027523,0.917420671002304,56,FANCC,TSS200,Island
female,cg01723142,-0.00939083085752944,0.960932137885793,0.992857946011507,56,NUDT5,5'UTR,N_Shore
female,cg01730181,0.0600894510138746,0.381274830113394,0.896622608361287,56,NUDT5,Body,OpenSea
female,cg01749252,-0.00342248263757301,0.977261015901068,0.995844739804838,56,GRB10,Body,OpenSea
female,cg01765238,-0.0409654436150638,0.649342440907678,0.92815511812834,56,GRB10,Body,OpenSea
female,cg01797680,0.102391108874022,0.108633352032409,0.896622608361287,56,CASZ1,Body,OpenSea
female,cg01821043,0.0988401584376101,0.291484629137786,0.896622608361287,56,CASZ1,5'UTR,S_Shore
female,cg01824138,0.0983961814671268,0.421378829793395,0.897117219388541,56,CASZ1,Body,Island
female,cg01838380,0.000852883061929285,0.993212576286072,0.998784781479952,56,NDFIP1,5'UTR,Island
female,cg01866434,0.0352525086704484,0.646434078693514,0.927579391276581,56,ANKRD55,Body,OpenSea
female,cg01867280,0.135177276671682,0.301841772396284,0.896622608361287,56,CDC123,Body,S_Shore
female,cg01889095,0.112272755094868,0.0855019469486442,0.896622608361287,56,FANCC,5'UTR,N_Shore
female,cg01928794,0.0995295512886428,0.259154013766423,0.896622608361287,56,POGZ,5'UTR,N_Shelf
female,cg01934856,-0.011927632902159,0.852669432743183,0.970604646896646,56,CASZ1,Body,Island
female,cg01973605,0.0484618901175644,0.626050916819979,0.923820927682263,56,CASZ1,5'UTR,OpenSea
female,cg02027878,0.064930412099226,0.495821825676717,0.903044932916652,56,ATG9B,3'UTR,Island
female,cg02028351,0.0906219335253375,0.188538274596874,0.896622608361287,56,COX19,3'UTR,S_Shore
female,cg02035766,-0.0244543762311111,0.731315315590413,0.945178932859241,56,ANKRD55,Body,OpenSea
female,cg02039839,0.0602510990991063,0.536755230321128,0.90854271498576,56,COX19,TSS1500,S_Shore
female,cg02055255,0.10246282960819,0.112799109092031,0.896622608361287,56,CASZ1,Body,S_Shore
female,cg02087367,-0.0233053170695041,0.775426254697532,0.954407009495522,56,CREB3L2,Body,OpenSea
female,cg02093266,0.159673430311908,0.390799202197817,0.896622608361287,56,GRB10,5'UTR,OpenSea
female,cg02096887,0.224195643886816,0.021987363188738,0.896622608361287,56,CASZ1,Body,Island
female,cg02107442,0.0701204583043643,0.249248337254768,0.896622608361287,56,TP53BP2,Body,OpenSea
female,cg02145932,-0.0627131487933471,0.735736918605307,0.945954217718328,56,ISM1,TSS1500,Island
female,cg02149314,-0.0359390280892435,0.67824060759878,0.934211637558747,56,CREB3L2,1stExon,Island
female,cg02172466,0.0974744848822942,0.132940581758461,0.896622608361287,56,CASZ1,Body,Island
female,cg02204205,0.0944707448653283,0.282865773904696,0.896622608361287,56,GRB10,TSS1500,Island
female,cg02216939,-0.0414419407303987,0.644364995187467,0.927238358972364,56,CREB3L2,TSS1500,S_Shore
female,cg02226959,0.176143053807161,0.0278098551468106,0.896622608361287,56,FANCC,Body,OpenSea
female,cg02267312,0.0303046353893288,0.87100992586372,0.974534349693736,56,GABARAPL1,TSS200,Island
female,cg02271943,0.426189213832606,0.048348873025044,0.896622608361287,56,COMTD1,TSS1500,S_Shore
female,cg02283051,0.0682501756970982,0.287200776599518,0.896622608361287,56,NOS3,5'UTR,OpenSea
female,cg02319097,0.0033613679559272,0.968976862961997,0.994312612786184,56,GABARAPL1,Body,OpenSea
female,cg02323334,0.0774595403701096,0.264207224265791,0.896622608361287,56,NCRNA00167,Body,Island
female,cg02333960,0.0915177737083418,0.197934405757769,0.896622608361287,56,COX19,Body,N_Shore
female,cg02335971,-0.0870034062553227,0.327849211467292,0.896622608361287,56,MTBP,TSS1500,Island
female,cg02335988,0.0297408169711332,0.677125058722713,0.934001853899569,56,CASZ1,5'UTR,OpenSea
female,cg02364618,0.0410194609513665,0.640369018282853,0.926483341438805,56,CHRNA7,Body,OpenSea
female,cg02365862,-0.25335979437192,0.0831649105124744,0.896622608361287,56,DSP,TSS1500,Island
female,cg02396224,0.0530136898561391,0.644708747566359,0.927297879647645,56,CASZ1,3'UTR,Island
female,cg02401734,0.108888576722696,0.200784614616261,0.896622608361287,56,BFSP1,Body,OpenSea
female,cg02401749,0.0871233072099894,0.258326891801577,0.896622608361287,56,SLC26A1,Body,Island
female,cg02403059,0.0964869731428599,0.22723688249516,0.896622608361287,56,TUBE1,Body,N_Shore
female,cg02406484,0.0847613858602093,0.220851957512149,0.896622608361287,56,IDUA,Body,Island
female,cg02446814,0.0780008620931801,0.253555676719028,0.896622608361287,56,UBXN1,Body,N_Shore
female,cg02456869,-0.146439980516992,0.0801494121402972,0.896622608361287,56,CSRNP2,TSS1500,S_Shore
female,cg02466749,0.0775977802526867,0.262380145392419,0.896622608361287,56,FANCC,5'UTR,Island
female,cg02468316,0.122170754731578,0.106248485644511,0.896622608361287,56,GRB10,5'UTR,OpenSea
female,cg02486355,0.0496455896761483,0.505087491201671,0.904123720460703,56,CASZ1,Body,Island
female,cg02510299,0.00935183691233886,0.927049027791988,0.986233647003306,56,MTBP,TSS200,Island
female,cg02526551,0.150186713272764,0.149982338654671,0.896622608361287,56,TP53BP2,Body,N_Shore
female,cg02567576,-0.0122840992243496,0.898838199637513,0.980266017804751,56,NDFIP1,Body,S_Shelf
female,cg02582320,0.0283608133190353,0.791193952044017,0.95761645257845,56,CREB3L2,Body,OpenSea
female,cg02584975,-0.0239270474692288,0.817278803129768,0.963250674596088,56,FANCC,5'UTR,OpenSea
female,cg02595922,0.0346872718229505,0.596658763344848,0.918131384135601,56,COX19,Body,Island
female,cg02599615,0.0712591595711417,0.349237587557672,0.896622608361287,56,CHRNA7,Body,S_Shore
female,cg02611419,0.0206465666213949,0.815237050281295,0.962810596521495,56,KCNK16,3'UTR,S_Shore
female,cg02628281,0.0582776362143375,0.581210188045196,0.915628929081744,56,SV2B,5'UTR,OpenSea
female,cg02630694,0.171959258993535,0.0400523378837799,0.896622608361287,56,CDC123,TSS1500,N_Shore
female,cg02633286,0.0764993146099755,0.322365811553233,0.896622608361287,56,CREB3L2,TSS200,Island
female,cg02634861,0.09984810488155,0.243630919412234,0.896622608361287,56,CASZ1,5'UTR,Island
female,cg02643228,0.101536025343312,0.228227031689516,0.896622608361287,56,XRN1,TSS1500,S_Shore
female,cg02643433,0.17119569284582,0.200374375985257,0.896622608361287,56,DSP,Body,S_Shore
female,cg02647388,0.0592400309266417,0.682918865887988,0.935091225017053,56,DSP,TSS200,Island
female,cg02652525,0.125133641038385,0.324076603717627,0.896622608361287,56,TP53BP2,Body,OpenSea
female,cg02655745,0.0461394681295825,0.497375378201613,0.90314703346274,56,TP53BP2,TSS1500,Island
female,cg02675652,0.140958586232121,0.125159243973295,0.896622608361287,56,CSRNP2,TSS1500,S_Shore
female,cg02691450,0.0860080082375567,0.299000257437341,0.896622608361287,56,CREB3L2,Body,OpenSea
female,cg02697519,0.152678772462128,0.0326860064966945,0.896622608361287,56,CASZ1,5'UTR,OpenSea
female,cg02703850,0.0852619637918237,0.214209741517677,0.896622608361287,56,IDUA,Body,Island
female,cg02720091,0.112016729364171,0.142871401450702,0.896622608361287,56,CASZ1,Body,Island
female,cg02737621,0.0182595776143796,0.752328391424529,0.949457814658682,56,SESN2,TSS1500,N_Shore
female,cg02749825,-0.0180405806925467,0.816623161336298,0.963105068471548,56,COMTD1,1stExon,Island
female,cg02760103,0.105225136562674,0.309677178855147,0.896622608361287,56,,,OpenSea
female,cg02776128,0.0294692942925708,0.66687342460814,0.932009291950333,56,SLC26A1,Body,Island
female,cg02789094,0.0518173204304964,0.460171993383659,0.89970162819978,56,DSP,Body,OpenSea
female,cg02795190,0.111016052144182,0.18416746375381,0.896622608361287,56,ANKRD55,Body,OpenSea
female,cg02795691,0.0191897659015049,0.791649615081807,0.957751252614121,56,BFSP1,Body,S_Shelf
female,cg02828506,0.0200822860808848,0.861570425559922,0.972546119437912,56,FANCC,5'UTR,Island
female,cg02847760,-0.0131795146195757,0.852118375391842,0.970449223483262,56,BUB1B,TSS200,Island
female,cg02883053,0.0739553690420531,0.26936595138498,0.896622608361287,56,CREB3L2,Body,OpenSea
female,cg02883595,-0.0425543840335851,0.801343426003862,0.959889564165364,56,KCNK17,Body,Island
female,cg02903756,0.0603220598256204,0.406941375837987,0.896622608361287,56,CASZ1,Body,N_Shelf
female,cg02904598,0.19098340024754,0.0334105810088061,0.896622608361287,56,FANCC,Body,OpenSea
female,cg02997048,-0.00147877819427444,0.986095851012313,0.997530970968943,56,NCRNA00167,Body,S_Shore
female,cg03013699,-0.0366054276110934,0.577651439042289,0.914811190111432,56,GRB10,5'UTR,OpenSea
female,cg03017269,0.0735462432005427,0.621626121298544,0.923055959084791,56,SV2B,1stExon,Island
female,cg03038773,0.103109915223369,0.423218795389326,0.897213442278467,56,ANKRD55,Body,OpenSea
female,cg03052567,0.0749279672664829,0.455390563646419,0.899082052213971,56,PIANP,TSS1500,S_Shore
female,cg03077789,0.0407394195984219,0.543799436397683,0.9095723608953,56,NDFIP1,TSS200,N_Shore
female,cg03098361,0.0571397354711738,0.374769180281868,0.896622608361287,56,RFC2,Body,Island
female,cg03104936,0.0241343761353096,0.791148031913651,0.957602680025989,56,GRB10,5'UTR,N_Shore
female,cg03137826,0.0750277389477407,0.2755206396669,0.896622608361287,56,CASZ1,Body,Island
female,cg03222361,0.107094282155314,0.397238111999253,0.896622608361287,56,CHRNA7,Body,OpenSea
female,cg03247389,-0.0304926276006545,0.782182626306582,0.955787250639668,56,GABARAPL1,Body,S_Shore
female,cg03252829,-0.0689018198952379,0.636545347555805,0.925780660842714,56,KCNK17,1stExon,Island
female,cg03280605,0.081070698300517,0.253847490034659,0.896622608361287,56,CREB3L2,Body,OpenSea
female,cg03304981,0.132585740594807,0.0797070964036997,0.896622608361287,56,CREB3L2,Body,N_Shore
female,cg03370077,0.0607701745271489,0.357518635557193,0.896622608361287,56,GRB10,5'UTR,OpenSea
female,cg03376712,0.0160580568976181,0.870178369054451,0.974287181389741,56,INTU,5'UTR,OpenSea
female,cg03388409,0.116529157990169,0.316489778626438,0.896622608361287,56,TP53BP2,Body,OpenSea
female,cg03392753,0.265592372530493,0.159494747774989,0.896622608361287,56,COX19,3'UTR,N_Shore
female,cg03402994,0.0631912036034407,0.452603378462161,0.898911522776493,56,SLC26A1,Body,Island
female,cg03466198,-0.192774107141227,0.450733961226399,0.898724036748419,56,GRB10,Body,OpenSea
female,cg03469471,0.136586834681536,0.0817185021212436,0.896622608361287,56,NOS3,Body,S_Shore
female,cg03477586,0.0697940394585369,0.345647244565114,0.896622608361287,56,NDFIP1,3'UTR,OpenSea
female,cg03496473,-0.0533489433694471,0.666575073077638,0.931944873305734,56,KCNK17,Body,N_Shore
female,cg03499095,-0.048087708868231,0.656628498164062,0.929754786988928,56,MTBP,Body,OpenSea
female,cg03514139,0.153747107381255,0.271783518920302,0.896622608361287,56,GRB10,Body,OpenSea
female,cg03521360,0.0468701420208368,0.635343972889007,0.925506427983408,56,INTU,Body,OpenSea
female,cg03521600,0.108199737255081,0.254486391599392,0.896622608361287,56,MTBP,TSS200,Island
female,cg03525527,0.0599050918101475,0.680326239615816,0.934682521636524,56,CDCA2,TSS200,Island
female,cg03546113,0.0941191470275341,0.338896622963812,0.896622608361287,56,FANCC,Body,OpenSea
female,cg03561745,0.0093254028489622,0.9187853211333,0.984604972718247,56,PRDM10,5'UTR,OpenSea
female,cg03614051,0.0338571457727259,0.802949593954598,0.960196773963044,56,FANCC,TSS1500,Island
female,cg03635682,0.0978971299543178,0.20973492203039,0.896622608361287,56,FANCC,Body,OpenSea
female,cg03704503,-0.00197690295511911,0.977254751904441,0.995844739804838,56,COMTD1,Body,Island
female,cg03763391,0.013480925261089,0.840725582894322,0.968040558160692,56,BUB1B,TSS200,Island
female,cg03788406,0.109304562759217,0.203257519895042,0.896622608361287,56,COX19,Body,N_Shelf
female,cg03814872,-0.0398573127256618,0.586839235917801,0.916476892801887,56,DSP,TSS1500,N_Shore
female,cg03841655,0.00986814289813776,0.908158453831071,0.982279643559326,56,RPS2P32,Body,N_Shore
female,cg03842617,0.0312777489747039,0.80059478116508,0.959732322613959,56,NOS3,5'UTR,OpenSea
female,cg03863551,0.12251299071202,0.0739171541819639,0.896622608361287,56,POGZ,Body,OpenSea
female,cg03876030,0.0116443351027327,0.893337127117144,0.979204651356709,56,NCRNA00167,Body,Island
female,cg03879836,-0.147066152518295,0.51517151041632,0.905277692116406,56,CDCA2,TSS1500,Island
female,cg03889767,-0.0940228767696081,0.751468649751964,0.949297230628166,56,IDUA,Body,S_Shore
female,cg03897462,0.0199149141121141,0.79849228001286,0.959330939675582,56,FANCC,Body,OpenSea
female,cg03897897,0.0803683175407389,0.218417024615511,0.896622608361287,56,CDCA2,TSS200,Island
female,cg03905962,0.125691745144139,0.1664280137433,0.896622608361287,56,INTU,Body,OpenSea
female,cg03924653,0.25613140000036,0.117601262199393,0.896622608361287,56,CHRNA7,Body,OpenSea
female,cg03925135,-0.0646341246561811,0.509001299891208,0.904507374628735,56,NCRNA00167,Body,Island
female,cg03930781,0.126508553292416,0.108478378101309,0.896622608361287,56,CREB3L2,Body,OpenSea
female,cg03936251,0.087628031301919,0.187338773933075,0.896622608361287,56,ANKRD55,TSS1500,OpenSea
female,cg03940484,-0.0450933231547813,0.60898241224986,0.920736095443196,56,SV2B,5'UTR,OpenSea
female,cg03962214,0.137911092267079,0.115498740575856,0.896622608361287,56,CASZ1,Body,Island
female,cg03965620,0.00539016846662916,0.936569478540564,0.988073838330696,56,CDC123,5'UTR,Island
female,cg03970798,0.0907231515701589,0.255149593970775,0.896622608361287,56,CREB3L2,Body,OpenSea
female,cg03974483,0.108596150645318,0.294215229790265,0.896622608361287,56,POLR3K,TSS1500,Island
female,cg03992323,0.126947293630077,0.355527270556583,0.896622608361287,56,TP53BP2,Body,OpenSea
female,cg04015097,-0.00838282588796394,0.951943399841422,0.991055647404114,56,BFSP1,Body,OpenSea
female,cg04018315,0.0797465534446799,0.248502898799958,0.896622608361287,56,ATG9B,3'UTR,N_Shore
female,cg04021421,0.101254717565057,0.124344512907163,0.896622608361287,56,FANCC,TSS1500,S_Shore
female,cg04022560,0.0526599123307939,0.397790906728445,0.896622608361287,56,CASZ1,Body,Island
female,cg04053021,0.075210777083615,0.542489713086784,0.909361749412962,56,GRB10,5'UTR,OpenSea
female,cg04060013,0.0450333858712894,0.46163372001115,0.89972201129033,56,FANCC,Body,OpenSea
female,cg04071701,0.18543656490338,0.0429583804495918,0.896622608361287,56,NOS3,TSS200,OpenSea
female,cg04087920,0.0571943674211005,0.481606661090908,0.901327797982193,56,BLVRA,5'UTR,OpenSea
female,cg04095145,0.114824399274537,0.1952057855144,0.896622608361287,56,COX19,TSS1500,S_Shore
female,cg04096472,-0.00017277402894044,0.998431233927789,0.999672911949035,56,CREB3L2,TSS1500,S_Shore
female,cg04115147,0.0963950482457855,0.351079115308605,0.896622608361287,56,CASZ1,5'UTR,OpenSea
female,cg04149978,0.153763304052235,0.0460776374586065,0.896622608361287,56,CASZ1,5'UTR,Island
female,cg04169960,0.045877158018893,0.654068484949607,0.929094680840762,56,POLR3K,TSS1500,S_Shore
female,cg04181189,0.14592563812797,0.0445209137960634,0.896622608361287,56,PRDM10,5'UTR,OpenSea
female,cg04223026,-0.0124782217255228,0.876834143449723,0.975858105775581,56,GRB10,Body,OpenSea
female,cg04225510,0.0969883706556872,0.362681517198354,0.896622608361287,56,CDC123,TSS1500,N_Shore
female,cg04228065,0.0211568636302979,0.820667715312436,0.963956664894835,56,FANCC,Body,OpenSea
female,cg04229315,0.0134894799019565,0.862099288298575,0.97270388769733,56,CREB3L2,Body,OpenSea
female,cg04263118,-0.20849088619712,0.0452005171423311,0.896622608361287,56,BFSP1,Body,Island
female,cg04264633,0.0323391109617712,0.565490442563261,0.912967378580918,56,BFSP1,TSS1500,OpenSea
female,cg04305764,0.0485586935927417,0.540290156393714,0.908972636118335,56,CASZ1,5'UTR,Island
female,cg04324167,0.0471725806552589,0.653967530440986,0.929062057278906,56,PRDM10,5'UTR,OpenSea
female,cg04346572,-0.104547673977479,0.151494239188011,0.896622608361287,56,BFSP1,Body,S_Shore
female,cg04391064,0.117347642731896,0.528391734499713,0.907199834625096,56,BLVRA,TSS1500,Island
female,cg04394336,0.100632815600051,0.319113056981313,0.896622608361287,56,BFSP1,ExonBnd,OpenSea
female,cg04396637,0.0655259813802142,0.559486881368136,0.912040631444814,56,CSRNP2,5'UTR,Island
female,cg04407929,0.0863968828862362,0.153662121998882,0.896622608361287,56,C1QBP,TSS1500,S_Shore
female,cg04432319,-0.0570298976258748,0.804596223949427,0.960595661585243,56,ISM1,TSS1500,Island
female,cg04440811,0.0749543544007316,0.40194736235217,0.896622608361287,56,PRDM10,TSS200,OpenSea
female,cg04472009,0.124792900797332,0.144029289311328,0.896622608361287,56,CREB3L2,Body,N_Shelf
female,cg04491766,0.0995568243704967,0.181428200156226,0.896622608361287,56,NUDT5,Body,OpenSea
female,cg04513718,0.0879545891118844,0.294199146888317,0.896622608361287,56,CASZ1,5'UTR,OpenSea
female,cg04577162,0.0950746040120992,0.317022482912514,0.896622608361287,56,RFC2,Body,N_Shore
female,cg04583625,0.0262885939655574,0.711360362763077,0.941047680250674,56,DSTN,TSS1500,N_Shore
female,cg04598683,0.0322586578176305,0.629179850811176,0.924333212392402,56,NCRNA00167,TSS1500,Island
female,cg04599041,0.0044825896969787,0.961506539113608,0.992954142186003,56,EPB41L2,Body,OpenSea
