sex,drug,view,feature,loading
male,Adalimumab,methylation,cg11265381,-0.20974230284824066
male,Adalimumab,methylation,cg12714415,-0.11543187047991159
male,Adalimumab,methylation,cg26672776,-0.10059203626086005
male,Adalimumab,methylation,cg24687100,-0.07923991438563095
male,Adalimumab,methylation,cg23395553,0.07303977936271173
male,Adalimumab,methylation,ch.10.296387R,0.05931753753256969
male,Adalimumab,methylation,cg13950001,-0.04764480765758351
male,Adalimumab,methylation,cg11038343,0.031313037293373064
female,Etanercept,expression,ENSG00000165644,-0.6567374331912637
female,Etanercept,expression,ENSG00000175344,0.4390736957378487
female,Etanercept,expression,ENSG00000183423,0.4176315669608873
female,Etanercept,expression,ENSG00000139200,-0.30642252280859117
female,Etanercept,expression,ENSG00000279161,0.1680471247904571
female,Etanercept,expression,ENSG00000179934,-0.13458278546851823
female,Etanercept,expression,ENSG00000232818,0.12508319906355694
female,Etanercept,expression,ENSG00000164066,0.1071319144620713
female,Etanercept,expression,ENSG00000172167,-0.10657261402954867
female,Etanercept,expression,ENSG00000199436,0.07474553303582311
female,Etanercept,expression,ENSG00000270659,0.07424700628798545
female,Etanercept,expression,ENSG00000277089,-0.06849392627890516
female,Etanercept,expression,ENSG00000270016,-0.06183213423308175
female,Etanercept,expression,ENSG00000158169,-0.056083027950077316
female,Etanercept,expression,ENSG00000049541,-0.0025995717315528163
female,Etanercept,methylation,cg24173410,0.6833368616814944
female,Etanercept,methylation,cg08193293,0.37930839035977865
female,Etanercept,methylation,cg09062052,0.3674158878808691
female,Etanercept,methylation,cg08323017,0.30319682745003684
female,Etanercept,methylation,cg14357055,0.2127497564573101
female,Etanercept,methylation,cg13323553,0.16754649593989285
female,Etanercept,methylation,cg12554282,0.15976990813722808
female,Etanercept,methylation,cg14101359,0.15205807253480325
female,Etanercept,methylation,cg26406609,0.09667099175314463
female,Etanercept,methylation,cg17491339,0.08638699792365821
female,Etanercept,methylation,cg22188933,0.08459546279223999
female,Etanercept,methylation,cg25080753,0.06854842411814707
female,Etanercept,methylation,cg18685745,0.06832116118226525
female,Etanercept,methylation,cg00586094,0.06814628264124933
female,Etanercept,methylation,cg02786913,0.04791440022914371
male,Etanercept,expression,ENSG00000110925,0.5792551076200523
male,Etanercept,expression,ENSG00000259343,-0.42852335270523684
male,Etanercept,expression,ENSG00000143514,0.39271511081202465
male,Etanercept,expression,ENSG00000164867,-0.35423595907690375
male,Etanercept,expression,ENSG00000130766,0.2627593538140995
male,Etanercept,expression,ENSG00000253409,-0.16811572931604088
male,Etanercept,expression,ENSG00000104756,0.1672532402414508
male,Etanercept,expression,ENSG00000214184,-0.15751763388785797
male,Etanercept,expression,ENSG00000139112,0.10416069795241617
male,Etanercept,expression,ENSG00000185518,-0.10276080628941539
male,Etanercept,expression,ENSG00000231305,-0.09567819602160567
male,Etanercept,expression,ENSG00000213533,0.09414016230005204
male,Etanercept,expression,ENSG00000108561,-0.07924390562790265
male,Etanercept,expression,ENSG00000125864,0.066827300827695793
male,Etanercept,expression,ENSG00000164512,-0.02933852974938856
male,Etanercept,methylation,cg15842800,-0.5097490297575867
male,Etanercept,methylation,cg10148801,-0.43779456251136495
male,Etanercept,methylation,cg23578349,-0.3658261668152082
male,Etanercept,methylation,cg24589001,-0.31778374161848
male,Etanercept,methylation,cg25871008,-0.2824899281147626
male,Etanercept,methylation,cg02145932,0.22317518465048192
male,Etanercept,methylation,cg04432319,0.19391643362470035
male,Etanercept,methylation,cg14060111,0.18387978638921815
male,Etanercept,methylation,cg20662370,-0.18341946981516488
male,Etanercept,methylation,cg09560161,-0.1697196240793332
male,Etanercept,methylation,cg03874089,0.14104190141968256
male,Etanercept,methylation,cg03459510,-0.13764566728116817
male,Etanercept,methylation,cg16628040,-0.07737299714673825
male,Etanercept,methylation,cg00026401,-0.055247567018502114
male,Etanercept,methylation,cg11375692,-0.04824935853881776
