cpg,decision
cg04928513,Rejected
cg07159484,Rejected
cg04650899,Rejected
cg15585670,Confirmed
cg19813935,Rejected
cg02802904,Rejected
cg22389964,Rejected
cg26943658,Rejected
cg13763308,Rejected
cg22800025,Rejected
cg18045093,Rejected
cg23214565,Rejected
cg02718654,Rejected
cg02389555,Rejected
cg03559815,Rejected
cg08315050,Rejected
cg03243497,Rejected
cg21575283,Rejected
cg11955456,Rejected
cg04296257,Rejected
cg08550615,Rejected
cg08572016,Rejected
cg25598086,Confirmed
cg03001875,Rejected
cg08460801,Rejected
cg04599965,Rejected
cg20198108,Rejected
cg06331271,Rejected
cg17723355,Rejected
cg10410213,Rejected
cg01493303,Rejected
cg13785189,Rejected
cg05637903,Rejected
cg01719793,Rejected
cg12610243,Rejected
cg01434608,Rejected
cg10811681,Rejected
cg00754027,Rejected
cg04141691,Rejected
cg24125287,Rejected
cg02633838,Rejected
cg19364137,Rejected
cg05614058,Rejected
cg16333971,Rejected
cg11029501,Confirmed
cg21826815,Rejected
cg06974755,Rejected
cg08885659,Rejected
cg17190403,Rejected
cg24933247,Rejected
cg01165287,Rejected
cg06121461,Rejected
cg22208361,Rejected
cg16448525,Rejected
cg13575058,Rejected
cg17962342,Rejected
cg20651916,Rejected
cg07966140,Rejected
cg17374002,Rejected
cg25089142,Rejected
cg11854791,Rejected
cg02126098,Rejected
cg03438692,Rejected
cg12810560,Rejected
cg22748740,Rejected
cg02092880,Rejected
cg17225129,Rejected
cg12849795,Rejected
cg16558319,Rejected
cg11965880,Rejected
cg20639658,Confirmed
cg20909159,Rejected
cg01000656,Rejected
cg16280705,Rejected
cg22977254,Rejected
cg21711672,Rejected
cg02593352,Rejected
cg17384898,Rejected
cg26074223,Rejected
cg06221218,Rejected
cg05697101,Rejected
cg27134147,Confirmed
cg07917502,Rejected
cg05012551,Rejected
cg23714091,Rejected
cg10439651,Rejected
cg19444027,Rejected
cg20603637,Rejected
cg11433553,Rejected
cg13489694,Rejected
cg18026026,Rejected
cg23856027,Rejected
cg18472945,Rejected
cg00514413,Rejected
cg05898602,Rejected
cg14848772,Rejected
cg22691736,Rejected
cg03609493,Rejected
cg26115851,Rejected
cg13332474,Rejected
cg12503243,Rejected
cg16496750,Rejected
cg16659480,Rejected
cg00101118,Rejected
cg18150300,Rejected
cg22662036,Rejected
cg07111501,Confirmed
cg09246754,Rejected
cg21979724,Rejected
cg27434072,Rejected
cg26138937,Rejected
cg26869362,Rejected
cg02639808,Rejected
cg24577193,Rejected
cg07087293,Rejected
cg21909643,Rejected
cg14095000,Rejected
cg01999229,Rejected
cg14359435,Rejected
cg02505871,Rejected
cg15333689,Rejected
cg18245890,Rejected
cg06866005,Rejected
cg07035145,Rejected
cg04855216,Rejected
cg10563284,Rejected
cg19877419,Rejected
cg01864468,Rejected
cg06071395,Rejected
cg24718356,Rejected
cg24728112,Rejected
cg05480042,Rejected
cg26824807,Rejected
cg18947032,Rejected
cg22077389,Rejected
cg20776829,Rejected
cg08629417,Rejected
cg03414321,Rejected
cg02057157,Rejected
cg26210602,Rejected
cg07311313,Rejected
cg12630974,Rejected
cg05482973,Rejected
cg07799434,Rejected
cg09257975,Rejected
cg07080220,Rejected
cg07300976,Rejected
cg01180513,Rejected
cg13179085,Rejected
cg05660889,Rejected
cg22603934,Confirmed
cg04582539,Rejected
cg24217844,Rejected
cg03859395,Rejected
cg09587640,Rejected
cg23548274,Rejected
cg05216888,Rejected
cg12270520,Rejected
cg10164300,Rejected
cg12578791,Rejected
cg14132884,Rejected
cg03416888,Rejected
cg19830147,Rejected
cg12103149,Rejected
cg16734947,Rejected
cg02516257,Rejected
cg19339811,Rejected
cg21035222,Rejected
cg24135438,Rejected
cg06205817,Rejected
cg23257604,Rejected
cg09386954,Rejected
cg13436232,Rejected
cg17079378,Rejected
cg04598325,Rejected
cg24994173,Rejected
cg24728435,Rejected
cg20372689,Confirmed
cg18144065,Rejected
cg17102411,Rejected
cg08875078,Rejected
cg01554235,Rejected
cg16986851,Rejected
cg23345500,Rejected
cg10828210,Rejected
cg00844641,Rejected
cg21681396,Rejected
cg07856699,Rejected
cg16253809,Rejected
cg25009451,Rejected
cg25532501,Rejected
cg06081482,Rejected
cg11080530,Rejected
cg14970029,Rejected
cg04109898,Rejected
cg06776824,Rejected
cg15362194,Rejected
cg15056687,Rejected
cg10240744,Rejected
cg24513883,Rejected
cg22875643,Rejected
cg17155907,Rejected
cg11460820,Rejected
cg16579555,Rejected
cg15465092,Rejected
cg01566127,Rejected
cg20205877,Rejected
cg24098302,Confirmed
cg09748973,Rejected
cg22755785,Rejected
cg09102835,Rejected
cg21446692,Rejected
cg23081331,Rejected
cg20534525,Rejected
cg01912586,Rejected
cg03569616,Rejected
cg01292486,Rejected
cg04410073,Rejected
cg14633504,Rejected
cg27208307,Rejected
cg01537486,Rejected
cg21186663,Rejected
cg22901226,Rejected
cg24109415,Rejected
cg12528753,Rejected
cg24046271,Rejected
cg00154122,Rejected
cg06460869,Rejected
cg22626973,Rejected
cg19280133,Rejected
cg11349328,Rejected
cg00086297,Rejected
cg16102016,Rejected
cg27373657,Rejected
cg06257227,Rejected
cg08251901,Rejected
cg11119131,Rejected
cg20813491,Rejected
cg20212699,Rejected
cg18577280,Rejected
cg27665377,Rejected
cg03434432,Rejected
cg14361162,Rejected
cg12357681,Rejected
cg04277193,Rejected
cg22230508,Rejected
cg22832135,Rejected
cg14311471,Rejected
cg08527179,Rejected
cg09103184,Rejected
cg26062048,Rejected
cg01897594,Rejected
cg15783935,Rejected
cg03911494,Rejected
cg20428512,Rejected
cg25147866,Rejected
cg11153872,Rejected
cg12164973,Rejected
cg23037274,Rejected
cg17396620,Rejected
cg20132273,Rejected
cg00964710,Rejected
cg16605590,Rejected
cg25666403,Rejected
cg03967346,Rejected
cg08883134,Rejected
cg26840726,Rejected
cg01504836,Rejected
cg26289450,Rejected
cg07315766,Rejected
cg08161158,Rejected
cg17081644,Rejected
cg03257200,Rejected
cg22518046,Rejected
cg02503501,Rejected
cg24016044,Rejected
cg23181861,Rejected
cg05844583,Rejected
cg02110333,Rejected
cg20541753,Rejected
cg16264079,Rejected
cg04375931,Rejected
cg19738386,Rejected
cg25590392,Rejected
cg14519859,Rejected
cg03740159,Rejected
cg26522946,Rejected
cg22856539,Rejected
cg05083496,Rejected
cg13227646,Rejected
cg02848777,Rejected
cg03938507,Rejected
cg18754555,Rejected
cg13632959,Rejected
cg22870344,Rejected
cg11245233,Rejected
cg11844660,Rejected
cg23081670,Rejected
cg04320255,Rejected
cg04360458,Rejected
cg12103840,Confirmed
cg24877963,Rejected
cg04229238,Rejected
cg04512050,Rejected
cg17745562,Rejected
cg11777890,Rejected
cg08619561,Rejected
cg18650732,Rejected
cg18973632,Rejected
cg21407839,Rejected
cg22117760,Rejected
cg14430979,Rejected
cg07096206,Rejected
cg01997089,Rejected
cg01926066,Rejected
cg05529097,Rejected
cg21638219,Rejected
cg02286847,Rejected
cg27028030,Rejected
cg08196628,Rejected
cg03841065,Rejected
cg02924961,Rejected
cg18712677,Rejected
cg10158614,Rejected
cg11341527,Rejected
cg12211962,Rejected
cg06927165,Rejected
cg11952433,Rejected
cg15809230,Rejected
cg04478727,Rejected
cg19477551,Rejected
cg08173520,Rejected
cg07480327,Rejected
cg00412273,Rejected
cg18945335,Rejected
cg17960051,Rejected
cg19664267,Rejected
cg15236460,Rejected
cg01178486,Rejected
cg16663674,Rejected
cg13537276,Rejected
cg14208573,Rejected
cg12976108,Rejected
cg16830966,Rejected
cg07350703,Rejected
cg11933757,Rejected
cg07323350,Rejected
cg13029706,Rejected
cg22296762,Rejected
cg22636799,Rejected
cg19061957,Rejected
cg24413007,Rejected
cg19968421,Rejected
cg02288777,Rejected
cg27501451,Rejected
cg15823845,Rejected
cg11319719,Rejected
cg12635019,Rejected
cg11058730,Rejected
cg14218513,Rejected
cg02973270,Rejected
cg19354091,Rejected
cg23210013,Rejected
cg26739951,Rejected
cg14330853,Rejected
cg06191719,Rejected
cg22585269,Rejected
cg20691120,Rejected
cg14690343,Rejected
cg20778097,Rejected
cg10186232,Rejected
cg08839081,Rejected
cg12466737,Rejected
cg10160068,Rejected
cg23366101,Rejected
cg09796376,Rejected
cg19717235,Rejected
cg05671347,Rejected
cg13108328,Rejected
cg21026663,Rejected
cg11680442,Rejected
cg10570941,Rejected
cg01995078,Rejected
cg21428833,Rejected
cg10308673,Rejected
cg01723747,Rejected
cg10287303,Rejected
cg06807379,Rejected
cg25114075,Rejected
cg26254393,Rejected
cg21966289,Rejected
cg18335243,Rejected
cg24865292,Rejected
cg09622265,Rejected
cg20516074,Rejected
cg05318486,Rejected
cg04422896,Rejected
cg07233502,Rejected
cg21634137,Rejected
cg14679831,Rejected
cg15382497,Rejected
cg19832312,Rejected
cg16056465,Rejected
cg02659117,Rejected
cg10187221,Rejected
cg05083358,Rejected
cg14994919,Rejected
cg23429638,Rejected
cg06654302,Rejected
cg22196848,Rejected
cg12373982,Rejected
cg24102726,Rejected
cg19365884,Rejected
cg09543727,Rejected
cg03747695,Rejected
cg00040380,Confirmed
cg27411298,Rejected
cg16070018,Rejected
cg02827371,Rejected
cg25262044,Rejected
cg26473478,Rejected
cg11315754,Rejected
cg04272560,Rejected
cg14750844,Rejected
cg21911557,Rejected
cg05330668,Rejected
cg10353859,Rejected
cg16942681,Rejected
cg24843443,Rejected
cg05241924,Rejected
cg16723445,Rejected
cg16443455,Rejected
cg19774488,Rejected
cg15043711,Rejected
cg18258770,Rejected
cg07771287,Rejected
cg18875460,Rejected
cg22501760,Rejected
cg02959285,Rejected
cg00460260,Rejected
cg26251401,Rejected
cg14522055,Rejected
cg14648265,Rejected
cg03105770,Rejected
cg06183947,Rejected
cg13512580,Rejected
cg01756564,Rejected
cg18768400,Rejected
cg21934012,Rejected
cg09856206,Rejected
cg03046560,Rejected
cg26856080,Rejected
cg18829186,Rejected
cg14160807,Rejected
cg13545897,Rejected
cg12652739,Rejected
cg18020334,Rejected
cg13606616,Rejected
cg15880846,Rejected
cg02263479,Rejected
cg21199988,Rejected
cg14073219,Rejected
cg27495623,Rejected
cg13491584,Rejected
cg10698984,Rejected
cg24777868,Rejected
cg20957095,Rejected
cg03070533,Rejected
cg20824576,Rejected
cg09651496,Rejected
cg13840194,Rejected
cg07564061,Rejected
cg10214058,Rejected
cg20443314,Rejected
cg14279439,Rejected
cg20468365,Rejected
cg21273027,Rejected
cg10651319,Rejected
cg12944530,Rejected
cg15893373,Rejected
cg02454501,Rejected
cg07519721,Rejected
cg12412277,Rejected
cg11655691,Rejected
cg17879320,Rejected
cg15056119,Rejected
cg07890032,Rejected
cg21815047,Rejected
cg16465768,Rejected
cg14235416,Rejected
cg04227594,Rejected
cg07451084,Rejected
cg01054502,Rejected
cg25160554,Rejected
cg24806953,Rejected
cg20625393,Rejected
cg08465120,Rejected
cg02090547,Rejected
cg07368146,Rejected
cg08752459,Rejected
cg08526162,Rejected
cg06242063,Rejected
cg27326823,Rejected
cg15905960,Rejected
cg05414835,Rejected
cg00268518,Rejected
cg04813719,Rejected
cg23666180,Rejected
cg27631256,Rejected
cg10535017,Rejected
cg20554488,Rejected
cg23163783,Rejected
cg16002305,Rejected
cg13289884,Rejected
cg04085025,Rejected
cg22636253,Rejected
cg08905325,Rejected
cg23250288,Rejected
cg11275803,Rejected
cg22877623,Rejected
cg07871324,Confirmed
cg00829406,Rejected
cg09772954,Rejected
cg10496560,Rejected
cg10608004,Rejected
cg15829277,Rejected
cg01601439,Rejected
cg24955114,Rejected
cg06547771,Rejected
cg20988549,Rejected
cg07674753,Rejected
cg17777561,Rejected
cg05200628,Rejected
cg02121704,Rejected
cg05362405,Rejected
cg10599456,Rejected
cg02743029,Rejected
cg17545218,Rejected
cg24118894,Rejected
cg01870140,Rejected
cg06119628,Rejected
cg10951120,Rejected
cg22863523,Rejected
cg12083965,Rejected
cg26694713,Rejected
cg20893464,Rejected
cg10883503,Rejected
cg14525832,Rejected
cg01515802,Rejected
cg06230948,Rejected
cg04896381,Rejected
cg16924702,Rejected
cg08632659,Rejected
cg10060875,Rejected
cg05732876,Rejected
cg17023776,Rejected
cg15187550,Rejected
cg15561583,Rejected
cg15607449,Rejected
cg24878755,Rejected
cg03673368,Rejected
cg26495839,Rejected
cg13781149,Rejected
cg23657274,Rejected
cg13324568,Rejected
cg01407460,Rejected
cg11787288,Rejected
cg26264429,Rejected
cg11049813,Rejected
cg16479401,Rejected
cg11910167,Rejected
cg22108259,Rejected
cg13305165,Rejected
cg18665871,Rejected
cg02310882,Rejected
cg24999924,Rejected
cg07580591,Rejected
cg10448759,Rejected
cg10612681,Rejected
cg09202319,Rejected
cg16389285,Rejected
cg26148135,Rejected
cg03747251,Rejected
cg02962380,Rejected
cg10263335,Rejected
cg06415304,Rejected
cg09303136,Rejected
cg12622139,Rejected
cg24406116,Rejected
cg13232357,Rejected
cg06335251,Rejected
cg07312099,Rejected
cg16851924,Rejected
cg02429622,Rejected
cg27292777,Rejected
cg18672670,Rejected
cg08447658,Rejected
cg00282704,Rejected
cg10616121,Rejected
cg09484638,Rejected
cg23682007,Rejected
cg08378782,Rejected
cg14508122,Rejected
cg21254083,Confirmed
cg07510080,Rejected
cg13531509,Confirmed
cg16842485,Rejected
cg27013478,Rejected
cg09822001,Rejected
cg01328403,Rejected
cg12664940,Rejected
cg14988347,Rejected
cg03727359,Rejected
cg09650487,Rejected
cg05009079,Rejected
cg09116658,Rejected
cg02018465,Rejected
cg25254014,Rejected
cg09584112,Rejected
cg06853609,Rejected
cg22427477,Rejected
cg16271912,Rejected
cg03896792,Rejected
cg17863743,Rejected
cg06383531,Rejected
cg15618797,Rejected
cg15581365,Rejected
cg25975626,Rejected
cg15344854,Rejected
cg06154419,Rejected
cg11272705,Rejected
cg15692666,Rejected
cg23174932,Rejected
cg06940851,Rejected
cg19459542,Rejected
cg16878088,Rejected
cg09191810,Rejected
cg05169244,Rejected
cg00172408,Rejected
cg06811478,Rejected
cg00138474,Rejected
cg25779653,Rejected
cg03903247,Rejected
cg07766847,Rejected
cg25876608,Rejected
cg02538825,Rejected
cg18357526,Rejected
cg05598546,Rejected
cg23526353,Rejected
cg26453169,Rejected
cg11336294,Rejected
cg09255124,Rejected
cg21494337,Rejected
cg19156220,Rejected
cg04528069,Rejected
cg11078175,Rejected
cg19474029,Rejected
cg05516140,Rejected
cg24487908,Rejected
cg13958923,Rejected
cg16468079,Rejected
cg07633499,Rejected
cg24545466,Rejected
cg01675229,Rejected
cg22776369,Rejected
cg20521702,Rejected
cg23305502,Rejected
cg24516711,Rejected
cg16524830,Rejected
cg26881713,Rejected
cg03098515,Rejected
cg08976749,Rejected
cg11976929,Rejected
cg23026048,Rejected
cg10272779,Rejected
cg23382700,Rejected
cg11540624,Rejected
cg23480499,Rejected
cg07360893,Rejected
cg00590081,Rejected
cg16874634,Rejected
cg22521096,Rejected
cg09769958,Rejected
cg00777209,Rejected
cg19333374,Rejected
cg06850852,Rejected
cg21740204,Confirmed
cg07630858,Rejected
cg08425745,Rejected
cg23269169,Rejected
cg26125384,Rejected
cg15035350,Rejected
cg08269986,Rejected
cg27465717,Rejected
cg09813817,Rejected
cg11679443,Rejected
cg04878727,Rejected
cg26892368,Rejected
cg22712893,Rejected
cg05022225,Rejected
cg23610053,Rejected
cg23090583,Rejected
cg06685968,Rejected
cg26357538,Rejected
cg13361705,Rejected
cg05567294,Confirmed
cg00676224,Rejected
cg10030837,Rejected
cg10510505,Rejected
cg04788221,Rejected
cg16435820,Rejected
cg10250651,Rejected
cg02955077,Rejected
cg20847580,Rejected
cg00475645,Rejected
cg19935171,Rejected
cg17503287,Rejected
cg08401990,Rejected
cg08745899,Rejected
cg08969912,Rejected
cg23052568,Rejected
cg12181217,Rejected
cg22881279,Rejected
cg17006042,Rejected
cg21962423,Rejected
cg19495043,Rejected
cg18803655,Rejected
cg07132633,Rejected
cg05926266,Rejected
cg03689456,Rejected
cg19461582,Rejected
cg06876708,Rejected
cg21080034,Rejected
cg20041366,Rejected
cg21575861,Rejected
cg23113963,Rejected
cg10505324,Rejected
cg14976442,Rejected
cg03095533,Rejected
cg14202380,Rejected
cg06477715,Rejected
cg12758636,Rejected
cg00049718,Rejected
cg23881902,Rejected
cg21756465,Confirmed
cg16423812,Rejected
cg11237535,Rejected
cg06935598,Rejected
cg04052427,Rejected
cg24666276,Rejected
cg02108068,Rejected
cg19809636,Rejected
cg09164559,Rejected
cg12542281,Rejected
cg27400644,Rejected
cg15645986,Rejected
cg19453769,Rejected
cg08251499,Rejected
cg05976652,Rejected
cg05240795,Rejected
cg03376183,Rejected
cg16275960,Rejected
cg15023571,Rejected
cg07568517,Rejected
cg16625170,Rejected
cg00053010,Rejected
cg02779667,Rejected
cg23918923,Rejected
cg16920581,Rejected
cg08283932,Rejected
cg06762403,Rejected
cg15248353,Rejected
cg08991232,Rejected
cg20706638,Rejected
cg03537301,Rejected
cg02887499,Rejected
cg03605037,Rejected
cg15947940,Rejected
cg24958916,Rejected
cg04602387,Rejected
cg00188503,Rejected
cg05931345,Rejected
cg00819696,Rejected
cg10700647,Rejected
cg02340053,Rejected
cg25910506,Rejected
cg16976047,Rejected
cg24527785,Rejected
cg02515730,Rejected
cg24023859,Rejected
cg14696535,Rejected
cg20219159,Rejected
cg18960642,Rejected
cg07924535,Rejected
cg17536960,Rejected
cg19410967,Rejected
cg11539424,Rejected
cg12667257,Rejected
cg13400176,Rejected
cg17934743,Rejected
cg05011838,Rejected
cg16011258,Rejected
cg11518020,Rejected
cg03508928,Rejected
cg26056831,Rejected
cg22052758,Rejected
cg15960928,Rejected
cg00347643,Rejected
cg16503683,Rejected
cg24060954,Rejected
cg09583839,Rejected
cg16385431,Rejected
cg11302887,Rejected
cg11661250,Rejected
cg20241801,Rejected
cg20257411,Rejected
cg23951927,Rejected
cg24679411,Rejected
cg07318284,Rejected
cg13852791,Rejected
cg18590590,Rejected
cg13626544,Rejected
cg05668580,Rejected
cg25050353,Rejected
cg24887381,Rejected
cg13071476,Rejected
cg22847089,Rejected
cg13916316,Rejected
cg16095615,Rejected
cg17112155,Rejected
cg04108615,Rejected
cg03298319,Rejected
cg23732384,Rejected
cg16554933,Rejected
cg00981797,Rejected
cg04915566,Rejected
cg23199238,Rejected
cg26718354,Rejected
cg26112797,Rejected
cg26368718,Rejected
cg05264454,Confirmed
cg11985680,Rejected
cg09631044,Rejected
cg09741588,Rejected
cg04413724,Rejected
cg09536031,Rejected
cg05166316,Rejected
cg00885506,Rejected
cg06805546,Rejected
cg02288001,Rejected
cg00920818,Rejected
cg08212230,Rejected
cg12176476,Rejected
cg13880786,Rejected
cg03047098,Rejected
cg24771349,Rejected
cg05192269,Rejected
cg02321381,Rejected
cg27388618,Rejected
cg03778669,Rejected
cg11731114,Rejected
cg23896578,Rejected
cg12081743,Rejected
cg03782956,Rejected
cg07798892,Rejected
cg07776900,Rejected
cg22775896,Rejected
cg25577940,Rejected
cg11371933,Rejected
cg25347362,Rejected
cg24225147,Confirmed
cg25284208,Rejected
cg03904607,Rejected
cg09435617,Rejected
cg13430225,Rejected
cg03254875,Rejected
cg05013250,Confirmed
cg12242373,Rejected
cg15859850,Rejected
cg25385412,Rejected
cg00563699,Rejected
cg06095699,Rejected
cg17077639,Rejected
cg00569673,Rejected
cg21836903,Rejected
cg21986225,Rejected
cg24676817,Rejected
cg09283635,Rejected
cg24686380,Rejected
cg02614129,Rejected
cg08198132,Rejected
cg23721301,Rejected
cg16774604,Rejected
cg23057284,Rejected
cg00563238,Rejected
cg06657243,Rejected
