cpg,decision
cg19453769,Rejected
cg10736309,Rejected
cg01015416,Rejected
cg14308647,Rejected
cg23837188,Rejected
cg15692032,Rejected
cg12879386,Rejected
cg12553223,Rejected
cg18159850,Rejected
cg24702253,Confirmed
cg20105384,Rejected
cg07696178,Rejected
cg26451575,Rejected
cg00982357,Rejected
cg03367387,Rejected
cg15563952,Rejected
cg14526166,Rejected
cg24860970,Rejected
cg02053964,Rejected
cg23806084,Rejected
cg22961275,Rejected
cg07210335,Rejected
cg06508783,Rejected
cg13615650,Rejected
cg26080798,Rejected
cg05080281,Rejected
cg09532261,Rejected
cg05800683,Rejected
cg17308286,Rejected
cg08847132,Confirmed
cg25243854,Rejected
cg18634086,Rejected
cg09189258,Rejected
cg13550542,Rejected
cg24321030,Rejected
cg13365658,Rejected
cg05619888,Rejected
cg20694715,Rejected
cg13445218,Rejected
cg21747958,Rejected
cg10826200,Rejected
cg01382900,Rejected
cg08682341,Rejected
cg22865402,Rejected
cg00325919,Rejected
cg19853516,Rejected
cg26545834,Rejected
cg15216636,Rejected
cg02819020,Rejected
cg04738270,Rejected
cg21890551,Rejected
cg10698984,Rejected
cg05270290,Rejected
cg14235416,Rejected
cg22940848,Rejected
cg16674860,Rejected
cg16972079,Rejected
cg07021777,Rejected
cg08675092,Rejected
cg04562739,Rejected
cg05795554,Rejected
cg26368718,Rejected
cg11662224,Rejected
cg09468767,Rejected
cg03140866,Rejected
cg17484629,Confirmed
cg24826885,Rejected
cg09574807,Rejected
cg15537000,Rejected
cg12166435,Rejected
cg14101193,Rejected
cg24725522,Rejected
cg22148115,Rejected
cg19717235,Rejected
cg02828858,Rejected
cg11973177,Rejected
cg11395893,Rejected
cg12521813,Rejected
cg01073375,Rejected
cg07344955,Rejected
cg21803390,Rejected
cg21361702,Rejected
cg05000748,Rejected
cg06697294,Rejected
cg07078960,Rejected
cg20466166,Rejected
cg05302386,Rejected
cg12311930,Rejected
