cpg,PT01,PT02,PT03,PT04,PT05,PT06,PT07,PT08,PT10,PT11,PT12,PT13,PT14,PT15,PT16,PT17,PT18,PT19,PT20,PT21,PT22,PT23,PT24,PT25,PT26,PT27,PT28,PT29,PT30,PT31,PT32,PT33,PT34,PT35,PT36,PT37,PT38,PT39,PT40,PT41,PT42,PT43,PT44,PT45,PT46,PT47,PT48,PT49,PT50,PT51,PT52,PT53,PT54,PT55,PT56,PT57,PT58,PT59,PT60,PT61,PT62,PT63,PT64,PT65,PT66,PT67,PT68,PT69,PT70,PT71,PT72,PT73,PT74,PT75,PT76,PT77,PT78,PT79,PT80
cg00145348,0.610435,0.6772066,0.09013306,0.09003297,0.6534317,0.6901585,0.7206404,0.7077043,0.08241758,0.6337388,0.06550343,0.5780608,0.7153497,0.6193638,0.6555997,0.6069797,0.6524118,0.653054,0.574254,0.6372283,0.7039487,0.7373066,0.6820223,0.6087573,0.6416711,0.6934907,0.6461016,0.6672942,0.07825601,0.06751412,0.08221604,0.08444559,0.07779063,0.6635541,0.6688774,0.05180442,0.07227769,0.7053171,0.7094358,0.6561285,0.673652,0.694438,0.6206578,0.5946445,0.08960573,0.6877193,0.06931204,0.6820689,0.6605181,0.6852267,0.05369128,0.7214531,0.08137189,0.7122765,0.7126203,0.07233778,0.6928579,0.6024925,0.07301136,0.6921343,0.04104478,0.6679178,0.6849921,0.6916341,0.6922684,0.5530591,0.6229678,0.08855242,0.05936706,0.1010968,0.7595912,0.6333959,0.6290029,0.5998666,0.5376688,0.6730078,0.603009,0.08034433,0.08149543
cg00151234,0.6379747,0.7436345,0.09924006,0.1147236,0.683508,0.6533895,0.6980889,0.7731718,0.06787331,0.7114689,0.06914434,0.6170145,0.715845,0.6777704,0.6834038,0.6537452,0.7155548,0.7021205,0.6455739,0.7021758,0.6896668,0.7154071,0.7015605,0.5939822,0.6748087,0.6931664,0.7333122,0.6662408,0.04607886,0.09327984,0.1063181,0.111265,0.126327,0.6710103,0.7543884,0.08383234,0.08514014,0.7155883,0.7548169,0.6373333,0.7026029,0.6696223,0.6857143,0.6656554,0.08078603,0.7404849,0.08340147,0.7207757,0.6701647,0.6546824,0.1045131,0.7203707,0.07669616,0.7607182,0.7349828,0.0521978,0.7349379,0.711471,0.08372366,0.7524549,0.06666667,0.7353214,0.7221286,0.6980605,0.7014925,0.6639018,0.7021093,0.1055363,0.1076711,0.1040222,0.7497994,0.6376204,0.6419875,0.7091672,0.6508352,0.6187522,0.6929062,0.08758372,0.1270511
cg00179446,0.6149434,0.6512439,0.1370923,0.1285569,0.7428197,0.6121991,0.6824985,0.6913482,0.1770223,0.6910987,0.09569958,0.634316,0.7277563,0.6543332,0.7070107,0.6813964,0.7238137,0.670354,0.7247692,0.7427709,0.6307113,0.6374692,0.65674,0.659043,0.6773695,0.7046071,0.6541719,0.7032455,0.1279911,0.0890884,0.1069149,0.08731563,0.1448993,0.720309,0.6451786,0.09917355,0.106204,0.6735315,0.8069708,0.694647,0.688687,0.7688442,0.6485614,0.6379338,0.1197224,0.7406096,0.1806144,0.673061,0.6789238,0.704233,0.1150822,0.7163641,0.1435374,0.6767588,0.6749494,0.127129,0.758547,0.7092417,0.0934768,0.731668,0.1638418,0.6486126,0.6663976,0.6740972,0.707762,0.7064711,0.6512321,0.1286472,0.1433945,0.04702809,0.7377451,0.6472921,0.6885045,0.6556526,0.6321736,0.6886548,0.7036523,0.1616587,0.1114809
cg00191758,0.6345595,0.673668,0.1286805,0.1556898,0.7149123,0.6463016,0.7306243,0.7680281,0.112782,0.6605741,0.1296582,0.6655651,0.6731762,0.7251922,0.707073,0.6715983,0.6973341,0.6534489,0.6574178,0.689745,0.7069797,0.644963,0.7238896,0.5403441,0.683315,0.6730006,0.6817614,0.6562529,0.1332754,0.1389078,0.1215403,0.1502656,0.1303589,0.6940036,0.700854,0.1306998,0.1493952,0.7121466,0.7490842,0.6683673,0.6804598,0.6992184,0.6840963,0.7256621,0.1855234,0.7429155,0.1651439,0.6768147,0.6805486,0.7004559,0.1629712,0.6996218,0.1477273,0.7426438,0.7261933,0.1037394,0.6823829,0.6862605,0.1424535,0.7414803,0.1330685,0.6928064,0.7207516,0.6910024,0.692062,0.6476273,0.6999102,0.1615582,0.1389474,0.1506879,0.7516345,0.6638917,0.6653296,0.6803192,0.6870051,0.674812,0.7271897,0.1607227,0.1348423
cg00192980,0.5886189,0.5864672,0.03293769,0.04272604,0.6131161,0.5159647,0.6145017,0.6082237,0.02847651,0.6356279,0.04002088,0.571788,0.6254537,0.5887144,0.540502,0.5457278,0.6153351,0.5574839,0.6562021,0.5694826,0.5681477,0.6404871,0.5952457,0.5877675,0.5598956,0.5874838,0.5868132,0.5840997,0.04048082,0.03172127,0.02786283,0.03188062,0.03533821,0.6211196,0.6176113,0.03281134,0.04152713,0.5950009,0.645303,0.5918789,0.5582476,0.6253429,0.6096539,0.5169155,0.04702926,0.5498107,0.03092784,0.6262833,0.5640375,0.5821996,0.01594008,0.5831733,0.03019538,0.619782,0.6064439,0.02764727,0.6297222,0.6109594,0.03685058,0.598163,0.03724876,0.5836239,0.6004462,0.5459924,0.6138835,0.630123,0.6145613,0.02210294,0.04972376,0.02561837,0.6586972,0.534632,0.6366583,0.6294696,0.6049795,0.6009124,0.6451055,0.03861611,0.03357546
cg00211178,0.551468,0.05335366,0.2355009,0.7249897,0.1753472,0.737509,0.243421,0.7584926,0.1953488,0.2144469,0.7151498,0.7063187,0.1403061,0.1620469,0.5921673,0.1329114,0.1747368,0.1466667,0.2150259,0.1318681,0.0960961,0.1843575,0.03508772,0.705026,0.7095511,0.5744996,0.6877044,0.2328767,0.1246883,0.7639426,0.1381074,0.6167283,0.1485411,0.08530806,0.08950617,0.1191136,0.773851,0.722973,0.1135135,0.2535211,0.2192192,0.6989827,0.6257725,0.078125,0.7654321,0.08259587,0.5269533,0.08737864,0.1643357,0.1152542,0.2068063,0.689633,0.1918819,0.7659047,0.2582279,0.744477,0.1202346,0.7515008,0.6920762,0.03508772,0.2827381,0.1675676,0.6765491,0.6963642,0.6729127,0.09882353,0.1471861,0.1660232,0.6764368,0.7022315,0.7874396,0.6344401,0.07591623,0.01397206,0.1824818,0.1253482,0.2028688,0.6869984,0.2140763
cg00216997,0.6318997,0.6056854,0.08019082,0.1102908,0.6889219,0.7026426,0.6692566,0.6966149,0.05684425,0.6288872,0.0595272,0.6519581,0.6746149,0.6516181,0.6262398,0.589734,0.6510907,0.6767529,0.6614851,0.6644529,0.690318,0.6808007,0.6592467,0.5855189,0.6442488,0.7125269,0.6679634,0.6696188,0.06245141,0.07139066,0.08149204,0.08897942,0.06690237,0.6280227,0.6771874,0.07020548,0.0977131,0.6791844,0.7154715,0.5891711,0.6462966,0.6498485,0.6777329,0.6598709,0.02996704,0.6766062,0.0905531,0.6606803,0.6678911,0.6726862,0.0936107,0.6643851,0.0693302,0.6770692,0.6915945,0.05379908,0.6953812,0.6594966,0.07840657,0.7002725,0.08300153,0.7056005,0.69734,0.6719651,0.6935365,0.6395144,0.6374376,0.08794788,0.110116,0.08424228,0.6921783,0.6139278,0.6196532,0.6497895,0.5258338,0.7065595,0.6729853,0.08559019,0.08104231
cg00230685,0.6082963,0.6866697,0.1282983,0.09628677,0.7077848,0.6926498,0.7077117,0.6920642,0.07969697,0.6449794,0.1257247,0.6807656,0.6981132,0.6633898,0.719487,0.5987207,0.6712425,0.624125,0.6506104,0.7185498,0.6929896,0.7389486,0.7065949,0.5998687,0.5968761,0.7368014,0.6845784,0.6915108,0.1439599,0.07339056,0.06453455,0.07769105,0.105032,0.6692587,0.7084131,0.09346195,0.06877284,0.6709822,0.7358961,0.6847037,0.6163914,0.6285629,0.6568807,0.6940613,0.09079445,0.7070209,0.2922895,0.7121294,0.6807338,0.6479603,0.06471757,0.6697242,0.141842,0.6857143,0.6852257,0.08432935,0.7364048,0.6672704,0.1160918,0.6720901,0.1009434,0.7097763,0.6731386,0.680746,0.6767091,0.6071854,0.7155076,0.1253678,0.1289764,0.1299466,0.6858837,0.6388404,0.6665365,0.680783,0.7369921,0.6835186,0.6550139,0.09117698,0.2826397
cg00240631,0.5008507,0.6330922,0.07709854,0.1249392,0.6402985,0.6669791,0.6538461,0.6467791,0.05306122,0.6023586,0.06796116,0.5457355,0.6116376,0.6210628,0.5818821,0.5971055,0.6105307,0.6195514,0.4598351,0.4987893,0.6755599,0.6332662,0.6257148,0.5889155,0.6587137,0.6329775,0.5891675,0.6081375,0.07760636,0.06812134,0.05747126,0.07265179,0.05097087,0.5585351,0.6207321,0.08547009,0.1009302,0.6410944,0.6790907,0.517215,0.6029565,0.6477433,0.6227784,0.5767451,0.08442871,0.6556492,0.0505,0.5664678,0.6359215,0.6369706,0.1057744,0.6712987,0.08937899,0.6599161,0.6415904,0.1031504,0.6373308,0.6582377,0.1043046,0.6780014,0.1418257,0.6474096,0.6223224,0.6344272,0.6456966,0.4634019,0.6074864,0.07466666,0.0976594,0.08279302,0.663472,0.491586,0.6046512,0.6135182,0.6607446,0.6536943,0.6125286,0.06204556,0.08754513
cg00245012,0.6059874,0.6310518,0.1165549,0.100526,0.6626694,0.5731277,0.7188379,0.661157,0.1266892,0.6577212,0.07472385,0.6347083,0.5709856,0.6019102,0.5945132,0.6127413,0.605771,0.6139866,0.632064,0.7293482,0.7025812,0.6049302,0.7088781,0.5170081,0.6661994,0.6086048,0.6862521,0.6953686,0.07036536,0.09861933,0.08576756,0.09325513,0.1310044,0.5261967,0.6882213,0.1127869,0.1139019,0.6462104,0.7263006,0.6772256,0.6488314,0.6291199,0.6189278,0.6720235,0.08860759,0.6743827,0.04791929,0.6530612,0.6411657,0.6579799,0.0872093,0.6640853,0.09110788,0.628735,0.6748946,0.1123067,0.6510484,0.7043641,0.08373702,0.677681,0.1402616,0.5995277,0.440283,0.5728208,0.5978014,0.6759406,0.6763195,0.1212884,0.1384248,0.1563717,0.6495024,0.5987952,0.5762848,0.6588434,0.6799943,0.5892889,0.5846178,0.09090909,0.09647229
cg00253811,0.6011107,0.6583487,0.110109,0.1352854,0.6337059,0.7073334,0.6640539,0.6884364,0.09544574,0.6571478,0.08693878,0.6230858,0.6217994,0.6128861,0.612675,0.5809157,0.6562998,0.6340047,0.5759933,0.6086017,0.584453,0.5636693,0.6828484,0.6926754,0.6681416,0.6723627,0.6330561,0.6804344,0.0869936,0.09547739,0.1324836,0.07611798,0.1084501,0.6410257,0.6358735,0.09691285,0.1094891,0.6134304,0.71597,0.6150271,0.5951466,0.6754696,0.6259514,0.633417,0.1120145,0.7036369,0.1177083,0.6854209,0.5771235,0.6559954,0.1152008,0.6847358,0.1386431,0.6948156,0.712492,0.1549637,0.6919918,0.6181889,0.1000508,0.6251712,0.1116071,0.6890672,0.6678949,0.6149296,0.6496077,0.5215344,0.57239,0.07995365,0.1159208,0.1834802,0.6973867,0.5970436,0.6146288,0.6373805,0.5977536,0.6241497,0.6602084,0.1234856,0.09341317
cg00257789,0.09850062,0.1218115,0.9100769,0.08203787,0.101417,0.6753441,0.9317827,0.09339876,0.6442363,0.648312,0.07837445,0.6442702,0.6705853,0.08575804,0.6830065,0.8882827,0.06731149,0.9167163,0.6792044,0.926469,0.1011657,0.6850442,0.6717302,0.9202881,0.9129645,0.07349371,0.08380004,0.07004378,0.9277323,0.0737904,0.676688,0.08847132,0.6370158,0.6264368,0.6957892,0.6569845,0.1267813,0.6739016,0.07796866,0.9107602,0.6640932,0.05617003,0.6940368,0.6565415,0.6725518,0.6854646,0.7036738,0.05753809,0.6549203,0.6855462,0.7054715,0.6619952,0.09844673,0.6630232,0.6962268,0.6620797,0.08228759,0.6636487,0.07470323,0.6849926,0.9389395,0.109574,0.683924,0.6701844,0.1017054,0.6206284,0.1051587,0.08663967,0.9153968,0.6826982,0.09373888,0.5904323,0.07540395,0.6352165,0.6449942,0.668018,0.6498519,0.09804291,0.6900697
cg00258480,0.6330501,0.7516878,0.1107405,0.08113731,0.710786,0.7775397,0.7043954,0.7842736,0.1285112,0.7015834,0.05976431,0.6170581,0.7016479,0.6737419,0.6850867,0.6409703,0.6984646,0.6146001,0.6787286,0.6219813,0.6463073,0.6969453,0.6800525,0.6538376,0.6923631,0.7643284,0.7242218,0.7400458,0.1271129,0.1544167,0.07399103,0.121063,0.1349134,0.7121082,0.7056517,0.1045219,0.0617284,0.7048776,0.7887061,0.7158264,0.6744629,0.6789014,0.7120511,0.6892683,0.1119281,0.7477978,0.1288097,0.7521557,0.6791338,0.6853846,0.1011743,0.6770601,0.0259009,0.7028385,0.7228188,0.1597859,0.7955204,0.6923256,0.09107636,0.7606019,0.09309542,0.7693819,0.754487,0.6757277,0.760199,0.7093411,0.6959116,0.1457045,0.1090678,0.1172137,0.7278668,0.6509488,0.7070993,0.7423771,0.7101481,0.6839154,0.673766,0.1166518,0.1133441
cg00258945,0.6441382,0.7084548,0.1259672,0.1209964,0.1539837,0.083385,0.7208246,0.1209938,0.6965174,0.09892879,0.9412742,0.6745173,0.06483705,0.09779517,0.7175024,0.1016085,0.07651807,0.6460439,0.6967713,0.6863277,0.1334812,0.1227923,0.6831285,0.6045774,0.6820165,0.6777828,0.9331334,0.08067407,0.9342755,0.1090226,0.9543999,0.9257119,0.1023957,0.7039333,0.733871,0.6983995,0.1142405,0.1218344,0.7302265,0.6369997,0.9444444,0.1056218,0.1061093,0.08757819,0.08387657,0.1043849,0.714651,0.07978503,0.6917713,0.7070642,0.6987679,0.9462817,0.04636849,0.1137383,0.7293702,0.06615385,0.6867782,0.6967292,0.7060286,0.9501988,0.7487684,0.7008471,0.07055465,0.7245235,0.1247834,0.667194,0.6739954,0.1035484,0.6910808,0.6921645,0.7031281,0.665594,0.0726106,0.6852621,0.1189579,0.9382002,0.05978624,0.924011,0.08464567
cg00276426,0.6088475,0.6676394,0.2095006,0.2243502,0.7298614,0.7500728,0.6819399,0.7705736,0.1483871,0.6782355,0.04146731,0.7674935,0.7532926,0.6344956,0.708657,0.6540983,0.7536627,0.643573,0.606137,0.6425252,0.7281229,0.7523111,0.6651341,0.7301051,0.5927435,0.75,0.6833705,0.6868846,0.08364312,0.2173112,0.1974448,0.02702703,0.04536083,0.6436237,0.7832929,0.03448276,0.2657718,0.6865672,0.7952025,0.6288788,0.6077933,0.6520883,0.7103679,0.6668853,0.1292876,0.7538092,0.3398295,0.7601689,0.6856806,0.7091413,0.1056034,0.7043127,0.125,0.6931567,0.7506685,0.2142857,0.7316929,0.7102463,0.09878419,0.6384839,0.06060606,0.7070287,0.6927536,0.6433718,0.7480261,0.611077,0.6372524,0.1457905,0.2318029,0.1677704,0.7338282,0.5650655,0.7159743,0.7748389,0.77199,0.6853056,0.7473322,0.1950509,0.2356532
