cpg,module,gene
cg00323100,turquoise,N4BP2
cg00325531,grey,
cg00325919,turquoise,
cg00327072,grey,NEURL1B
cg00329300,grey,TSTD1
cg00329748,turquoise,CAMTA1
cg00330936,turquoise,NUBP1
cg00332802,blue,
cg00332950,blue,TRIO
cg00334821,brown,LIMK1
cg00335715,grey,
cg00336022,blue,
cg00341915,turquoise,CASC2
cg00347546,turquoise,FAM190B
cg00347798,grey,
cg00350441,turquoise,FAM192A
cg00350885,turquoise,GRB10
cg00354549,grey,C16orf87
cg00355447,blue,HCG18
cg00355909,grey,CMTM3
cg00356183,grey,PRKAR1B
cg00356774,paleturquoise,
cg00357238,turquoise,POT1
cg00360072,turquoise,HDAC4
cg00360267,blue,C20orf27
cg00361155,blue,
cg00363841,turquoise,SNX8
cg00365499,turquoise,SRPK2
cg00366352,turquoise,NTN4
cg00367615,grey,C13orf33
cg00368987,grey,ZNF264
cg00369151,grey,PIP4K2A
cg00369241,grey,IFITM5
cg00370820,salmon,GTPBP1
cg00371829,turquoise,NRG4
cg00374596,black,PPP1CA
cg00375457,grey,TRIM6-TRIM34
cg00377087,blue,
cg00386581,turquoise,UBXN1
cg00386702,turquoise,ZNF780B
cg00389081,blue,LRRC8D
cg00390596,turquoise,POLR1B
cg00391030,grey,PARP11
cg00392242,grey,ARRDC4
cg00396163,turquoise,DNAH6
cg00397324,grey,MX1
cg00400448,blue,
cg00402812,turquoise,TMEM167B
cg00405152,turquoise,PRKD2
cg00405789,blue,ZFAT
cg00407867,blue,FBN2
cg00412273,turquoise,CASC3
cg00413030,grey,
cg00413089,grey,
cg00414890,grey,
cg00416747,turquoise,HIST1H1E
cg00419333,turquoise,CYB5B
cg00419512,blue,IGFBP3
cg00425885,blue,CAMTA1
cg00426193,grey,RIF1
cg00426921,darkgrey,PHGDH
cg00430888,turquoise,
cg00431317,blue,RALYL
cg00431894,grey,
cg00435098,blue,MUC2
cg00437048,blue,PFKP
cg00437432,turquoise,PQLC3
cg00438215,purple,
cg00438616,turquoise,NRG4
cg00438740,darkolivegreen,INPP5D
cg00439706,grey,MGA
cg00442112,grey,CYTL1
cg00443488,turquoise,PFKFB3
cg00443673,turquoise,CASC3
cg00443946,grey,LOC732275
cg00444282,turquoise,RTN3
cg00444581,blue,PTK2
cg00446595,blue,SBK1
cg00448482,turquoise,C18orf19
cg00448578,blue,
cg00450312,turquoise,
cg00452882,grey,RLTPR
cg00453349,turquoise,SEPT10
cg00454517,turquoise,MLXIP
cg00455333,turquoise,KIF2C
cg00456011,turquoise,AP3S2
cg00456348,grey,C12orf44
cg00457019,blue,ZNF77
cg00458210,turquoise,HIST2H2AC
cg00458607,blue,SNX19
cg00461735,grey,C1orf31
cg00461901,brown,PPFIA3
cg00462311,turquoise,NFATC4
cg00463982,grey,IFT140
cg00466108,turquoise,DNAJC6
cg00467244,turquoise,
cg00469395,grey,
cg00470154,blue,LOC493754
cg00470794,turquoise,CHFR
cg00472375,turquoise,ENTPD4
cg00474242,turquoise,WDR5B
cg00474465,turquoise,HMX2
cg00475645,pink,STAU2
cg00481457,turquoise,LAMA3
cg00481499,turquoise,SPAG16
cg00482898,turquoise,SNRPG
cg00483345,blue,SCAI
cg00486627,turquoise,CACNA2D2
cg00487780,turquoise,CCDC97
cg00487848,blue,SFRS8
cg00487989,blue,DPEP1
cg00488260,turquoise,ELMOD1
cg00488691,turquoise,CENPO
cg00493304,grey,GTF2A1L
cg00493755,turquoise,LYRM5
cg00495035,blue,HDAC4
cg00495303,grey,DLGAP1
cg00497232,grey,
cg00497472,blue,GAK
cg00499399,purple,MICA
cg00499859,turquoise,RAD51
cg00501421,turquoise,RPP14
cg00501779,turquoise,MTA2
cg00502442,turquoise,ZDHHC14
cg00504919,turquoise,C16orf55
cg00505277,grey,
cg00505936,turquoise,HAS3
cg00506811,turquoise,SH3BP4
cg00507259,turquoise,SMARCAD1
cg00507414,turquoise,GNAI3
cg00507738,yellow,TUBA1C
cg00509281,lightcyan,CDC2
cg00509507,turquoise,SSC5D
cg00510011,turquoise,GPR98
cg00510320,grey,RLTPR
cg00510718,turquoise,PIK3CG
cg00511731,turquoise,BMF
cg00514413,turquoise,C19orf26
cg00514665,grey,A2BP1
cg00515161,turquoise,BRIP1
cg00515559,turquoise,LOC100216545
cg00515982,turquoise,GNB2L1
cg00519627,turquoise,CORO7
cg00520378,grey,CTU2
cg00522231,grey,ITGB1BP1
cg00522403,grey,ZNF843
cg00523161,grey,LPIN1
cg00523532,blue,ADAP1
cg00525277,paleturquoise,TNXB
cg00526953,black,
cg00527382,turquoise,CALCOCO1
cg00528779,blue,NCOR2
cg00529585,turquoise,ADRB1
cg00530298,blue,POLS
cg00530492,turquoise,HCG9
cg00530929,turquoise,DNAJC28
cg00533340,blue,CELSR1
cg00533620,turquoise,RPA2
cg00535403,blue,PTPN4
cg00535785,blue,ZNF423
cg00538642,turquoise,C19orf36
cg00539908,turquoise,CACNB4
cg00540400,grey,
cg00543499,turquoise,EPS15
cg00544901,grey,RPS11
cg00547068,blue,FAM196B
cg00549575,turquoise,EIF3F
cg00551617,grey,
cg00553120,turquoise,DNAJB6
cg00554165,blue,C5orf41
cg00557959,grey,
cg00558031,blue,C4orf23
cg00558737,turquoise,MFAP3
cg00558990,turquoise,GPN3
cg00559439,darkmagenta,VGLL4
cg00562265,turquoise,
cg00563238,turquoise,
cg00563699,turquoise,INPP5B
cg00564714,blue,RIPK2
cg00565070,turquoise,PDE4A
cg00567479,turquoise,FARP2
cg00567542,blue,
cg00567749,turquoise,VCAN
cg00568641,grey,RPL26L1
cg00570269,grey,C13orf33
cg00570642,turquoise,DOC2A
cg00571067,blue,
cg00571935,turquoise,SHPRH
cg00573330,skyblue,ZNF141
cg00576388,turquoise,COPZ1
cg00578252,turquoise,OSCP1
cg00578530,turquoise,BPNT1
cg00579423,grey,
cg00580805,turquoise,DHODH
cg00580965,grey,
cg00581848,turquoise,GPR157
cg00581979,turquoise,PRR24
cg00582337,grey,HSPB9
cg00582417,turquoise,KAT5
cg00582881,turquoise,AFAP1L1
cg00583304,grey,
cg00584416,grey,RSBN1
cg00584636,lightyellow,DNPEP
cg00584885,blue,
cg00586909,turquoise,CDKAL1
cg00587009,turquoise,
cg00588198,violet,
cg00588920,turquoise,
cg00589864,turquoise,PPP3R1
cg00590063,grey,B3GNT3
cg00590081,turquoise,FNDC3A
cg00590106,turquoise,SSBP2
cg00590260,grey,DIP2C
cg00591890,blue,
cg00593900,grey,ANGPTL6
cg00594128,turquoise,ZNF879
cg00594560,purple,ZFHX4
cg00596184,grey,VPS4A
cg00596508,grey,CNTN1
cg00597043,blue,
cg00597055,turquoise,CHP
cg00597492,blue,LPCAT1
cg00599163,grey,
cg00604356,turquoise,PIK3CG
cg00605240,blue,ERC1
cg00607058,grey,OSBP2
cg00607609,blue,SYNPO2
cg00608169,turquoise,
cg00608605,turquoise,DDAH2
cg00611227,blue,DPP10
cg00611301,grey,HDDC2
cg00611789,grey,CMYA5
cg00612595,grey,
cg00614959,grey,PCGF3
cg00616369,turquoise,NCL
cg00616447,turquoise,NDUFAF1
cg00616603,turquoise,C17orf80
cg00616650,blue,NDUFA10
cg00618312,turquoise,ELF1
cg00620449,turquoise,C5orf37
cg00620629,turquoise,ZUFSP
cg00623328,turquoise,RAB43
cg00624150,salmon,PCBD2
cg00624834,turquoise,CNDP2
cg00626422,turquoise,SNORD93
cg00627621,turquoise,TRIB1
cg00628697,grey,DSCR3
cg00628877,green,LYRM7
cg00629370,turquoise,PTHLH
cg00630431,blue,SNORA38B
cg00631329,grey,
cg00632778,turquoise,
cg00632811,grey,PWP1
cg00632914,blue,ZFP2
cg00635944,turquoise,C16orf53
cg00637745,grey,
cg00638631,grey,KCNJ6
cg00639837,grey,
cg00639886,turquoise,PDE1B
cg00642749,grey,SEMA5A
cg00645339,turquoise,LOC145663
cg00646037,blue,
cg00650762,turquoise,EPHB2
cg00653081,grey,TAOK1
cg00653179,blue,
cg00655071,turquoise,ZNF280D
cg00655302,blue,
cg00658016,turquoise,PIK3CA
cg00660452,blue,CHAF1B
cg00660843,grey,PDE1B
cg00662647,turquoise,SLC35F3
cg00663719,blue,WWOX
cg00664023,turquoise,ALG14
cg00665908,grey,TAF11
cg00666685,turquoise,HYAL3
cg00667976,turquoise,ARL1
cg00668525,turquoise,CDC7
cg00671161,paleturquoise,ALG11
cg00671224,blue,
cg00671759,midnightblue,ACTG1
cg00673290,grey,APOB
cg00674365,grey,ZNF471
cg00676224,turquoise,
cg00680768,grey,MAD2L1
cg00681103,sienna3,CFLAR
cg00683329,grey,
cg00684529,turquoise,
cg00685614,grey,
cg00687095,grey,RFWD2
cg00688236,turquoise,KBTBD11
cg00688840,turquoise,
cg00688900,turquoise,GGNBP2
cg00689284,blue,
cg00690400,grey,MRPS14
cg00690554,blue,ZFYVE21
cg00691240,grey,TXNDC12
cg00697301,grey,
cg00697858,green,PURG
cg00698263,grey,
cg00698771,grey,
cg00699807,turquoise,ZBTB1
cg00701051,grey,
cg00701571,blue,PKD1L2
cg00702338,turquoise,HN1L
cg00702638,turquoise,KIF15
cg00704012,turquoise,RHEBL1
cg00704652,turquoise,ZNF598
cg00705668,grey,MRPS12
cg00710736,blue,ZNF148
cg00711831,turquoise,NDUFB7
cg00712898,darkgreen,PRPF38B
cg00713605,turquoise,ARMC9
cg00713939,grey,NAPRT1
cg00714184,grey,LRAT
cg00714198,turquoise,RAF1
cg00714672,blue,FTO
cg00715047,grey,LLGL2
cg00715257,turquoise,UBL5
cg00716604,grey,TBC1D15
cg00719323,turquoise,TANK
cg00728655,blue,EXOC4
cg00728999,turquoise,EZH1
cg00729564,blue,ARHGEF10
cg00733150,grey,FAM118A
cg00733288,turquoise,CARS2
cg00735315,turquoise,CYHR1
cg00735667,grey,
cg00735843,turquoise,MUDENG
cg00737841,grey,
cg00738934,grey,
cg00740691,turquoise,
cg00742920,black,
cg00744229,magenta,RNF25
cg00744351,grey,CHRNE
cg00746864,turquoise,PITPNC1
cg00747859,turquoise,CP110
cg00748494,grey,
cg00748938,green,PPP4R4
cg00750399,blue,HELZ
cg00750481,grey,
cg00752778,turquoise,
cg00754027,turquoise,KIF14
cg00755470,turquoise,
cg00757789,turquoise,WDTC1
cg00758217,blue,SSBP3
cg00758881,grey,NDRG4
cg00759707,blue,ATP2A2
cg00759836,turquoise,KIAA0090
cg00760338,turquoise,ETV5
cg00761859,blue,NRP1
cg00762326,turquoise,UBA52
cg00763094,turquoise,BAT2L2
cg00763096,turquoise,FBXL22
cg00765144,blue,MLLT10
cg00765312,turquoise,ALX1
cg00765921,turquoise,TMEM69
cg00767116,blue,CARS2
cg00767642,grey,NMNAT2
cg00767948,blue,PTPRG
cg00770784,grey,CFDP1
cg00770871,turquoise,TULP3
cg00771026,turquoise,C4orf10
cg00771049,turquoise,ARPC5L
cg00772840,tan,AKAP8
cg00773142,blue,PLCG2
cg00773413,turquoise,C10orf41
cg00776558,turquoise,IGDCC4
cg00777209,turquoise,DHX16
cg00778059,turquoise,SPATA13
cg00778905,paleturquoise,TPRG1L
cg00778995,turquoise,POU3F3
cg00779602,blue,MAGI1
cg00780574,turquoise,TMEM176B
cg00782260,turquoise,
cg00782697,blue,INPP5A
cg00782772,blue,KLHDC4
cg00784671,grey,CELSR1
cg00785856,turquoise,ADAM10
cg00785941,grey,OR2L13
cg00786761,grey,
cg00787919,turquoise,MND1
cg00788177,grey,
cg00788362,turquoise,FLOT1
cg00789812,blue,
cg00791851,grey,
cg00792235,grey,
cg00792783,turquoise,PLCL1
cg00793935,grey,TRPM8
cg00795626,yellow,BAT4
cg00795791,grey,PL-5283
cg00802903,grey,
cg00803088,grey,RET
cg00804031,turquoise,PIAS4
cg00804048,turquoise,EIF5A
cg00804338,grey,TFDP1
cg00805880,grey,PPFIA4
cg00807871,grey,MDGA1
cg00809820,grey,TBCD
cg00810529,blue,PTGFRN
cg00811081,turquoise,RPAP3
cg00815399,grey,
cg00815440,darkred,UQCRFS1
cg00815931,turquoise,RPTOR
cg00817464,grey,XPNPEP1
cg00819696,turquoise,TIMELESS
cg00820664,turquoise,WDR33
cg00823783,turquoise,SEC14L5
cg00825173,turquoise,IFT88
cg00827008,blue,
cg00828689,turquoise,PIGZ
cg00829406,turquoise,FRS2
cg00830121,blue,
cg00837434,grey,MTMR10
cg00837987,grey,
cg00842351,turquoise,TJP2
cg00843105,grey,ZNF234
cg00844641,turquoise,FLNC
cg00845219,turquoise,GNB1L
cg00846114,turquoise,RLTPR
cg00846340,turquoise,RNF4
cg00857660,turquoise,SNORD74
cg00859178,grey,UHMK1
cg00859352,turquoise,TNIK
cg00861009,turquoise,HOXD11
cg00861824,grey60,CD46
cg00862618,turquoise,FKBP4
cg00864083,blue,FOXJ3
cg00864568,blue,PCGF3
cg00864916,grey,KIAA1614
cg00866976,turquoise,GNAO1
cg00867446,greenyellow,ACIN1
cg00867835,grey,SSPO
cg00869285,turquoise,ZNF837
cg00871381,grey,ATCAY
cg00871917,turquoise,RFT1
cg00872984,grey,TNXB
cg00873473,turquoise,JMJD8
cg00873648,turquoise,
cg00874817,grey,
cg00876541,turquoise,MIR1181
cg00876704,turquoise,PKN1
cg00876757,grey,
cg00878163,grey,HSF5
cg00878630,turquoise,COPS7B
cg00880290,turquoise,PKN1
cg00881417,red,PLEKHA1
cg00883019,blue,ARHGEF3
cg00885506,turquoise,WDR31
cg00890070,blue,
cg00893875,grey,
cg00894222,turquoise,PRMT7
cg00895834,blue,PRDM16
cg00896578,blue,
cg00898013,grey,PROZ
cg00901687,grey,MYCBPAP
cg00903676,turquoise,
cg00905725,turquoise,DFFB
cg00906130,turquoise,HPGD
cg00906926,turquoise,CCDC42B
cg00907218,blue,
cg00908027,turquoise,USP10
cg00908822,blue,
cg00909514,grey,C1orf106
cg00909993,blue,PTPN4
cg00910029,blue,D2HGDH
cg00910333,turquoise,TARBP2
cg00910586,grey,
cg00912449,grey,
cg00913755,turquoise,KIFC1
cg00914462,turquoise,HNRNPU
cg00916439,turquoise,BAT1
cg00916635,turquoise,PTPN22
cg00916884,grey,MT1M
cg00917335,turquoise,YPEL3
cg00919118,turquoise,TCF7L2
cg00919237,blue,ABCB4
cg00920818,turquoise,AMIGO2
cg00922376,red,PRDM2
cg00923880,grey,
cg00924372,turquoise,
cg00927231,turquoise,
cg00928596,grey,MIR365-1
cg00929798,turquoise,CALY
cg00930710,turquoise,
cg00931877,blue,PRPF18
cg00935307,grey,
cg00937982,grey,SIM2
cg00938305,turquoise,ZNF764
cg00939391,turquoise,FGFRL1
cg00939931,turquoise,MAFK
cg00940786,yellowgreen,ARSG
cg00940812,turquoise,NECAB1
cg00940891,turquoise,FGFRL1
cg00941229,grey,OTUD7B
cg00944421,grey,ESRP2
cg00944502,turquoise,PPWD1
cg00947782,grey,RNF39
cg00948102,turquoise,ICT1
cg00949022,grey,PIBF1
cg00951395,grey,KIAA1383
cg00952134,royalblue,PPP1R15B
cg00954003,turquoise,TMSB10
cg00955895,blue,
cg00958605,turquoise,HIST1H3B
cg00958781,turquoise,TMCO6
cg00960700,grey,TBCD
cg00960857,blue,JAKMIP3
cg00963378,grey,GJA3
cg00964333,grey,
cg00964710,grey,BFAR
cg00965052,turquoise,NME1
cg00966959,turquoise,DDX52
cg00968640,blue,HMCN1
cg00969035,turquoise,
cg00969787,grey,TESK2
cg00973424,blue,
cg00975854,turquoise,C1orf63
cg00976097,grey,AHRR
cg00977895,blue,
cg00980178,grey,CAMK2N1
cg00982357,green,NXT1
cg00982548,grey,BOLL
cg00982952,blue,GLG1
cg00985960,blue,
cg00986598,blue,TMCC1
cg00987890,blue,CENPF
cg00989226,turquoise,SFRS11
cg00991755,turquoise,KIAA0427
cg00991994,blue,C3orf26
cg00992297,grey,ARAP3
cg00993799,grey,LOC100216545
cg00993824,darkred,IL12RB2
cg00994804,grey,RUNX1
cg00995047,grey,LOC728613
cg00999410,blue,OR6C1
cg00999904,grey,ALLC
cg01000656,darkmagenta,SPATA1
cg01001924,turquoise,
cg01002317,blue,LEKR1
cg01003015,turquoise,VIM
cg01003902,turquoise,SAFB2
cg01004457,blue,OR10H3
cg01005582,blue,CTNNB1
cg01006587,blue,ZNF574
cg01006802,grey,TMPRSS8
cg01010868,yellow,PRKACA
cg01012308,turquoise,TRAP1
cg01013031,blue,RPS10P7
cg01013630,turquoise,SMUG1
cg01014287,turquoise,FUBP1
cg01015416,turquoise,PTPN12
cg01016191,grey,
cg01017244,grey,
cg01017355,turquoise,
cg01018360,blue,ZC3H18
cg01020475,blue,ATP4B
cg01020840,blue,PTPN21
cg01020978,blue,MECOM
cg01021053,turquoise,ZWINT
cg01022117,grey,PKP1
cg01023271,turquoise,IGSF8
cg01024055,blue,TPM1
cg01025185,blue,
cg01026256,grey,VWA5B2
cg01029901,blue,ZNF772
cg01033356,grey,ADARB2
cg01033463,grey,PHF21B
cg01036296,turquoise,RNU5E
cg01037362,blue,FNDC1
cg01037637,grey,RNF152
cg01038861,blue,UBR1
cg01039695,turquoise,LGI3
cg01040630,turquoise,CSMD3
cg01044695,turquoise,KDELR1
cg01044722,darkolivegreen,MYH10
cg01048931,turquoise,VOPP1
cg01050704,grey,MZF1
cg01051546,turquoise,PLK1S1
cg01053087,grey,ERICH1
cg01053411,turquoise,
cg01054755,turquoise,LOC389333
cg01055543,turquoise,MRPL33
cg01055610,turquoise,MIR636
cg01055696,grey,
cg01056174,turquoise,ANAPC1
cg01056242,grey,GPR133
cg01056350,cyan,HHAT
cg01056945,red,RHOQ
cg01057248,turquoise,
cg01061890,grey,TXNDC11
cg01062020,grey,SH2D1B
cg01065977,grey,ISYNA1
cg01066274,grey,WDR59
cg01066472,grey,
cg01067849,grey,WRNIP1
cg01068944,grey,
cg01070694,turquoise,KPNB1
cg01072121,turquoise,TMED7-TICAM2
cg01073375,turquoise,C11orf54
cg01074767,grey,C1RL
cg01077102,turquoise,TMCO4
cg01077808,turquoise,C19orf44
cg01078271,turquoise,DACT3
cg01079515,grey,
cg01079652,blue,IFI44
cg01079738,grey,C1orf14
cg01082798,blue,
cg01083380,turquoise,MECOM
cg01086895,turquoise,DCHS1
cg01088528,turquoise,PPIL3
cg01088546,grey,ITPR2
cg01089095,grey,CHCHD1
cg01089914,blue,
cg01092528,brown,NAAA
cg01093369,blue,
cg01094309,turquoise,RPS6KA2
cg01094351,blue,
cg01094684,turquoise,UQCR
cg01095395,blue,IMPG2
cg01095506,blue,UTRN
cg01096398,cyan,FOXQ1
cg01096617,grey,CNOT1
cg01097406,grey,
cg01098771,turquoise,KDM4B
cg01099231,turquoise,
cg01100763,turquoise,
cg01100864,brown,VPS33A
cg01102158,turquoise,TSSC1
cg01103255,turquoise,NIF3L1
cg01103911,turquoise,SPDYA
cg01104377,blue,STOX2
cg01104724,grey,
cg01106040,darkgrey,ZXDC
cg01110147,turquoise,PSMA3
cg01111397,turquoise,DLX2
cg01112801,blue,CCT8
cg01112923,turquoise,NEK1
cg01113680,white,ENOX1
cg01114088,grey,CYTL1
cg01114163,grey,
cg01114224,turquoise,MED12L
cg01117269,blue,DIP2C
cg01119278,grey,DDO
cg01119680,turquoise,PMM1
cg01119718,blue,INPP5A
cg01120902,grey,
cg01122304,turquoise,ADD1
cg01124132,grey,RFPL2
cg01124440,turquoise,ANKH
cg01129128,blue,TRAPPC9
cg01137537,turquoise,NOS1AP
cg01139508,turquoise,ZNF660
cg01142386,turquoise,FOXF1
cg01143222,blue,KLHL31
cg01143569,turquoise,VPRBP
cg01145054,turquoise,
cg01145420,brown,RPL19
cg01148786,turquoise,
cg01151686,turquoise,LIG3
cg01152488,turquoise,MAGEL2
cg01156747,grey,
cg01157809,turquoise,AGBL5
cg01158970,brown,UTP15
cg01159515,orange,SLC12A2
cg01162053,blue,SLC23A2
cg01162573,blue,
cg01165287,turquoise,XPO1
cg01168283,turquoise,FOXF1
cg01169952,turquoise,SGEF
cg01171898,turquoise,C11orf30
cg01172345,blue,DNAH10
cg01175433,blue,ATP2B2
cg01176271,grey,SNX1
cg01177167,turquoise,
cg01177470,turquoise,
cg01178451,turquoise,GALR1
cg01178486,turquoise,TAF9
cg01178624,grey,KCNK7
cg01178772,blue,
cg01179140,turquoise,IRF2BP2
cg01179580,turquoise,GLTP
cg01180513,turquoise,C20orf194
cg01182555,grey,HIF1A
cg01183860,grey,
cg01186835,turquoise,
cg01186919,turquoise,ALG9
cg01188822,darkgrey,YIPF3
cg01190037,turquoise,C4orf10
cg01190330,blue,OR12D3
cg01194519,turquoise,
cg01195053,turquoise,LOC652276
cg01196121,blue,
cg01199603,blue,MSRB3
