cpg,module,gene
cg00242786,grey,ADPRHL1
cg00243480,grey,NPAS3
cg00243922,turquoise,YIPF4
cg00245957,grey,DNM3
cg00247599,turquoise,HIST1H3H
cg00248804,turquoise,
cg00251875,grey,AFAP1
cg00254258,grey,PRDM16
cg00254480,greenyellow,
cg00255882,grey,WDR33
cg00255919,grey,IRF1
cg00256046,grey,ESRRG
cg00256231,grey,TBC1D16
cg00256329,grey,NXN
cg00257271,turquoise,C5orf39
cg00257769,grey,PARP4
cg00257786,grey,
cg00258132,grey,ESD
cg00261781,grey,MATN3
cg00264591,turquoise,IRX4
cg00265578,blue,TP53I13
cg00266983,grey,
cg00267054,turquoise,VPS54
cg00267325,blue,HLA-F
cg00268518,turquoise,NADSYN1
cg00269245,grey,NUP93
cg00269553,grey,PXDNL
cg00269800,grey,PCDHB16
cg00270625,grey,CPT1B
cg00274965,grey,
cg00275232,grey,ZNF296
cg00280177,turquoise,
cg00280239,grey,UTRN
cg00280761,blue,DGCR14
cg00282704,turquoise,MIR1915
cg00288155,turquoise,PNPLA8
cg00289052,turquoise,KIAA1033
cg00290605,turquoise,
cg00290607,grey,
cg00292568,grey,SFRS12IP1
cg00292857,grey,RNF139
cg00296938,turquoise,P4HTM
cg00297950,grey,GSTM3
cg00297966,grey,NSMCE2
cg00298020,turquoise,ORC1L
cg00298153,grey,C21orf33
cg00299286,grey,BTNL9
cg00300039,turquoise,INPP5B
cg00301775,turquoise,PRKAA1
cg00302533,turquoise,STK35
cg00304520,grey,
cg00308130,grey,
cg00310523,grey,RASSF9
cg00311772,grey,PPP1R7
cg00311883,grey,
cg00313914,grey,NAV1
cg00315606,turquoise,HNRNPA2B1
cg00315775,turquoise,LOC729678
cg00318877,grey,METT5D1
cg00319395,turquoise,RPAIN
cg00320645,blue,EIF4EBP2
cg00321286,grey,
cg00321703,turquoise,
cg00321709,grey,CYP2E1
cg00321850,grey,KIAA0040
cg00322319,turquoise,
cg00322667,blue,COASY
cg00325125,grey,
cg00325531,grey,
cg00327072,grey,NEURL1B
cg00329300,grey,TSTD1
cg00329748,turquoise,CAMTA1
cg00330279,turquoise,
cg00330936,turquoise,NUBP1
cg00332802,grey,
cg00335715,grey,
cg00336022,grey,
cg00341915,turquoise,CASC2
cg00343349,grey,
cg00343839,grey,LOC728392
cg00347546,turquoise,FAM190B
cg00347643,turquoise,YWHAG
cg00347798,grey,
cg00348900,grey,CCDC102A
cg00350441,turquoise,FAM192A
cg00350885,cyan,GRB10
cg00355909,turquoise,CMTM3
cg00357238,turquoise,POT1
cg00360072,turquoise,HDAC4
cg00360468,turquoise,PRMT10
cg00361146,turquoise,SLC7A11
cg00361155,grey,
cg00361343,turquoise,ASB4
cg00363841,grey,SNX8
cg00365499,turquoise,SRPK2
cg00366352,turquoise,NTN4
cg00367396,grey,
cg00367615,grey,C13orf33
cg00368987,blue,ZNF264
cg00369151,grey,PIP4K2A
cg00369241,grey,IFITM5
cg00370820,turquoise,GTPBP1
cg00371829,turquoise,NRG4
cg00372354,turquoise,KIAA1310
cg00372940,turquoise,WDR47
cg00373376,grey,MAD1L1
cg00374056,grey,
cg00374596,turquoise,PPP1CA
cg00376283,turquoise,ABCB9
cg00377087,brown,
cg00381411,grey,RBM24
cg00386581,turquoise,UBXN1
cg00386702,grey,ZNF780B
cg00389713,blue,SRF
cg00392242,grey,ARRDC4
cg00393546,tan,DIP2C
cg00394494,turquoise,SCN9A
cg00395783,grey,
cg00397324,grey,MX1
cg00402812,turquoise,TMEM167B
cg00405789,grey,ZFAT
cg00412273,turquoise,CASC3
cg00413030,grey,
cg00413089,grey,
cg00414890,grey,
cg00416747,turquoise,HIST1H1E
cg00417835,blue,ZBTB9
cg00418146,turquoise,NMNAT1
cg00419333,green,CYB5B
cg00425885,grey,CAMTA1
cg00426486,grey,
cg00426921,turquoise,PHGDH
cg00430888,grey,
cg00431813,grey,C7orf50
cg00431894,grey,
cg00432059,turquoise,ZNF93
cg00434295,turquoise,SUGT1L1
cg00435098,brown,MUC2
cg00436969,grey,RESP18
cg00437048,grey,PFKP
cg00438215,turquoise,
cg00438616,turquoise,NRG4
cg00438740,turquoise,INPP5D
cg00439706,turquoise,MGA
cg00442112,grey,CYTL1
cg00443488,grey,PFKFB3
cg00443673,turquoise,CASC3
cg00443946,grey,LOC732275
cg00444282,grey,RTN3
cg00444581,grey,PTK2
cg00446595,brown,SBK1
cg00448482,turquoise,C18orf19
cg00449767,grey,EXOC3L2
cg00450312,turquoise,
cg00450487,turquoise,ZFAND1
cg00451651,grey,VPS13B
cg00452882,grey,RLTPR
cg00453349,turquoise,SEPT10
cg00454517,turquoise,MLXIP
cg00455333,turquoise,KIF2C
cg00456011,turquoise,AP3S2
cg00456348,turquoise,C12orf44
cg00458210,turquoise,HIST2H2AC
cg00458607,grey,SNX19
cg00460260,turquoise,ELOVL6
cg00461735,blue,C1orf31
cg00461901,yellow,PPFIA3
cg00462311,turquoise,NFATC4
cg00463982,grey,IFT140
cg00465476,grey,DUOX2
cg00466108,turquoise,DNAJC6
cg00466364,turquoise,ELAVL3
cg00467244,turquoise,
cg00469395,grey,
cg00469635,grey,PPME1
cg00469814,turquoise,
cg00470794,turquoise,CHFR
cg00471645,blue,
cg00472375,turquoise,ENTPD4
cg00474242,turquoise,WDR5B
cg00474465,turquoise,HMX2
cg00475645,turquoise,STAU2
cg00477378,turquoise,RCBTB1
cg00481259,grey,DECR2
cg00481457,turquoise,LAMA3
cg00481725,grey,
cg00482898,turquoise,SNRPG
cg00484396,grey,NAT15
cg00486627,turquoise,CACNA2D2
cg00487780,turquoise,CCDC97
cg00487848,grey,SFRS8
cg00488691,grey,CENPO
cg00491180,grey,TMPRSS8
cg00492055,grey,CEP70
cg00493304,grey,GTF2A1L
cg00493755,turquoise,LYRM5
cg00495035,grey,HDAC4
cg00495289,turquoise,IFRD1
cg00495303,grey,DLGAP1
cg00495515,grey,MYNN
cg00497232,grey,
cg00499399,turquoise,MICA
cg00499859,turquoise,RAD51
cg00501421,grey,RPP14
cg00501779,grey,MTA2
cg00502442,turquoise,ZDHHC14
cg00504457,turquoise,MCOLN1
cg00504919,turquoise,C16orf55
cg00505277,grey,
cg00505936,grey,HAS3
cg00507259,turquoise,SMARCAD1
cg00509281,grey,CDC2
cg00509507,turquoise,SSC5D
cg00510011,turquoise,GPR98
cg00510320,grey,RLTPR
cg00510718,turquoise,PIK3CG
cg00511731,turquoise,BMF
cg00514413,turquoise,C19orf26
cg00514665,grey,A2BP1
cg00515161,turquoise,BRIP1
cg00515559,turquoise,LOC100216545
cg00519627,turquoise,CORO7
cg00520378,grey,CTU2
cg00521863,grey,
cg00522231,grey,ITGB1BP1
cg00522403,grey,ZNF843
cg00523161,grey,LPIN1
cg00524108,grey,PRR19
cg00524676,grey,
cg00525277,grey,TNXB
cg00526953,grey,
cg00530492,turquoise,HCG9
cg00530929,turquoise,DNAJC28
cg00533340,grey,CELSR1
cg00533620,turquoise,RPA2
cg00534133,turquoise,CENPH
cg00535785,grey,ZNF423
cg00538642,grey,C19orf36
cg00540400,grey,
cg00543485,grey,JUN
cg00543499,turquoise,EPS15
cg00544901,blue,RPS11
cg00545295,turquoise,CBX7
cg00549575,turquoise,EIF3F
cg00549601,grey,
cg00551617,grey,
cg00553120,turquoise,DNAJB6
cg00555420,grey,TAPT1
cg00557959,grey,
cg00558031,grey,C4orf23
cg00558737,turquoise,MFAP3
cg00558986,turquoise,NSUN3
cg00558990,turquoise,GPN3
cg00559439,grey,VGLL4
cg00562265,turquoise,
cg00563238,turquoise,
cg00563699,turquoise,INPP5B
cg00563793,grey,PACS1
cg00564714,grey,RIPK2
cg00565070,greenyellow,PDE4A
cg00567479,grey,FARP2
cg00567749,turquoise,VCAN
cg00568641,blue,RPL26L1
cg00569673,turquoise,GPSM3
cg00569953,turquoise,RAB1B
cg00570269,grey,C13orf33
cg00570642,turquoise,DOC2A
cg00571935,grey,SHPRH
cg00572586,grey,PLD6
cg00573330,grey,ZNF141
cg00578530,turquoise,BPNT1
cg00579423,grey,
cg00580805,turquoise,DHODH
cg00580965,grey,
cg00581848,turquoise,GPR157
cg00581979,turquoise,PRR24
cg00582417,turquoise,KAT5
cg00582881,turquoise,AFAP1L1
cg00584636,turquoise,DNPEP
cg00584885,grey,
cg00586909,turquoise,CDKAL1
cg00587009,grey,
cg00588198,lightgreen,
cg00589864,grey,PPP3R1
cg00590063,grey,B3GNT3
cg00590081,turquoise,FNDC3A
cg00590106,grey,SSBP2
cg00590260,grey,DIP2C
cg00591890,grey,
cg00593900,grey,ANGPTL6
cg00594128,grey,ZNF879
cg00594560,grey,ZFHX4
cg00594917,grey,PPFIA4
cg00596184,grey,VPS4A
cg00596508,blue,CNTN1
cg00597043,grey,
cg00597055,turquoise,CHP
cg00597492,brown,LPCAT1
cg00599163,grey,
cg00599530,grey,
cg00601042,grey,GALNT9
cg00601836,grey,ESR1
cg00603498,blue,RPAIN
cg00604356,turquoise,PIK3CG
cg00607058,grey,OSBP2
cg00607609,grey,SYNPO2
cg00608169,grey,
cg00608605,grey,DDAH2
cg00611301,grey,HDDC2
cg00611789,grey,CMYA5
cg00612595,grey,
cg00614959,grey,PCGF3
cg00616369,grey,NCL
cg00618312,turquoise,ELF1
cg00620449,turquoise,C5orf37
cg00620629,turquoise,ZUFSP
cg00622654,turquoise,DOCK1
cg00623328,turquoise,RAB43
cg00624150,grey,PCBD2
cg00624589,grey,
cg00626422,turquoise,SNORD93
cg00628697,grey,DSCR3
cg00629370,turquoise,PTHLH
cg00629941,turquoise,SCAMP5
cg00630431,grey,SNORA38B
cg00631329,grey,
cg00632778,grey,
cg00632811,grey,PWP1
cg00632914,grey,ZFP2
cg00636124,blue,JMJD5
cg00637745,grey,
cg00638631,grey,KCNJ6
cg00639837,grey,
cg00639886,grey,PDE1B
cg00641632,turquoise,SLC25A39
cg00642460,grey,PFN3
cg00645339,turquoise,LOC145663
cg00650762,turquoise,EPHB2
cg00653281,tan,PRKCZ
cg00655071,turquoise,ZNF280D
cg00655412,blue,CRYM
cg00655552,turquoise,
cg00657871,blue,SSX2IP
cg00658016,grey,PIK3CA
cg00660163,blue,MEX3A
cg00662647,grey,SLC35F3
cg00663719,grey,WWOX
cg00664023,turquoise,ALG14
cg00665908,turquoise,TAF11
cg00666685,turquoise,HYAL3
cg00666978,turquoise,LASS2
cg00667976,turquoise,ARL1
cg00668525,grey,CDC7
cg00671161,turquoise,ALG11
cg00671759,red,ACTG1
cg00673251,blue,ECHDC3
cg00673290,grey,APOB
cg00673674,blue,SFRS14
cg00674365,grey,ZNF471
cg00676224,turquoise,
cg00680768,blue,MAD2L1
cg00681103,red,CFLAR
cg00681662,turquoise,ANKZF1
cg00683329,grey,
cg00684529,turquoise,
cg00685614,grey,
cg00687095,blue,RFWD2
cg00688236,turquoise,KBTBD11
cg00688900,turquoise,GGNBP2
cg00689284,grey,
cg00690271,blue,TUBA1C
cg00690400,blue,MRPS14
cg00690554,grey,ZFYVE21
cg00691240,grey,TXNDC12
cg00697301,grey,
cg00697979,grey,KIAA1609
cg00698067,grey,REPS1
cg00698263,grey,
cg00698771,grey,
cg00699807,turquoise,ZBTB1
cg00701051,grey,
cg00702638,turquoise,KIF15
cg00710617,turquoise,ZFP64
cg00711496,grey,C19orf76
cg00711831,turquoise,NDUFB7
cg00712898,turquoise,PRPF38B
cg00713605,turquoise,ARMC9
cg00713939,grey,NAPRT1
cg00714184,blue,LRAT
cg00714198,turquoise,RAF1
cg00715047,blue,LLGL2
cg00715257,turquoise,UBL5
cg00716604,blue,TBC1D15
cg00718333,turquoise,DRAM2
cg00719323,turquoise,TANK
cg00719685,grey,BPNT1
cg00722320,turquoise,MIR184
cg00724774,grey,ATP8B3
cg00728999,grey,EZH1
cg00730780,blue,KIAA1462
cg00732059,grey,PHLPP2
cg00733150,grey,FAM118A
cg00733288,grey,CARS2
cg00734483,grey,BACE2
cg00734970,turquoise,NAT14
cg00735315,turquoise,CYHR1
cg00735667,grey,
cg00737841,grey,
cg00738934,grey,
cg00739624,brown,SRL
cg00740368,turquoise,
cg00740691,turquoise,
cg00740889,turquoise,LARP7
cg00742920,grey,
cg00744229,turquoise,RNF25
cg00744351,grey,CHRNE
cg00746864,turquoise,PITPNC1
cg00747362,blue,MCOLN1
cg00747859,turquoise,CP110
cg00748494,grey,
cg00750399,grey,HELZ
cg00750481,grey,
cg00752778,turquoise,
cg00752852,blue,ARPC2
cg00753492,turquoise,IRF2BP2
cg00754027,turquoise,KIF14
cg00754688,blue,
cg00755470,turquoise,
cg00758217,brown,SSBP3
cg00758881,grey,NDRG4
cg00759707,grey,ATP2A2
cg00759836,grey,KIAA0090
cg00760338,grey,ETV5
cg00761859,grey,NRP1
cg00761861,turquoise,VTI1B
cg00762326,turquoise,UBA52
cg00763094,turquoise,BAT2L2
cg00763096,turquoise,FBXL22
cg00765312,turquoise,ALX1
cg00767116,grey,CARS2
cg00767642,grey,NMNAT2
cg00767948,grey,PTPRG
cg00770784,grey,CFDP1
cg00770871,turquoise,TULP3
cg00771026,turquoise,C4orf10
cg00771049,turquoise,ARPC5L
cg00772840,turquoise,AKAP8
cg00773142,grey,PLCG2
cg00773413,turquoise,C10orf41
cg00776558,grey,IGDCC4
cg00777209,turquoise,DHX16
cg00778059,turquoise,SPATA13
cg00778905,pink,TPRG1L
cg00778995,grey,POU3F3
cg00782260,turquoise,
cg00782697,grey,INPP5A
cg00782772,grey,KLHDC4
cg00784671,grey,CELSR1
cg00785941,grey,OR2L13
cg00786406,turquoise,HIPK1
cg00786761,grey,
cg00787919,turquoise,MND1
cg00788177,grey,
cg00791851,grey,
cg00792235,grey,
cg00792783,turquoise,PLCL1
cg00793935,grey,TRPM8
cg00794174,grey,
cg00795626,turquoise,BAT4
cg00795791,grey,PL-5283
cg00795915,blue,BDP1
cg00800993,grey,C20orf177
cg00802903,grey,
cg00803088,blue,RET
cg00803873,turquoise,C21orf59
cg00804031,turquoise,PIAS4
cg00804048,turquoise,EIF5A
cg00805880,grey,PPFIA4
cg00807871,grey,MDGA1
cg00809820,grey,TBCD
cg00811081,turquoise,RPAP3
cg00815399,grey,
cg00815440,turquoise,UQCRFS1
cg00815931,turquoise,RPTOR
cg00817464,grey,XPNPEP1
cg00817731,grey,PRSS50
cg00818680,grey,TMCO7
cg00819696,turquoise,TIMELESS
cg00820664,turquoise,WDR33
cg00822399,grey,
cg00825173,turquoise,IFT88
cg00826921,blue,C3orf58
cg00827008,grey,
cg00828689,turquoise,PIGZ
cg00829406,turquoise,FRS2
cg00830121,grey,
cg00837434,grey,MTMR10
cg00843105,grey,ZNF234
cg00844641,turquoise,FLNC
cg00846340,grey,RNF4
cg00853940,grey,TRPM8
cg00857660,red,SNORD74
cg00859178,grey,UHMK1
cg00860370,blue,RNPC3
cg00861009,turquoise,HOXD11
cg00862618,black,FKBP4
cg00864568,grey,PCGF3
cg00864916,grey,KIAA1614
cg00866976,turquoise,GNAO1
cg00867835,grey,SSPO
cg00868766,grey,
cg00869285,turquoise,ZNF837
cg00871917,turquoise,RFT1
cg00872984,grey,TNXB
cg00873473,green,JMJD8
cg00873648,turquoise,
cg00874817,grey,
cg00876541,turquoise,MIR1181
cg00876704,turquoise,PKN1
cg00876757,grey,
cg00878163,grey,HSF5
cg00878630,grey,COPS7B
cg00880290,turquoise,PKN1
cg00881417,grey,PLEKHA1
cg00883019,grey,ARHGEF3
cg00885506,turquoise,WDR31
cg00890070,grey,
cg00891891,turquoise,SORD
cg00893875,grey,
cg00894222,turquoise,PRMT7
cg00898013,grey,PROZ
cg00901264,turquoise,
cg00901687,grey,MYCBPAP
cg00905725,turquoise,DFFB
cg00906130,grey,HPGD
cg00906926,grey,CCDC42B
cg00907218,grey,
cg00908027,turquoise,USP10
cg00908766,grey,CELSR2
cg00908822,grey,
cg00909514,grey,C1orf106
cg00910333,turquoise,TARBP2
cg00910586,grey,
cg00910640,turquoise,C2orf73
cg00912449,grey,
cg00913755,grey,KIFC1
cg00914084,grey,
cg00914462,turquoise,HNRNPU
cg00916439,turquoise,BAT1
cg00916884,grey,MT1M
cg00919118,turquoise,TCF7L2
cg00919237,grey,ABCB4
cg00920818,turquoise,AMIGO2
cg00922157,grey,
cg00922376,turquoise,PRDM2
cg00923533,grey,
cg00923880,grey,
cg00924372,grey,
cg00927231,turquoise,
cg00928596,grey,MIR365-1
cg00929798,grey,CALY
cg00930710,turquoise,
cg00931619,turquoise,NPHP4
cg00931874,grey,
cg00932688,turquoise,C16orf87
cg00933696,blue,
cg00934312,yellow,ATP6V0E2
cg00935307,turquoise,
cg00937982,grey,SIM2
cg00939931,turquoise,MAFK
cg00940786,grey,ARSG
cg00940812,turquoise,NECAB1
cg00940891,turquoise,FGFRL1
cg00941229,turquoise,OTUD7B
cg00941745,turquoise,EIF3E
cg00942219,grey,
cg00944421,grey,ESRP2
cg00944502,turquoise,PPWD1
cg00947782,grey,RNF39
cg00948102,turquoise,ICT1
cg00949022,turquoise,PIBF1
cg00951395,grey,KIAA1383
cg00954003,grey,TMSB10
cg00958605,turquoise,HIST1H3B
cg00958781,turquoise,TMCO6
cg00960700,grey,TBCD
cg00960857,grey,JAKMIP3
cg00963305,turquoise,MMP15
cg00963378,grey,GJA3
cg00964333,grey,
cg00964710,turquoise,BFAR
cg00965052,turquoise,NME1
cg00966959,turquoise,DDX52
cg00969405,grey60,HOXA5
cg00969680,tan,AFARP1
cg00969787,blue,TESK2
cg00971834,blue,COL13A1
cg00975854,green,C1orf63
cg00976097,grey,AHRR
cg00976797,grey,IFT140
cg00981797,turquoise,UFD1L
cg00982548,grey,BOLL
cg00982952,grey,GLG1
cg00989226,lightcyan,SFRS11
cg00989853,grey,IRF6
cg00991755,turquoise,KIAA0427
cg00992297,blue,ARAP3
cg00992385,turquoise,HCK
cg00993651,turquoise,
cg00993799,blue,LOC100216545
cg00993824,turquoise,IL12RB2
cg00994804,grey,RUNX1
cg00995047,grey,LOC728613
cg00997424,turquoise,PI4K2A
cg00997931,grey,YOD1
cg00998146,grey,IFI30
cg00998438,grey,ILDR2
cg00999410,grey,OR6C1
cg00999904,grey,ALLC
cg01000656,turquoise,SPATA1
cg01001468,turquoise,MAF
cg01003015,turquoise,VIM
cg01003902,grey,SAFB2
cg01006802,grey,TMPRSS8
cg01010328,grey,TTC24
cg01010781,blue,TMED4
cg01010868,turquoise,PRKACA
cg01012308,turquoise,TRAP1
cg01013630,turquoise,SMUG1
cg01014287,turquoise,FUBP1
cg01015416,turquoise,PTPN12
cg01016662,turquoise,
cg01017244,grey,
cg01017355,turquoise,
cg01018360,brown,ZC3H18
cg01021053,turquoise,ZWINT
cg01022117,grey,PKP1
cg01023271,turquoise,IGSF8
cg01023593,grey,ZNF324B
cg01026256,grey,VWA5B2
cg01027808,tan,CBX7
cg01029685,grey,PCDHA6
cg01029901,grey,ZNF772
cg01033356,grey,ADARB2
cg01033463,blue,PHF21B
cg01034243,grey,
cg01037362,grey,FNDC1
cg01040630,grey,CSMD3
cg01044608,grey,ZNF543
cg01044695,turquoise,KDELR1
cg01044722,turquoise,MYH10
cg01051310,grey,WNT3A
cg01051546,turquoise,PLK1S1
cg01053087,grey,ERICH1
cg01053411,turquoise,
cg01054502,turquoise,C16orf75
cg01054755,turquoise,LOC389333
cg01055543,turquoise,MRPL33
cg01055610,turquoise,MIR636
cg01055696,grey,
cg01056174,turquoise,ANAPC1
cg01056242,grey,GPR133
cg01056350,turquoise,HHAT
cg01056889,turquoise,NEK10
cg01056945,turquoise,RHOQ
cg01057882,grey,
cg01058004,grey,DEFB136
cg01059385,grey,WBP2NL
cg01061890,turquoise,TXNDC11
cg01062020,grey,SH2D1B
cg01065977,grey,ISYNA1
cg01066274,blue,WDR59
cg01066472,grey,
cg01067626,blue,SKP1
cg01067724,yellow,CCDC102A
cg01067849,blue,WRNIP1
cg01070209,grey,SRRM4
cg01070694,turquoise,KPNB1
cg01072121,turquoise,TMED7-TICAM2
cg01073375,turquoise,C11orf54
cg01074767,grey,C1RL
cg01076129,grey,CRISP2
cg01077350,green,C6orf52
cg01077808,turquoise,C19orf44
cg01078271,turquoise,DACT3
cg01079515,grey,
cg01079738,grey,C1orf14
cg01081346,grey,CPT1B
cg01082862,blue,ZMYM5
cg01084566,grey,HPGD
cg01086446,turquoise,GABRA1
cg01086895,turquoise,DCHS1
cg01088528,turquoise,PPIL3
cg01089095,blue,CHCHD1
cg01091514,grey,
cg01092528,yellow,NAAA
cg01093383,turquoise,STK19
cg01094309,grey,RPS6KA2
cg01094684,turquoise,UQCR
cg01095506,grey,UTRN
cg01096398,turquoise,FOXQ1
cg01096617,grey,CNOT1
cg01097406,grey,
cg01097907,grey,
cg01099231,grey,
cg01100864,yellow,VPS33A
cg01101647,turquoise,EPHA5
cg01102158,turquoise,TSSC1
cg01103255,turquoise,NIF3L1
cg01103911,turquoise,SPDYA
cg01106040,turquoise,ZXDC
cg01111397,red,DLX2
cg01112801,grey,CCT8
cg01112923,red,NEK1
cg01113680,grey,ENOX1
cg01114163,grey,
cg01117269,grey,DIP2C
cg01119172,grey,SNORD94
cg01119278,grey,DDO
cg01120165,turquoise,HDAC10
cg01120902,grey,
cg01120994,turquoise,
cg01123926,blue,FAM3D
cg01124027,blue,STX18
cg01124132,grey,RFPL2
cg01124440,turquoise,ANKH
cg01124477,grey,
cg01129128,grey,TRAPPC9
cg01139508,turquoise,ZNF660
cg01142386,turquoise,FOXF1
cg01143222,grey,KLHL31
cg01143569,turquoise,VPRBP
cg01145054,turquoise,
cg01145430,grey,GATM
cg01148786,turquoise,
cg01151686,turquoise,LIG3
cg01152488,turquoise,MAGEL2
cg01154721,tan,KDM2B
cg01156747,grey,
cg01157809,turquoise,AGBL5
cg01158970,yellow,UTP15
cg01159515,grey,SLC12A2
cg01162053,grey,SLC23A2
cg01165287,turquoise,XPO1
cg01167029,grey,TMEM218
cg01168283,lightcyan,FOXF1
cg01169952,turquoise,SGEF
cg01171898,turquoise,C11orf30
cg01172345,grey,DNAH10
cg01175433,grey,ATP2B2
cg01175682,turquoise,RNF220
cg01176150,blue,C16orf58
cg01176271,turquoise,SNX1
cg01177167,grey,
cg01177470,red,
cg01178451,turquoise,GALR1
cg01178486,turquoise,TAF9
cg01178624,grey,KCNK7
cg01179140,turquoise,IRF2BP2
cg01179580,turquoise,GLTP
