cpg,module
cg12064373,grey
cg05234568,grey
cg23984997,cyan
cg13105599,grey
cg07629776,grey
cg25977965,grey
cg27136994,grey
cg15671450,grey
cg19899312,cyan
cg09798888,grey
cg24739189,grey
cg14418922,grey
cg00862618,cyan
cg13679303,grey
cg26164155,cyan
cg11560654,grey
cg16739396,cyan
cg04977124,cyan
cg05926928,grey
cg00363841,cyan
cg24476033,grey
cg20415053,grey
cg15007983,grey
cg25432232,grey
cg23155965,grey
cg12162424,grey
cg08904082,cyan
cg10553204,grey
cg06917450,grey
cg25823419,cyan
cg06197574,cyan
cg25474507,cyan
cg25010788,grey
cg25826404,cyan
cg18566515,grey
cg24702069,grey
cg01916088,cyan
cg05773442,cyan
cg04737319,cyan
cg04653913,grey
cg04346459,grey
cg18644286,grey
cg21610904,grey
cg07168142,grey
cg03699307,grey
cg11862551,grey
cg04506728,grey
cg03058232,grey
cg22526939,grey
cg04585209,grey
cg16530959,cyan
cg05195235,cyan
cg01103255,cyan
cg18710053,grey
cg17027195,cyan
cg00256329,grey
cg22401835,blue
cg12403142,grey
cg01479768,grey
cg03161606,grey
cg13399903,grey
cg13703062,cyan
cg04138181,cyan
cg17801295,grey
cg17074816,cyan
cg27119456,grey
cg03891574,blue
cg20503657,grey
cg10770187,grey
cg11478607,grey
cg27370471,grey
cg14192299,grey
cg03226844,grey
cg00685614,grey
cg11826685,cyan
cg12267883,cyan
cg15235172,cyan
cg14029686,grey
cg10523679,grey
cg01588435,cyan
cg21364560,cyan
cg19083407,grey
cg18589478,cyan
cg22832407,cyan
cg12624829,grey
cg13872356,grey
cg08882774,cyan
cg08243963,cyan
cg13683218,cyan
cg11223711,cyan
cg05191217,grey
cg05779406,grey
cg14133635,grey
cg11168104,grey
cg22990158,grey
cg23755720,blue
cg12042659,grey
cg19761502,grey
cg02270332,grey
cg21351392,grey
cg05668405,cyan
cg00467244,cyan
cg17666981,blue
cg04761648,cyan
cg18029791,cyan
cg01290755,grey
cg11076954,grey
cg14425796,cyan
cg21073930,grey
cg02060408,cyan
cg24895754,cyan
cg05115862,grey
cg01056242,grey
cg12454169,grey
cg15478005,cyan
cg12286307,cyan
cg26351027,cyan
cg17459215,blue
cg05890377,grey
cg10409680,grey
cg07057042,cyan
cg06804154,cyan
cg05827468,grey
cg13943068,grey
cg21838488,grey
cg08562672,grey
cg07366506,grey
cg11904906,grey
cg05731801,grey
cg00869285,cyan
cg25802888,grey
cg26138821,grey
cg07611106,cyan
cg03496709,grey
cg21557108,grey
cg02239258,grey
cg03446079,cyan
cg15848628,cyan
cg22417566,grey
cg26677194,grey
cg23099839,grey
cg25903497,grey
cg02174092,grey
cg19045731,grey
cg09044981,grey
cg05983883,cyan
cg24536410,cyan
cg00976097,grey
cg05212510,grey
cg04150382,cyan
cg19767548,grey
cg20765267,cyan
cg14024893,grey
cg12412902,grey
cg21736038,cyan
cg06505394,cyan
cg03431989,cyan
cg18295068,cyan
cg24838517,cyan
cg25877086,cyan
cg22790973,cyan
cg24019078,grey
cg24820672,grey
cg19692996,cyan
cg16277922,blue
cg10138041,grey
cg21744417,blue
cg24708350,cyan
cg22318304,cyan
cg20982046,grey
cg15896487,grey
cg10621924,grey
cg15347434,grey
cg23348014,grey
cg07338058,cyan
cg06751175,cyan
cg19689828,cyan
cg20007643,cyan
cg17501823,grey
cg27573991,grey
cg10671668,grey
cg26893544,cyan
cg26064155,cyan
cg25799969,cyan
cg06834261,cyan
cg12637942,brown
cg27461800,cyan
cg23517954,grey
cg05122437,grey
cg11661340,cyan
cg02091185,grey
cg03758011,cyan
cg19305040,cyan
cg27211696,grey
cg17453780,grey
cg11633191,cyan
cg17833169,grey
cg11561443,cyan
cg24608381,grey
cg02133786,grey
cg24033633,grey
cg24834873,grey
cg07498239,cyan
cg11739541,grey
cg16301894,grey
cg21107549,cyan
cg18082014,cyan
cg14593317,cyan
cg23223544,blue
cg10146935,grey
cg09359103,grey
cg18598029,grey
cg14790686,cyan
cg24602417,grey
cg15571277,cyan
cg12603338,cyan
cg07944724,cyan
cg02452966,grey
cg22549504,cyan
cg15535896,grey
cg20835659,grey
cg04342328,cyan
cg02599498,grey
cg21076702,cyan
cg06902200,cyan
cg23757474,cyan
cg08180285,cyan
cg16386425,blue
cg19464247,blue
cg05200811,grey
cg23240149,cyan
cg04683509,grey
cg09937190,grey
cg08099141,cyan
cg27362222,cyan
cg22489583,cyan
cg19156231,grey
cg00156216,cyan
cg26135573,grey
cg05569877,cyan
cg14677130,grey
cg06513375,grey
cg08241307,grey
cg20698501,grey
cg04577441,cyan
cg06440615,cyan
cg08607907,cyan
cg03909863,grey
cg24847621,grey
cg13375589,grey
cg19870512,grey
cg07167872,grey
cg19272349,grey
cg22344745,grey
cg08583625,blue
cg25514328,cyan
cg00523161,grey
cg00733288,cyan
cg04873833,cyan
cg23497383,grey
cg10193721,grey
cg00191853,grey
cg08729407,cyan
cg25006249,grey
cg17716961,cyan
cg14503395,grey
cg22620746,grey
cg21166785,grey
cg21809007,cyan
cg24804544,cyan
cg19022814,grey
cg04707531,cyan
cg02006977,cyan
cg20356637,grey
cg14106680,grey
cg27205649,cyan
cg19585676,grey
cg04392266,grey
cg08492202,grey
cg19317226,grey
cg25725258,cyan
cg09007161,cyan
cg03762505,grey
cg20485607,grey
cg08922308,grey
cg18845950,grey
cg01331196,grey
cg08738040,cyan
cg25258812,cyan
cg16770933,cyan
cg05306950,cyan
cg12828262,cyan
cg20496693,cyan
cg05425699,grey
cg17479576,blue
cg21384492,grey
cg23763647,grey
cg06088084,cyan
cg16452840,cyan
cg08879403,cyan
cg00159523,grey
cg04896168,grey
cg21213617,grey
cg02532014,grey
cg16898124,grey
cg03088475,cyan
cg12111432,grey
cg11766577,grey
cg23670372,blue
cg09127314,grey
cg17993442,cyan
cg26210447,cyan
cg08316083,grey
cg14687298,grey
cg19048327,blue
cg15201545,grey
cg12837306,grey
cg04704193,cyan
cg09068086,grey
cg08681904,grey
cg06109664,cyan
cg18821281,cyan
cg01392184,grey
cg05348272,cyan
cg13736514,grey
cg01847719,grey
cg00289052,cyan
cg01996567,grey
cg13922901,grey
cg17759252,grey
cg16088107,cyan
cg13098082,cyan
cg09678349,grey
cg26865747,grey
cg17504698,cyan
cg06643849,grey
cg11800714,blue
cg24317190,grey
cg24652615,grey
cg00912449,grey
cg18912855,cyan
cg02961798,grey
cg07119389,cyan
cg05456022,grey
cg05395061,cyan
cg23489630,grey
cg03061811,cyan
cg05457628,grey
cg18713687,grey
cg15131808,cyan
cg19526685,cyan
cg03595538,cyan
cg12160103,cyan
cg03060590,grey
cg03702435,cyan
cg14526732,cyan
cg23661344,grey
cg13857646,grey
cg17527589,grey
cg10091662,cyan
cg16701105,cyan
cg03184037,cyan
cg03235083,cyan
cg03149565,cyan
cg07148880,cyan
cg10512498,blue
cg19287610,grey
cg11723066,blue
cg02320083,grey
cg09256131,cyan
cg09654157,cyan
cg07727872,grey
cg21724239,grey
cg02707464,cyan
cg26820375,cyan
cg01286930,grey
cg14078579,grey
cg02963119,grey
cg14711866,cyan
cg26668129,cyan
cg21081097,cyan
cg16737422,cyan
cg26858704,grey
cg06150148,grey
cg09562655,grey
cg14205126,cyan
cg25580254,cyan
cg12047714,cyan
cg22992730,grey
cg25251562,grey
cg12580665,cyan
cg03257341,cyan
cg20636351,grey
cg05372444,grey
cg22133704,grey
cg27088830,cyan
cg25894985,cyan
cg17501792,cyan
cg09918394,blue
cg03727229,cyan
cg05931087,cyan
cg27209117,grey
cg13516551,cyan
cg20051795,cyan
cg14161159,grey
cg25350087,cyan
cg18057887,grey
cg21736411,grey
cg01062020,grey
cg11561737,cyan
cg01694488,grey
cg05471949,blue
cg14310877,grey
cg25702335,grey
cg03205007,cyan
cg27116888,cyan
cg02415057,grey
cg00413089,grey
cg12580870,cyan
cg14380609,cyan
cg04917446,grey
cg00002033,grey
cg17759082,grey
cg09817162,grey
cg24545961,grey
cg02263539,cyan
cg02802904,cyan
cg03669949,grey
cg27399012,cyan
cg16073349,cyan
cg24047578,cyan
cg10548700,cyan
cg00321709,grey
cg24923430,grey
cg24102817,grey
cg26124560,blue
cg10475468,blue
cg21447227,cyan
cg26662579,cyan
cg19738812,grey
cg05377417,cyan
cg05419812,grey
cg23214606,cyan
cg15709401,grey
cg01822573,cyan
cg13997649,cyan
cg18855466,cyan
cg24346905,grey
cg15642854,grey
cg25513173,cyan
cg24411299,darkorange
cg12799314,grey
cg24684739,cyan
cg00807871,grey
cg27398640,grey
cg13550731,cyan
cg20512947,grey
cg00954003,cyan
cg05245319,cyan
cg09586646,grey
cg00438215,cyan
cg19428472,cyan
cg25208724,grey
cg13943985,cyan
cg10111008,cyan
cg03142458,orange
cg01652244,grey
cg23057706,cyan
cg10284592,grey
cg07921092,cyan
cg13219564,cyan
cg13091707,cyan
cg17751872,grey
cg19969778,cyan
cg06899053,cyan
cg19187521,cyan
cg22259797,grey
cg13516655,cyan
cg01072121,cyan
cg08027110,grey
cg05768908,cyan
cg12000995,grey
cg22699044,cyan
cg11831003,cyan
cg23758765,cyan
cg09474156,cyan
cg00688236,cyan
cg27435467,cyan
cg07092448,cyan
cg24005131,cyan
cg15256164,cyan
cg03049243,grey
cg09812376,grey
cg03927037,cyan
cg25381667,cyan
cg08122386,grey
cg25417842,grey
cg02676175,grey
cg11812810,cyan
cg02405503,grey
cg00495303,grey
cg27097438,grey
cg09568464,grey
cg02399249,grey
cg01217666,cyan
cg06491573,grey
cg00515161,cyan
cg12152938,cyan
cg20174585,cyan
cg06316553,cyan
cg11742103,grey
cg07488417,cyan
cg01179580,cyan
cg15212455,grey
cg24801210,grey
cg08570243,grey
cg16242106,cyan
cg08880849,grey
cg09150117,cyan
cg06218113,cyan
cg18692382,cyan
cg20276503,cyan
cg05154615,cyan
cg11769049,cyan
cg19247551,cyan
cg23687319,cyan
cg11214757,grey
cg00377087,blue
cg12022184,cyan
cg04146011,cyan
cg24530264,grey
cg04783966,cyan
cg05698228,cyan
cg23340935,grey
cg00027083,grey
cg06538660,cyan
cg07508394,cyan
cg12965799,cyan
cg03517284,grey
cg25945821,cyan
cg09671242,cyan
cg18388270,grey
cg13294447,grey
cg13207630,grey
cg24740026,cyan
cg20732881,grey
cg16534505,cyan
cg08522428,cyan
cg24712108,cyan
cg23690444,grey
cg11713788,cyan
cg17441280,cyan
cg08893875,cyan
cg09841758,cyan
cg03177231,cyan
cg06531573,grey
cg07549162,cyan
cg20720597,grey
cg06423211,grey
cg10960055,grey
cg07521193,grey
cg04037372,blue
cg09286061,cyan
cg06329735,grey
cg13622209,cyan
cg13446543,cyan
cg18792536,grey
cg14825413,grey
cg09614565,cyan
cg03410815,cyan
cg18497394,cyan
cg02784823,grey
cg25433490,cyan
cg18939664,blue
cg07613333,blue
cg02490460,grey
cg07693657,cyan
cg14813417,cyan
cg14131285,cyan
cg23840219,lightgreen
cg05701676,cyan
cg01303655,blue
cg17722231,cyan
cg26116260,cyan
cg21374208,cyan
cg01359822,grey
cg27116036,cyan
cg00755470,cyan
cg17651973,cyan
cg01971667,grey
