gene,eQTL_MR_FDR,eQTL_MR_OR,eQTL_MR_direction,mQTL_MR_pval,mQTL_MR_beta,mQTL_candidate_cpg
AXL,0.490511279,0.84,protective,0.06813649,0.0330343,cg10564498
BAG3,0.464936576,0.87,protective,0.3750566,0.0601013,cg10673740
BAP1,0.934219597,1.11,risk,,,
BAZ1A,0.168122185,1.4,risk,0.004209411,-0.0884059,cg09327582
BCL11B,,,,0.04045446,0.064623,cg19450111
BCL2,0.882095781,0.85,protective,0.01131863,0.137284,cg16445842
BCL2L1,0.365615195,1.49,risk,0.02737295,-0.0672498,cg08257293
BCL2L2,0.743748197,1.43,risk,,,
BCL3,0.97226074,1.05,risk,0.2717776,0.0408597,cg26470501
BCL6,0.497716995,1.23,risk,0.02065381,-0.087299,cg01598596
BECN1,0.424626978,1.09,risk,,,
BHLHE40,0.64177685,1.25,risk,0.1202183,-0.0612584,cg26344982
BIN1,0.834285711,1.02,risk,0.1003479,-0.0159845,cg02887598
BIRC5,0.971389089,0.99,protective,0.8237493,-0.0120379,cg04972436
BLK,,,,0.01231389,0.0722653,cg14702231
BLVRA,0.891333112,1.01,risk,0.2775771,0.0671619,cg19725553
BMP4,0.932345803,0.94,protective,0.1773408,-0.0982772,cg24526899
BMPR2,0.31914797,1.1,risk,0.1155494,-0.0992437,cg05364508
BMS1,0.468742305,1.32,risk,0.9176067,0.00315322,cg01227028
BNIP3L,0.59823789,0.74,protective,0.0198877,0.0408423,cg01706566
BRAF,0.962676974,0.96,protective,0.2086783,-0.0507847,cg21043558
BRCA1,0.874705138,0.97,protective,0.163261,0.0961764,cg26276233
BRD7,0.875242482,1.01,risk,,,
BRIP1,0.145766707,1.56,risk,0.2113126,-0.00997351,cg18828268
BTG1,0.981238253,1.02,risk,0.2251039,-0.184935,cg20078640
BTG2,0.916486072,0.98,protective,0.5900149,-0.0327061,cg00567854
BTG3,0.686646795,1.15,risk,0.2116166,-0.0758564,cg14394939
BUB1B,,,,0.143558,-0.0945508,cg24584161
CAPNS1,0.890099855,0.96,protective,,,
CARF,0.894514913,1.13,risk,,,
CARM1,0.947104054,0.98,protective,0.1166748,0.0975726,cg12317676
CASP2,0.888679677,0.93,protective,0.1524977,-0.0233798,cg26596719
CAV1,0.91321095,1.11,risk,0.5101926,-0.0252728,cg05232628
CAVIN1,0.902917356,1.11,risk,,,
CBS,0.531779693,0.96,protective,0.08583006,0.0235823,cg01788910
CBX5,0.171235264,1.48,risk,,,
CBX7,0.997097086,1,protective,0.1309974,-0.0949815,cg06410135
CBX8,0.144707956,1.72,risk,0.009012538,0.0571416,cg04986373
CCL2,0.714012572,1.39,risk,0.1669616,-0.0530589,cg17864156
CCN2,0.333488015,1.15,risk,,,
CCNA2,0.842375562,1.1,risk,0.7731409,0.00917842,cg20573242
CCNB1,0.666495822,0.88,protective,0.1097642,0.113475,cg23935746
CCND1,0.985279163,1.01,risk,0.07877401,-0.0958873,cg01406280
CCND3,0.52981831,0.86,protective,0.07874954,0.0932211,cg17945153
CD28,0.801472556,0.89,protective,,,
CD34,0.973306119,0.98,protective,0.523441,-0.040843,cg09788693
CD82,0.955196293,0.97,protective,0.3365994,-0.0561143,cg21957813
CDC25A,0.982392475,1.02,risk,,,
CDC45,0.945673244,0.93,protective,,,
CDC7,0.374935926,1.05,risk,0.01430152,-0.119294,cg07090678
CDCA2,0.740346026,0.82,protective,0.2085288,0.0269881,cg05005217
CDCA4,0.951028188,0.98,protective,0.2366453,0.0756513,cg25105633
CDH1,0.857476254,1.04,risk,0.2608694,-0.0584734,cg05785947
CDK18,0.900988442,0.88,protective,0.2367073,0.0107989,cg26400546
CDK2,0.882238547,1.15,risk,0.000150966,0.0412194,cg00635560
CDK2AP1,0.969365652,1,protective,0.01598301,0.183994,cg10502957
CDK4,0.950847414,1.05,risk,0.02005429,-0.0909695,cg03829839
CDK5,,,,0.05316098,0.0927051,cg15879755
CDK5R1,0.58052676,1.03,risk,0.002979585,-0.0730941,cg07437263
CDK6,0.804266359,1.26,risk,0.2273196,-0.0260818,cg14199261
CDKN1A,0.969587115,0.99,protective,0.4679042,0.0466766,cg08179530
CDKN1B,0.59484152,0.84,protective,0.8885522,0.00314454,cg19252671
CDKN1C,,,,0.2354578,-0.0464958,cg23904595
CDKN2A,0.948967185,0.95,protective,,,
CDKN2AIP,0.133716963,0.7,protective,,,
CDKN2B,0.407134041,1.07,risk,,,
CEBPB,0.714070892,0.9,protective,0.452307,-0.0408579,cg02930951
CEBPG,0.9848739,0.99,protective,0.9211816,-0.00625838,cg15046693
CENPA,,,,0.03487084,-0.0595187,cg22284448
CHAF1B,0.896972863,1.08,risk,0.3633629,-0.0150013,cg22871721
CHD5,0.72844491,1.25,risk,0.05547338,0.0539966,cg05382282
CHEK1,0.769706844,0.82,protective,0.2745834,0.0525066,cg03474731
CHEK2,0.273562651,0.67,protective,,,
CHUK,0.972546977,1.02,risk,0.7194889,-0.03574,cg05917963
CIP2A,0.838338377,0.96,protective,,,
CIT,,,,0.5621376,0.0195561,cg10923838
CKAP2,0.697536896,1.03,risk,,,
CKB,0.946256298,0.98,protective,0.1863744,0.0168002,cg12935359
CLCA2,,,,0.140569,-0.0248492,cg17424433
CLPP,0.852583234,0.95,protective,0.65217,-0.00458667,cg16848221
CLU,0.71376381,0.78,protective,0.09856154,0.0541862,cg03735511
CNOT6,0.453275934,1.05,risk,0.1432976,0.0802535,cg16245345
CNOT6L,0.70332356,1.12,risk,0.229703,0.0311953,cg14880894
CPEB1,,,,0.3139622,-0.0551462,cg07769790
CPT1C,0.45526626,1.24,risk,0.01393426,0.129615,cg00449201
CREG1,0.995205549,1,protective,0.5916645,-0.0468376,cg22344162
CRISPLD2,0.248871342,0.94,protective,0.04142315,0.0732853,cg05923015
CSNK1A1,0.995520518,1.01,risk,0.8917455,0.00765589,cg03611632
CSNK2A1,0.690275123,0.77,protective,0.7568294,0.0118997,cg07511836
CTH,0.991893345,1,protective,,,
CTNNAL1,0.776703849,1.04,risk,0.5159157,-0.0247359,cg14452121
CTNNB1,0.896288716,0.97,protective,0.5235465,0.041032,cg05726118
CTSB,,,,0.2209825,-0.0205615,cg21919729
CTSD,0.771138576,1.07,risk,0.006102664,-0.069423,cg12007048
CUX1,0.948362565,1.03,risk,0.04755938,0.0633407,cg02725620
CXCL1,0.984159428,0.99,protective,0.759688,0.0242993,cg19170015
CXCR2,0.741754521,0.95,protective,0.267745,0.0154734,cg14150666
CYB5R3,0.733168194,1.04,risk,0.2132369,0.0120612,cg20727362
CYP26A1,,,,0.04807577,0.127647,cg16445268
DDAH2,9.49e-16,0.66,protective,3.93e-13,-0.341766,cg15264752
DDB2,0.233740787,0.89,protective,0.1131975,0.042519,cg22081008
DDIT4,0.562883784,0.76,protective,0.5597055,0.0411978,cg01839993
DEK,0.969345641,0.98,protective,,,
DEPTOR,0.557227459,1.11,risk,,,
DGCR8,0.943106167,1.01,risk,0.7224502,-0.00768005,cg12670310
DHCR24,0.915126839,1.03,risk,0.6949701,-0.024295,cg25536676
DICER1,0.974314968,0.99,protective,0.2788591,0.0173932,cg23126376
DIDO1,0.958021994,1.01,risk,0.08279186,-0.019553,cg09864671
DIRAS3,,,,0.1980421,0.515146,cg22901840
DLC1,,,,0.03518389,0.0429158,cg16099871
DMTF1,0.508222918,0.6,protective,0.8406688,0.00314827,cg05757385
DNMT1,0.926742121,0.97,protective,,,
DNMT3A,0.224009864,0.74,protective,0.002710507,0.156591,cg13558695
DNMT3B,0.221985588,0.64,protective,0.008421261,0.0707158,cg00300969
DOT1L,0.244267652,0.73,protective,0.006276155,-0.059832,cg02092181
DPP4,0.297767456,0.8,protective,0.6928959,0.0272685,cg18892517
DPY30,0.585426772,1.54,risk,0.5407372,0.034933,cg16259886
DTL,0.94480465,1.15,risk,,,
DUSP1,0.974314968,0.98,protective,0.07538489,-0.0508164,cg11757894
DUSP3,0.995520518,1,protective,0.6098715,0.0354407,cg12812662
DUSP6,0.943106167,1.02,risk,0.4195019,0.0315946,cg20722088
DYRK1A,0.551791726,0.8,protective,,,
E2F1,,,,0.1440188,-0.0744077,cg00509772
E2F3,0.95184189,1.04,risk,0.3918657,-0.0261813,cg00380904
E2F7,,,,0.1700717,0.0139224,cg22480875
EEF1E1,0.943106167,1.09,risk,0.3115837,-0.0110133,cg18093864
EGFR,,,,0.07111012,0.0861406,cg23757825
EGLN1,0.779483615,0.91,protective,0.9659301,0.00049512,cg18815120
EGR2,0.870320433,1.12,risk,0.08322087,0.0958634,cg10601026
EHF,,,,0.1751363,0.0270802,cg13084525
EHMT2,,,,9.71e-16,-0.12611,cg02760218
EID3,0.96228523,0.98,protective,,,
EIF2AK2,0.99466579,1,protective,0.03475212,0.17088,cg17326313
EIF2AK3,0.854392359,1.11,risk,0.01467458,0.107764,cg05707116
EIF4E,0.943106167,0.98,protective,0.6082555,-0.0186739,cg02998394
EIF4EBP1,,,,0.4108449,0.0489537,cg17887364
EIF4G2,0.750057341,0.88,protective,0.2093331,0.0252795,cg08506841
ELAVL1,,,,0.1214818,-0.0441605,cg19357849
ELOA,0.637733553,1.04,risk,,,
ENDOG,0.939570212,0.99,protective,0.9198114,-0.00443935,cg13630871
ENG,0.899684441,1.03,risk,0.8616585,-0.0106532,cg07318313
ENO1,0.913218305,1.02,risk,0.2843243,-0.0441342,cg13785123
ENTPD7,0.950668422,1.07,risk,0.5875085,-0.0141892,cg20313873
EP300,0.075931374,0.84,protective,,,
EPAS1,0.958021994,1.01,risk,0.05935861,0.0351959,cg17518825
EPHA3,,,,0.1823942,-0.0695402,cg18055394
EPOR,0.299109073,0.9,protective,0.6345857,-0.0159312,cg07625271
ERBB2,0.221329433,0.6,protective,0.006797816,0.0823598,cg05616858
ERCC1,0.882572974,1.03,risk,0.1269746,-0.0883757,cg15740759
ERRFI1,0.296264425,1.89,risk,0.01189783,-0.0423251,cg22678073
ESR1,0.986592981,1.01,risk,0.0504915,0.106043,cg08884395
ESRRB,,,,0.02576603,0.148481,cg08072202
ETS1,0.289208366,1.56,risk,0.1688034,0.0560253,cg21695395
ETS2,0.996920922,1,protective,0.02337031,-0.0740562,cg23110422
ETV6,0.919052551,0.95,protective,0.01338204,-0.095616,cg11655490
EWSR1,,,,0.5381093,0.0274662,cg07886712
EZH2,0.594120808,1.11,risk,0.7356247,0.0279408,cg03661164
FANCD2,0.936383785,1.02,risk,,,
FASN,0.663189053,0.96,protective,0.1628087,0.0272285,cg15948410
FASTK,0.930763137,1.08,risk,0.1545112,0.04603,cg01139039
FBXO22,0.707094779,1.27,risk,,,
FBXO31,0.868942642,1.04,risk,0.02410675,0.134331,cg27365499
FBXO4,0.256493854,0.65,protective,0.01007456,0.0460175,cg26810146
FBXO5,0.8740164,1.1,risk,0.166566,-0.0748362,cg22417733
FDPS,0.967215503,0.97,protective,,,
FERMT1,,,,0.7252938,-0.0061779,cg25325723
FERMT2,,,,0.6033534,0.0283406,cg12104022
FGF21,,,,0.03420257,0.0709878,cg07800524
FGFR1,0.942735071,0.98,protective,0.10026,-0.0465957,cg02043791
FGFR2,0.823481467,0.97,protective,0.1929454,0.0637199,cg03471571
FGFR3,,,,0.6400651,0.0223022,cg00077738
FIS1,0.504420586,1.05,risk,0.004243433,0.141122,cg17944572
FLT1,0.596561025,0.93,protective,0.0111627,-0.0637088,cg14283783
FNTB,0.998316174,1,protective,0.3284627,-0.0466407,cg18730905
FOS,0.891438715,1.05,risk,,,
FOXA1,,,,0.6934377,0.0244854,cg01824511
FOXD1,,,,0.5837678,0.028906,cg19541747
FOXM1,,,,0.9029855,-0.00205828,cg08765490
FOXO1,0.804266359,1.15,risk,0.05327218,-0.129754,cg23413567
FOXP1,,,,0.08653721,-0.0360815,cg02336104
FOXQ1,0.965087088,0.99,protective,,,
FSCN1,0.689903552,0.94,protective,0.1644041,-0.0170927,cg01418527
FXN,0.886548365,0.85,protective,0.03489081,0.113995,cg02268013
FXR1,,,,0.8905013,-0.0057137,cg12685548
GADD45G,0.869433843,0.94,protective,,,
GAPDH,0.849664263,1.03,risk,0.2123128,-0.021884,cg21225563
GATA4,,,,0.4106886,0.032538,cg15644626
GDF15,0.886063415,1.04,risk,0.1230729,-0.0286754,cg21088460
GEMIN2,0.406617447,1.34,risk,,,
GGCT,0.861810425,1.03,risk,0.1177298,0.0977953,cg12773030
GKN1,,,,0.2833398,0.0617926,cg20475718
GLI1,0.521199244,1.37,risk,,,
GMNN,0.722691138,1.19,risk,,,
GMPS,0.831873836,0.94,protective,0.2704153,0.0640786,cg19761337
GNG11,0.925024686,1.06,risk,0.6694232,-0.022514,cg08038054
GNMT,0.774263673,0.97,protective,0.1579029,-0.0901491,cg19051105
GRIK2,,,,0.4114993,-0.0454063,cg10815152
GRK4,0.874752658,0.98,protective,0.2746183,-0.026568,cg12572295
GRK6,0.842362921,1.17,risk,0.5551982,0.00861232,cg23176889
GRN,0.951552596,0.98,protective,0.1636914,-0.0665947,cg07935119
GRSF1,0.608021342,0.62,protective,,,
GSK3B,0.965087088,1.01,risk,,,
HAS1,0.926742121,1.03,risk,0.1063192,-0.0871508,cg06785213
HAUS4,0.754589632,0.98,protective,0.5680438,0.0363136,cg21807240
HBP1,,,,0.002093666,-0.0788545,cg02696742
HDAC1,0.991893345,0.99,protective,0.09522239,0.0747458,cg24468890
HDAC3,0.927805721,0.95,protective,0.6443513,-0.0275577,cg26849931
HDAC4,0.994085106,1,protective,0.003410356,0.130063,cg25921544
HDAC7,0.930763137,1.06,risk,0.374147,-0.0297274,cg06086316
HELLS,0.829671494,0.97,protective,,,
HEPACAM,,,,0.7344919,0.00892947,cg05768922
HIF1A,0.938275459,0.95,protective,,,
HIPK2,0.829358693,0.86,protective,0.0346797,0.0614841,cg14405813
HIRA,,,,0.4148151,0.114785,cg24860752
HIVEP1,0.93175747,1.05,risk,0.7386863,0.00973037,cg10792727
HJURP,0.983838276,1.02,risk,0.9604459,0.00191581,cg04550103
HK3,0.787194214,1.17,risk,0.0275208,0.101117,cg15914500
HMGA1,,,,4.86e-05,0.261274,cg20294304
HMGA2,,,,0.05218653,-0.0566309,cg24776736
HMGB1,0.769121173,0.83,protective,,,
HMGB2,0.960209581,0.97,protective,,,
HMGCR,0.442468122,0.82,protective,0.8739401,0.00799455,cg11003009
HNRNPA1,0.836381045,0.82,protective,0.4327937,0.0949465,cg02583484
HNRNPAB,0.469378436,1.1,risk,0.05224037,-0.108061,cg18428006
HNRNPC,,,,0.8659767,0.0107087,cg17002899
HOPX,0.829024736,0.94,protective,0.3657981,0.0615437,cg01330221
HOXA9,0.729764078,0.95,protective,,,
HRAS,,,,0.06012815,-0.0737971,cg22174486
HS2ST1,0.959685161,1.02,risk,,,
HSF1,,,,0.5525936,0.00795029,cg18814314
HSP90AA1,0.802174945,0.95,protective,0.40386,-0.0229005,cg02017208
HSP90AB1,0.592015265,0.64,protective,0.2518437,-0.0660592,cg00651216
HSPA1A,,,,0.000385431,-0.546858,cg22847691
HSPA2,,,,0.8327936,-0.0125062,cg08161617
HSPA5,0.816860467,0.92,protective,0.09472389,-0.124251,cg13769004
HSPA9,,,,0.989488,0.000888533,cg27641051
HSPB1,0.816294904,1.11,risk,0.621842,0.0155294,cg16567172
HTRA1,0.821994916,0.95,protective,0.2288204,0.0223803,cg25446361
ID1,,,,0.05682563,0.0999082,cg11815991
IFI16,0.631956074,0.9,protective,0.07807203,-0.10978,cg19939130
IFNG,0.942735071,1.05,risk,,,
IGFBP1,,,,0.2749707,-0.0542611,cg22108980
IGFBP3,0.962878354,1.01,risk,0.2822445,0.0602691,cg08541297
IGFBP5,,,,0.564651,-0.0202544,cg26724497
IGFBP7,0.838338377,0.95,protective,0.04562004,-0.0375274,cg21154227
IL1A,,,,0.2177208,0.0814066,cg23974023
IL1R1,0.965087088,1.02,risk,,,
IL1RN,0.980868331,0.99,protective,,,
IL24,0.135908297,1.28,risk,0.5474503,-0.0316517,cg23909633
IL6,0.240747971,1.54,risk,0.002020572,-0.0769164,cg01770232
ILF3,0.562694722,0.63,protective,0.03449893,0.0423284,cg17848348
ILK,0.840457547,0.89,protective,,,
IMMT,0.456663467,1.04,risk,0.03580162,-0.0438224,cg23811061
INCENP,0.954961743,1.02,risk,0.3109245,0.0366246,cg02397499
ING1,0.976652916,1.01,risk,0.879883,0.00550029,cg15841412
ING2,0.383557929,0.81,protective,,,
ING5,0.959469855,0.99,protective,0.02527861,-0.101973,cg13262212
INPP4B,0.188298777,0.9,protective,0.01436715,-0.0732714,cg22031873
IRAK4,0.796697792,0.93,protective,0.4474142,0.0359791,cg27465569
IRF1,0.431172939,0.72,protective,0.04574328,0.0255021,cg13907973
IRF3,0.521199244,0.92,protective,0.03593448,-0.119217,cg03172226
IRF5,0.857476254,1.01,risk,1.77e-10,0.147527,cg12816198
IRF7,,,,0.003127114,-0.0486725,cg16486109
ITGB3,0.898691051,1.05,risk,0.1484638,0.0838885,cg10753610
ITGB4,,,,0.04185862,0.0505238,cg12146151
ITPK1,0.43214397,0.87,protective,0.06599367,0.039765,cg16575291
ITPKB,0.340500435,1.27,risk,0.02656861,-0.187083,cg13500195
ITPR1,0.866773061,0.97,protective,0.1219702,-0.101102,cg02799411
ITPR2,0.261467646,0.89,protective,0.3694992,0.0575611,cg01354782
ITPR3,0.525934831,1.05,risk,1.04e-21,-0.470284,cg18558423
ITSN2,0.991893345,1.01,risk,0.1383013,0.0232993,cg06992220
JAK2,0.981238253,0.99,protective,0.152079,0.0376353,cg03390472
JPT1,0.918308534,1.06,risk,,,
JUN,0.381696994,0.89,protective,,,
JUNB,0.293167195,0.57,protective,,,
KAT5,0.823481467,1.21,risk,0.004519646,-0.205228,cg11637721
KCNA1,,,,0.527946,0.0256649,cg13331526
KCNJ12,0.996920922,1,protective,0.2884488,0.0418887,cg24655009
KDM1A,0.804266359,1.08,risk,0.5854136,-0.0321246,cg01718365
KDM2B,0.583554008,1.76,risk,0.08895248,-0.0727741,cg09151742
KDM4A,0.744743468,1.33,risk,0.1516746,-0.0812327,cg08462360
KDM4C,0.996920922,1,protective,0.5218012,-0.0193036,cg14161821
KDM5B,0.995221951,1,protective,0.0448676,-0.0444367,cg14381677
KDM6B,0.943106167,0.97,protective,0.03556885,-0.0306495,cg23087944
KDR,,,,0.4100574,0.0471618,cg01340163
KEAP1,0.729084254,0.83,protective,0.5483909,0.0123988,cg15204119
KIF11,0.52866864,0.75,protective,0.2537347,-0.0553129,cg18863837
KIF2C,,,,0.3843203,0.0192597,cg03907454
KIFC1,,,,1.54e-12,0.611691,cg12052754
KL,0.792720556,1.07,risk,0.05262541,-0.0521015,cg18056695
KLF4,0.943049532,0.87,protective,0.6976319,-0.00514486,cg03066050
KNDC1,0.967116155,1.01,risk,0.06977623,-0.0311201,cg04135960
KRT19,,,,0.4990989,0.0249931,cg05396212
KSR2,,,,0.04450031,0.101576,cg16803088
LATS1,,,,0.4012787,-0.0177016,cg04369109
LATS2,0.803564488,0.94,protective,0.1036673,0.0219156,cg15882591
LAYN,0.842873695,1.1,risk,0.9115963,0.0048655,cg21703322
LBR,0.965087088,0.95,protective,,,
LCN2,0.872161217,1.05,risk,0.8161427,0.011487,cg13518265
LEO1,,,,0.7681416,-0.0141947,cg24148025
LGALS3,0.95138173,1.07,risk,0.02667199,-0.0665332,cg18273401
LIMA1,0.988722441,1,protective,0.5147429,0.0317906,cg21150049
LIMK1,0.8743626,1.02,risk,0.5527361,-0.0390639,cg06757357
LIN52,0.972474067,0.99,protective,0.2814357,-0.10132,cg26102253
LIN54,0.987106634,1.01,risk,0.8987971,-0.00316223,cg01882498
LIN9,0.744280986,0.86,protective,0.7620413,-0.0132857,cg17985912
LMNA,0.625134869,0.92,protective,0.1138959,0.0245418,cg26667550
LMNB1,0.546962096,1.08,risk,0.4089645,0.0189848,cg23953133
LOX,0.949232229,0.93,protective,0.6459465,0.0074148,cg09262269
LOXL2,0.965087088,1.01,risk,0.09931457,0.0447865,cg17804498
LPAR1,0.563903777,0.97,protective,0.448532,0.0469243,cg06148685
LPAR3,0.741369653,1.05,risk,0.02317706,0.218899,cg21422605
LRRK2,0.959272702,1.01,risk,,,
LY6D,,,,0.1180886,-0.0206906,cg17252645
MAD1L1,0.833893776,1.04,risk,0.02003131,0.096208,cg23930681
MAD2L1,0.946202243,1.02,risk,0.5511536,0.01605,cg05985659
MAEL,,,,0.3876082,-0.0606818,cg00001349
MAF,0.929295822,0.94,protective,0.649662,0.0213421,cg00333843
MAGOHB,0.917941403,1.04,risk,0.3200288,-0.0280317,cg20694715
MAP2K1,0.931580962,1.03,risk,0.5206568,0.0385503,cg05866062
MAP2K2,0.890084653,0.97,protective,0.227242,0.0533011,cg25777714
MAP2K3,0.982723179,0.98,protective,0.2128638,0.0357879,cg10347246
MAP2K6,,,,0.7427687,0.0178395,cg17583957
MAP2K7,,,,0.5523224,0.0371996,cg25782440
MAP3K14,,,,0.08204731,-0.0394461,cg15639951
MAP3K5,0.872852286,1.02,risk,0.4548829,-0.0389872,cg21506299
MAP3K6,0.748654187,0.96,protective,0.07876474,0.0933953,cg09230763
MAP3K7,0.842873695,1.06,risk,,,
MAP4K1,0.598585373,0.83,protective,0.01117163,0.0375931,cg17792788
MAPK1,0.913719188,0.95,protective,0.3604081,-0.0576067,cg00014104
MAPK12,,,,0.07549885,0.0500325,cg00361695
MAPK14,0.583554008,1.12,risk,0.1788616,-0.0133676,cg20559215
MAPK9,0.994099336,1,protective,0.7400094,0.00447876,cg00262681
MAPKAPK5,0.821588554,0.95,protective,0.3906476,-0.11352,cg19563158
MARCHF5,0.611693556,1.12,risk,,,
MARCKS,,,,0.2325122,-0.0738797,cg27241808
MAST1,,,,0.4110289,0.0281499,cg09980403
MATK,0.935012061,1.05,risk,0.4734128,0.0157528,cg11326255
MAVS,0.395786222,0.89,protective,,,
MCAM,,,,0.9229689,-0.00148252,cg10191494
MCL1,0.936216786,0.97,protective,0.9070532,0.00207426,cg17724175
MCM3AP,0.991893345,1,protective,0.5583438,-0.027036,cg14211055
MCM7,0.957160084,1.02,risk,0.7819405,0.0141941,cg07461273
MCRS1,0.814440736,1.18,risk,0.173403,0.0408339,cg14267862
MDC1,,,,0.000780539,0.161863,cg26193015
MDH1,0.579506858,1.14,risk,,,
MDK,,,,0.3739488,-0.0695407,cg08604523
MDM2,0.982169711,1,protective,,,
ME1,0.815638947,1.14,risk,0.1662833,0.0431123,cg16701167
ME2,0.606443817,0.93,protective,0.1077274,0.0667298,cg26727372
MEF2A,0.831873836,1.07,risk,0.1768394,0.0257653,cg04219504
MEIS2,,,,0.5552274,-0.044498,cg09863630
MEN1,0.573254919,0.87,protective,0.3649321,0.0466428,cg10879244
MEOX1,0.977207774,1.01,risk,0.0544648,0.0394449,cg04986591
MET,,,,0.250177,0.0281796,cg25299676
METTL14,0.729764078,0.9,protective,0.6487895,0.0214269,cg18425908
MIF,0.752578858,1.07,risk,0.2833841,-0.0273573,cg01585852
MINK1,0.649536719,1.05,risk,0.008748273,-0.0610133,cg17788994
MITF,0.93175747,1.08,risk,,,
MKRN1,0.8638308,0.93,protective,0.406626,0.0277224,cg20631969
MME,0.866335084,0.93,protective,,,
MMP7,,,,0.5250669,-0.0161632,cg25511807
MMP9,0.62370557,1.11,risk,0.003958439,-0.0472841,cg23303369
MNX1,,,,0.04783775,-0.0838625,cg05744332
MOB3A,0.945662369,0.93,protective,,,
MORC3,0.747960292,0.96,protective,,,
MORF4L1,,,,0.2540439,-0.041384,cg03589001
MOS,,,,0.612279,-0.0439306,cg22130262
MRTFA,0.371992722,1.31,risk,,,
MRTFB,0.937449214,1.07,risk,,,
MST1,0.985487823,1,protective,,,
MT1G,,,,0.8214891,-0.00466652,cg27367960
MTDH,0.958021994,0.97,protective,,,
MTHFD2,0.857702025,1.05,risk,0.5888739,0.0252701,cg22704057
MTOR,0.946656886,1.02,risk,0.4213826,0.0215629,cg04310074
MUC4,,,,0.07600315,-0.0791352,cg08223984
MUS81,0.943106167,0.97,protective,0.4009889,0.0185727,cg04055107
MVK,0.519727403,0.76,protective,0.1808977,0.0457202,cg27604975
MVP,0.74334597,1.07,risk,0.1198019,0.0981045,cg09010156
MXD4,,,,0.719712,0.0120387,cg20935156
MYBBP1A,0.916990413,1.05,risk,0.4815424,-0.0233461,cg10612383
MYBL2,0.871580126,1.03,risk,0.3909711,-0.0632703,cg09604203
MYC,0.167854259,1.59,risk,,,
MYCN,,,,0.9073278,0.00229285,cg19623054
