seqnames,start,end,width,strand,no.cpgs,min_smoothed_fdr,Stouffer,HMFDR,Fisher,maxdiff,meandiff,overlapping.genes,dmr_fdr
chr12,100593747,100594894,1148,*,10,3.8254371852468e-06,0.00785794754914209,0.00833207855104537,0.00278875344067916,0.0268923840774707,0.0103995659865653,ACTR6,0.0222873627237108
chr10,31609531,31610754,1224,*,11,6.77328384499281e-06,0.00782337571618311,0.00944701868847725,0.00365827418121478,-0.0155984000222335,0.00485334990949236,ZEB1,0.0222873627237108
chr9,139886506,139887217,712,*,4,1.00813173079915e-05,0.00750659418133859,0.0100856198457307,0.00278949721116743,-0.0156318235595628,0.000173352141702107,C9orf142,0.0222873627237108
chr16,1013990,1015103,1114,*,6,1.08349526087066e-05,0.000916014455491046,0.0165997715934471,0.00109526906786542,0.0472437473705462,0.0195288688513367,LMF1,0.0222873627237108
chr1,65431702,65433360,1659,*,11,1.87417085343245e-05,0.00661266722401319,0.0120032555420654,0.00278949721116743,0.0157647211168647,0.00393374048999268,JAK1,0.0222873627237108
chr12,120966704,120967582,879,*,15,2.26130502485511e-05,0.00677455229154163,0.0240290062180211,0.00262583533438787,0.0173173374893659,0.0068423299304836,COQ5,0.0222873627237108
chr9,35072637,35072977,341,*,4,2.8371065791685e-05,0.00691277535911175,0.00689268899370422,0.00200562138861943,0.0229920684914511,0.0154335784046755,VCP,0.0222873627237108
chr1,25558918,25559743,826,*,11,3.32790239484816e-05,0.00633769815637118,0.0162640357078866,0.00403038230142816,0.0200930883820952,0.0100243533321969,SYF2,0.0222873627237108
chr5,132361924,132362578,655,*,7,3.38503759619158e-05,0.00278260191900751,0.0138440266687077,0.00182453606141666,0.0129590135486112,0.00545184925848404,ZCCHC10,0.0222873627237108
chr13,30424153,30424932,780,*,9,3.97777058578601e-05,0.0107576580619676,0.015801249196495,0.00531921945006965,0.0254508574393249,0.00588020277382193,UBL3,0.0222873627237108
chr4,40198129,40198776,648,*,5,4.72745382382796e-05,0.00843501506937555,0.00701917363471232,0.00308916953780523,0.0384281123080277,0.0165680929190142,RHOH,0.0222873627237108
chr19,7968560,7969347,788,*,8,4.82314056357565e-05,0.0055102758732537,0.0143005505336521,0.00531012457090699,-0.00929064548553586,0.00266191440463369,MAP2K7,0.0222873627237108
chr6,41528345,41529269,925,*,8,9.68890322939581e-05,0.00447089797587844,0.0141637970503263,0.00275227694039655,0.00951099731212301,0.0044864104741716,FOXP4,0.0222873627237108
chr6,134496341,134497755,1415,*,12,0.000104819621518768,0.00226164633579335,0.0138425532435755,0.00261406065275426,-0.0476967245232079,-0.0154645916356254,SGK1,0.0222873627237108
chr6,17600158,17601422,1265,*,9,0.000113124758727173,0.00464937450974429,0.0164581904466693,0.00445635319572078,0.0513250720647366,0.00562875336306612,FAM8A1,0.0222873627237108
chr4,10117799,10118984,1186,*,8,0.00012964476144102,0.00861265659710462,0.0118564782534789,0.00580453919850698,0.00503646604570677,0.0019082097748961,WDR1,0.0222873627237108
chr19,48948963,48949463,501,*,6,0.000156217078490614,0.00398435319640001,0.0153501819585996,0.00373459526718738,0.0149479236278415,0.00667024120292557,GRWD1,0.0222873627237108
chr1,67395547,67396577,1031,*,8,0.000188960498174381,0.0069857251287643,0.0109661448276533,0.0028108583893086,0.0187976727522583,0.00864819852458118,MIER1,0.0222873627237108
chr10,421981,422393,413,*,5,0.000191324549761396,0.00678617860801555,0.0120032555420654,0.0033286813481023,-0.0197923733496032,-0.0030101293148386,DIP2C,0.0222873627237108
chr16,56484117,56484937,821,*,3,0.000206806052513464,0.00688517985511152,0.0136441385691954,0.00694696534185092,0.0121164555298242,0.00637664199006133,NUDT21,0.0222873627237108
chr7,70252282,70252953,672,*,6,0.000225235492115139,0.00117504854234044,0.033850640068216,0.00278875344067916,0.0297300383059165,0.00355741533329984,AUTS2,0.0222873627237108
chr17,48227708,48228624,917,*,8,0.000254499770946852,0.00482047333307435,0.0164263937839211,0.00362968320521565,0.0300752183930304,0.0117054993596291,PPP1R9B,0.0222873627237108
chr12,133131658,133132798,1141,*,4,0.000295113389106972,0.00673036291695254,0.0116941661509395,0.00615402269094394,0.00617134055094926,7.86996232313153e-05,FBRSL1,0.0222873627237108
chr11,60738971,60739183,213,*,7,0.000340586791503774,0.0102281158352865,0.0158002144711986,0.00525830237452697,-0.0134524011192727,0.00429644398821572,CD6,0.0222873627237108
chr6,32553920,32554481,562,*,3,0.000384473189599543,0.00445134396292699,0.012904171888162,0.00428181833403651,0.0575027163036448,0.0123020454921171,HLA-DRB1,0.0222873627237108
chr4,40518663,40519094,432,*,3,0.000468234348119407,0.00464937450974429,0.0136441385691954,0.00545574201214922,0.0265607663012317,0.00984572861305037,RBM47,0.0222873627237108
chr5,56246561,56247035,475,*,3,0.000479172970285196,0.00204483592541477,0.0151745255114526,0.0031790645115096,0.0134328165089196,0.0107506327895715,MIER3,0.0222873627237108
chr21,45553170,45554033,864,*,7,0.000489298763708843,0.00548240995961454,0.0447646865614505,0.00735932588151314,-0.0352182339678722,-0.00218277615573454,C21orf33,0.0222873627237108
chr20,524243,525291,1049,*,11,0.000541950864070747,0.00954329195768493,0.0128970324381421,0.00768547456548836,-0.0308214166376894,0.00308469656449723,CSNK2A1,0.0222873627237108
chr16,88991518,88992178,661,*,3,0.000566209899866662,0.00301666862357799,0.0134798757438089,0.00394663915705956,0.0188066971457553,0.0163076632623904,CBFA2T3,0.0222873627237108
chr17,76136520,76137024,505,*,4,0.000578510543175889,0.0089728500450655,0.00951109236233659,0.00610686965927971,-0.0625520159898285,-0.00893515055579917,TMC8,0.0222873627237108
chr4,1857817,1858883,1067,*,4,0.000653405996104491,0.00725262854356705,0.0118564782534789,0.00543117964085625,0.00653977804816707,0.00108583326829398,LETM1,0.0222873627237108
chr4,55093038,55094337,1300,*,11,0.000712500544816598,0.00926874826455248,0.0429769026491202,0.00738666046093964,-0.0312762178171626,-0.00399324435215831,FIP1L1,0.0222873627237108
chr3,71179703,71180071,369,*,7,0.000755318994509708,0.00376008350681158,0.0335614728219963,0.00446696338417922,0.0285617340105774,0.0163624843900362,FOXP1,0.0222873627237108
chr17,76128683,76129533,851,*,6,0.000756322485431251,0.00398435319640001,0.0357078722224629,0.00584585334922995,0.054250986040342,0.0307362095499176,TMC8,0.0222873627237108
chr14,21904906,21905552,647,*,5,0.000805372590555091,0.00619537154664254,0.0328881487130045,0.00719958843677896,-0.0215098574830546,-0.000795166017003359,CHD8,0.0222873627237108
chr17,73518035,73518382,348,*,4,0.000821886515940485,0.00702855432523292,0.011537631514985,0.00469302708207534,0.00942867451123042,0.00450483604820068,TSEN54,0.0222873627237108
chr4,88312323,88312706,384,*,9,0.000891853334662154,0.00279320357490631,0.0207322437361898,0.00525398470178504,0.0171475983431322,0.00830134977078812,HSD17B11,0.0222873627237108
chr4,1220951,1222440,1490,*,7,0.000897333415454732,0.00979282566828309,0.012904171888162,0.00689884274385631,-0.0572418659678327,-0.0177433660593109,CTBP1,0.0222873627237108
chr7,4743056,4743426,371,*,6,0.000944245577035742,0.007723610935044,0.0141137843494302,0.00612657825950916,-0.0168977312525723,-0.00142889936294407,FOXK1,0.0222873627237108
chr16,28304175,28304663,489,*,3,0.000950369027815691,0.00377717918865729,0.0154856439573902,0.00519658141518975,0.0231971163046218,0.0132399403378768,SBK1,0.0222873627237108
chr1,153362927,153364020,1094,*,6,0.00100076174896774,0.00911341720567627,0.0201388310983718,0.00624008554960893,-0.0677908057643568,-0.0444064809132455,S100A8,0.0222873627237108
chr14,75229933,75230530,598,*,8,0.00103800518064175,0.00128137662825127,0.0660765312551724,0.00428181833403651,0.0110033943073611,0.00358931622852567,YLPM1,0.0222873627237108
chr13,49549440,49550206,767,*,7,0.00122522682816619,0.00464937450974429,0.0467494045784781,0.00748624831932321,0.0169469429497282,0.00707415770782836,FNDC3A,0.0222873627237108
chr6,29579306,29581228,1923,*,13,0.00134898713044911,0.00172375577279686,0.0345709394887549,0.00272829966969471,-0.0195629251913071,-0.00446213491568963,GABBR1,0.0222873627237108
chr4,54959419,54960259,841,*,7,0.00172013194548559,0.0068507750057221,0.0416566186020094,0.00749986381942714,-0.0341690194075596,-0.011350871427724,FIP1L1,0.0222873627237108
chr5,139040546,139041014,469,*,5,0.00182499054111346,0.0103836232579096,0.0143354280195158,0.00774141683986481,-0.0680219473037264,-0.0501466319647528,CXXC5,0.0222873627237108
chr7,107531689,107532014,326,*,4,0.00186190321597769,0.00796913956359507,0.0219990627056515,0.00720438752088199,-0.00808667030714086,-0.00206174006142149,DLD,0.0222873627237108
chr3,9773022,9774065,1044,*,9,0.00193210453984485,0.00584972986571287,0.073623250311924,0.00818870925711312,0.00906375343151104,0.00185861474441874,BRPF1,0.0222873627237108
chr7,2962373,2962845,473,*,3,0.0019451920109977,0.0084994319335274,0.0134388152160187,0.00686748214098814,0.0205036561506251,0.0102001670495479,CARD11,0.0222873627237108
chr3,47844653,47845672,1020,*,6,0.0021283953140731,0.00454847030922891,0.0549357609353292,0.00800747390168658,-0.0318847273698006,-0.00433308820175646,DHX30,0.0222873627237108
chr1,25290947,25292412,1466,*,16,0.00221686150149407,0.00910401384665342,0.0369670508044434,0.00689884274385631,0.104403570005623,0.0522587731711074,RUNX3,0.0222873627237108
chr1,202130344,202131184,841,*,5,0.0024579008221919,0.00663535830509409,0.0505672547823121,0.00901407272953047,-0.0520618341452102,-0.0328880680352754,PTPN7,0.0222873627237108
chr14,99737609,99738493,885,*,6,0.00251198976550219,0.00967033325777948,0.0336032858736656,0.00859497897599778,0.0309978900889011,0.0145984797047275,BCL11B,0.0222873627237108
chr7,2402133,2402340,208,*,3,0.00253010335876364,0.0080909791110783,0.0121837754920947,0.0067619185045129,0.0267916992894285,0.00807944424246817,EIF3B,0.0222873627237108
chr19,14676202,14676764,563,*,5,0.00255600540507246,0.00803993369746606,0.0348508456991747,0.00793759919560209,0.0113088304242658,0.00389275920703094,TECR,0.0222873627237108
chr2,170683823,170684455,633,*,8,0.00257146865753448,0.00939083925105496,0.0459354555307779,0.00954965073362849,0.0232061998351469,0.00342650795487145,UBR3,0.0222873627237108
chr8,133772657,133773115,459,*,6,0.00257750759411507,0.00467494282866298,0.0473178710043699,0.00774141683986481,0.0439171576909807,0.0169992978195821,TMEM71,0.0222873627237108
chr1,25246854,25246922,69,*,2,0.00265238528224455,0.00497602527476261,0.0168452643710699,0.0062389651349716,0.0666469495480996,0.0467672185260415,RUNX3,0.0222873627237108
chr10,102045829,102046768,940,*,21,0.00268519084509678,0.00333704771512853,0.0674171105243642,0.00862131972933039,0.0344511419868731,0.0103472244796708,BLOC1S2,0.0222873627237108
chr20,60719442,60719824,383,*,5,0.00295918827307082,0.00655356089910966,0.0371638310446063,0.00818695870374463,0.0111373696245768,0.00136651152305995,SS18L1,0.0222873627237108
chr16,2809774,2810375,602,*,4,0.00297465810521776,0.00803743006531805,0.0208366153625743,0.00815574496825358,0.0127284049410936,-0.000495975254412889,SRRM2,0.0222873627237108
chr12,133134938,133135698,761,*,4,0.00303268641572346,0.00584019799027316,0.0354978978073389,0.0075077556863107,0.0101511383667969,0.00530327609954851,FBRSL1,0.0222873627237108
chr16,70558055,70558200,146,*,3,0.00316178803699569,0.00488797788998716,0.0330468672209341,0.00715630417015223,0.0187644619105818,0.0127443664625476,SF3B3,0.0222873627237108
chr1,167190990,167191768,779,*,3,0.00321769933821067,0.00758933259921888,0.0206133470325118,0.00843204121253261,0.00879689472829234,0.00438540792360682,POU2F1,0.0222873627237108
chr11,58345226,58345717,492,*,9,0.00325869710976152,0.00727332485524105,0.046236590166193,0.00834569483228236,0.0151274290997935,0.00971987638576896,LPXN,0.0222873627237108
chr16,3614600,3614909,310,*,2,0.00331092093713004,0.0101224162814883,0.0119421690000001,0.00783310190392338,0.00477850716187722,0.00431705701014756,NLRC3,0.0222873627237108
chr7,148937111,148937410,300,*,3,0.00331184483855947,0.00633630608570652,0.0157552243459595,0.00689884274385631,0.00816057564708458,0.00329227006704765,ZNF212,0.0222873627237108
chr16,475440,475948,509,*,5,0.00332976543991948,0.00953946415967267,0.0165204538425159,0.00933315128846005,0.00498207655662069,0.00174934929142153,RAB11FIP3,0.0222873627237108
chr12,122459934,122460473,540,*,4,0.00342385429291948,0.0081133233053889,0.0489126898980752,0.0106553782073888,0.0081524940199352,0.00562480472588638,BCL7A,0.0222873627237108
chr12,6745057,6745568,512,*,6,0.0038065403196314,0.00720812532563842,0.0402633663088825,0.00862376585007536,0.0470925437109703,0.0225355084158565,LPAR5,0.0222873627237108
chr7,2959067,2959121,55,*,3,0.00382760643851906,0.00706959160320951,0.0249621624587309,0.00861702194307157,0.00400051293800963,-0.000256913927574135,CARD11,0.0222873627237108
chr1,186649153,186649519,367,*,5,0.00405203289247531,0.00447904809371194,0.0587865802529394,0.0079090131334474,-0.0141031637893598,-0.00508760805852015,PTGS2,0.0222873627237108
chr12,132549292,132549404,113,*,3,0.0041253111386421,0.00458093780617254,0.0265482059318227,0.00651145174187161,0.0341814758927769,0.02749813021569,EP400,0.0222873627237108
chr16,89959984,89960601,618,*,5,0.0041556753882953,0.010424326519576,0.0309604423607142,0.00825916145839125,-0.00826051131469452,-0.00256213820831439,TCF25,0.0222873627237108
chr12,133656595,133656953,359,*,7,0.00482575950817658,0.00911341720567627,0.024327251873233,0.0089385457029535,0.0205604559246579,0.00898520239098576,ZNF140,0.0222873627237108
chr18,29264051,29264431,381,*,3,0.00499537232388399,0.00717824621297958,0.0268332421080045,0.0088075900274432,-0.0288341862861314,-0.0124274948053801,B4GALT6,0.0222873627237108
chr2,157291262,157292411,1150,*,9,0.00504805835575083,0.00511226947842331,0.0487314283739341,0.00727202243423394,-0.0707559471975898,-0.027145760728146,GPD2,0.0222873627237108
chr20,35274281,35274941,661,*,9,0.00509068904112324,0.00890937145173226,0.0577821122460933,0.0102789305879538,0.0491198102806706,0.00865570038387585,SLA2,0.0222873627237108
chr14,54955474,54956552,1079,*,8,0.00523173800721453,0.00586674264971813,0.0524197746144929,0.00903934727444739,0.0153236783957436,0.00676664407839606,GMFB,0.0222873627237108
chr7,4746964,4747261,298,*,5,0.00585864505501037,0.00760257183370359,0.0219990627056515,0.00921449057266677,-0.0208796536278653,-0.0144908651897237,FOXK1,0.0222873627237108
chr1,225616198,225617030,833,*,5,0.00597176309067476,0.00650379186987926,0.0305977452107544,0.0070810213483102,0.0218707820700097,0.0129577440938419,LBR,0.0222873627237108
chr1,156737458,156738798,1341,*,5,0.0060552571670444,0.00819747945189002,0.0411611305680634,0.010964547436645,0.0163578407719132,0.0095745813604476,PRCC,0.0222873627237108
chr17,1792008,1792197,190,*,3,0.0063007118917745,0.0101325453909318,0.0270536051317598,0.00962382939050784,-0.0119411971252752,-0.0110733807580959,RPA1,0.0222873627237108
chr1,3704244,3704559,316,*,4,0.00643305496996953,0.00808045630917019,0.061158668902069,0.0111160808366003,0.0409890938192264,0.0301882999852154,LRRC47,0.0222873627237108
chr7,4803811,4804431,621,*,3,0.00698068122851893,0.00820993260995665,0.020356337756243,0.00905617041341522,-0.0396575790467203,-0.0191552073495841,FOXK1,0.0222873627237108
chr4,174091002,174091422,421,*,2,0.00721843219635663,0.0101144710236594,0.0153501819585996,0.00953366104796263,-0.0218921202232248,-0.00888862733926563,GALNT7,0.0222873627237108
chr13,108866993,108867154,162,*,4,0.00756877098495202,0.00752040280824039,0.0417313708099644,0.0100619862011543,0.0514036892031514,0.0307201538413326,LIG4,0.0222873627237108
chr6,112115117,112115430,314,*,4,0.00787471933249504,0.0101032353087255,0.0194320852641042,0.0108110724799313,0.0339913884116847,0.0173702528094609,FYN,0.0222873627237108
chr16,87749116,87749372,257,*,2,0.0081784767571324,0.0104546357393577,0.015801249196495,0.00996737787809944,0.0284742529890824,0.00988366765657128,KLHDC4,0.0222873627237108
chr2,190525813,190526349,537,*,11,0.00871207422848071,0.00952168407938703,0.0949456232867456,0.0120141441870999,0.011717647214191,0.00611218059181092,ASNSD1,0.0222873627237108
chr3,169490563,169490789,227,*,5,0.00967291200335784,0.00583513523429811,0.0460145666753548,0.00817722518051848,0.00986247456174819,0.00825187543858706,MYNN,0.0222873627237108
chr5,159846083,159846553,471,*,6,0.0100688240788979,0.0102651973731099,0.0549499891983658,0.0112000342175281,0.0220599793243942,0.0106974590475482,SLU7,0.0222873627237108
chr11,71709751,71709978,228,*,6,0.0111899493067157,0.00565845070934802,0.0888281810541663,0.0101313118502715,-0.0194549700703415,-0.00260966678511907,IL18BP,0.0222873627237108
chr8,12612631,12613561,931,*,8,0.0113433724065621,0.00803993369746606,0.0973765367158438,0.0149305229277715,0.00789415876192323,0.00237168188521515,LONRF1,0.0222873627237108
chr14,91766264,91766373,110,*,2,0.012165760283937,0.00679483932055225,0.0172052223189538,0.00793759919560209,0.00994028703639804,0.00214208999223264,CCDC88C,0.0222873627237108
chr1,32757294,32757834,541,*,9,0.0122053017923663,0.00891133527637605,0.0609642007162194,0.0131104531468217,0.0241164649460484,0.00432028482093042,HDAC1,0.0222873627237108
chr16,70286329,70286779,451,*,5,0.0133065421928645,0.00953946415967267,0.0704381342377526,0.0154140236796716,-0.0116364782938519,-0.00859047007056644,AARS,0.0222873627237108
chr11,71752705,71752997,293,*,5,0.0153924636317768,0.00775664144180048,0.0595212971480736,0.0109491848537363,-0.0245423567831665,-0.0116199605902399,NUMA1,0.0222873627237108
chr4,903473,903575,103,*,3,0.0165185797738852,0.00904522088333574,0.0620563115003452,0.0121779819372369,0.0113111479824966,0.00214286984643168,GAK,0.0222873627237108
chr12,54891634,54891636,3,*,2,0.0203217686791039,0.0104350590961644,0.039310311230211,0.0121525528743317,0.00904702624093178,0.00866957541781405,NCKAP1L,0.0222873627237108
chr16,79155958,79156020,63,*,2,0.00279674069533855,0.0118022630348338,0.010788009016712,0.00738666046093964,-0.00762729627271552,-0.00592304093910373,WWOX,0.0226505302439964
chr7,4797831,4798827,997,*,6,0.00126239132917464,0.0132023348782048,0.0311988685123273,0.00904652093791067,-0.0122885326052962,-0.00666939274138874,FOXK1,0.0232798630598495
chr10,574361,574732,372,*,4,0.00477428404625498,0.0148023160789686,0.012904171888162,0.010321436437083,0.0188576436657165,0.0102310756571915,DIP2C,0.0246370214366536
chr21,34775459,34776637,1179,*,5,0.00516661011582443,0.0162332416263869,0.0287829010521473,0.0120119379707076,0.0147512060797039,0.00060276716708633,IFNGR2,0.0260593609976158
chr4,84205065,84206199,1135,*,9,0.00407702689570883,0.0171468377503258,0.0274952289964774,0.0104926680805867,-0.0363179934223525,0.00546867774356569,COQ2,0.0269318122776617
chr4,925410,925854,445,*,3,0.00447178981270884,0.0174370616354804,0.0257041863884057,0.0164782159553346,0.0193544343120851,0.011640769578628,GAK,0.0272219125904299
chr1,25254746,25255314,569,*,3,0.00311158437376847,0.0181632327589006,0.0127717014422968,0.00928502564490212,0.0163008094844806,0.0116954707260368,RUNX3,0.0279237282982914
chr6,32549631,32549849,219,*,2,0.000735700066601707,0.0192371295150612,0.00760076808210923,0.00569462388650911,-0.117234620536286,-0.0490087919625277,HLA-DRB1,0.028899132952142
chr7,4754502,4755415,914,*,6,0.00762448743441438,0.0200055260093222,0.0210420761326342,0.0124940696769941,-0.0913587251567766,-0.0574217077466891,FOXK1,0.0296989909548656
chr10,589143,589375,233,*,3,0.012070068253105,0.0203310117298034,0.0366931084170031,0.0190366689119233,-0.00704785220166715,-0.00522124764548667,DIP2C,0.030002930376614
chr17,73513132,73513338,207,*,2,0.010340690094868,0.0239953639453524,0.0374255979130917,0.0252227675564497,0.0103653213108359,0.00564451385559802,TSEN54,0.0337093242514348
chr16,968682,969468,787,*,5,0.0086084124236409,0.0242417969742421,0.0293895646220935,0.0225191629336014,0.0248097306513051,0.0002778482047612,LMF1,0.0338768163958002
chr6,41554529,41554543,15,*,2,0.00891303517542375,0.0244082238003332,0.0130007372934998,0.0105407057026871,-0.0197618326717084,-0.00793591590004161,FOXP4,0.0340530551941737
chr7,3026309,3026459,151,*,3,0.00956423102830193,0.0264822015522237,0.0176622782425285,0.00992777769568335,-0.0114148190319809,-0.00184072550348476,CARD11,0.0359975518472579
chr11,117102463,117102988,526,*,6,0.00578565832318195,0.0292595206088504,0.0237884863678884,0.0248009650783049,0.019295992486616,0.00698060941818102,PCSK7,0.0387408897087272
chr12,132551078,132551592,515,*,5,0.00432538899019802,0.0406562558832776,0.0138794694307532,0.010336162561784,0.0169272350508264,0.00486554763848006,EP400,0.049930428177327
chr10,334430,334773,344,*,5,8.07110356949628e-06,0.0429065191235693,0.0014053545146879,0.00210071691068071,0.00826352431181232,0.00327312474153165,DIP2C,0.0521575723201416
chr12,133140305,133140633,329,*,2,0.00361031468409801,0.0553144041684784,0.0115405716428096,0.00964396049258152,0.0211526344902625,0.00767469890952011,FBRSL1,0.0644320110586804
