gene,mQTL_MR_pval,mQTL_candidate_cpg,mQTL_cpg_chr,mQTL_cpg_pos_hg19,mQTL_MR_beta
BRCA1,0.163261,cg26276233,chr17,41278135,0.0961764
BRIP1,0.2113126,cg18828268,chr17,59937758,-0.00997351
BTG1,0.2251039,cg20078640,chr12,92539621,-0.184935
BTG2,0.5900149,cg00567854,chr1,203273693,-0.0327061
BTG3,0.2116166,cg14394939,chr21,18983396,-0.0758564
BUB1B,0.143558,cg24584161,chr15,40452931,-0.0945508
CARM1,0.1166748,cg12317676,chr19,10981810,0.0975726
CASP2,0.1524977,cg26596719,chr7,142986429,-0.0233798
CAV1,0.5101926,cg05232628,chr7,116200184,-0.0252728
CBS,0.08583006,cg01788910,chr21,44473568,0.0235823
CBX7,0.1309974,cg06410135,chr22,39539573,-0.0949815
CBX8,0.009012538,cg04986373,chr17,77768687,0.0571416
CCL2,0.1669616,cg17864156,chr17,32582828,-0.0530589
CCNA2,0.7731409,cg20573242,chr4,122745356,0.00917842
CCNB1,0.1097642,cg23935746,chr5,68463041,0.113475
CCND1,0.07877401,cg01406280,chr11,69454447,-0.0958873
CCND3,0.07874954,cg17945153,chr6,41978288,0.0932211
CD34,0.523441,cg09788693,chr1,208063733,-0.040843
CD82,0.3365994,cg21957813,chr11,44638520,-0.0561143
CDC7,0.01430152,cg07090678,chr1,91966139,-0.119294
CDCA2,0.2085288,cg05005217,chr8,25317638,0.0269881
CDCA4,0.2366453,cg25105633,chr14,105480568,0.0756513
CDH1,0.2608694,cg05785947,chr16,68771059,-0.0584734
CDK18,0.2367073,cg26400546,chr1,205499355,0.0107989
CDK2,0.000150966,cg00635560,chr12,56359158,0.0412194
CDK2AP1,0.01598301,cg10502957,chr12,123757070,0.183994
CDK4,0.02005429,cg03829839,chr12,58146821,-0.0909695
CDK5,0.05316098,cg15879755,chr7,150755834,0.0927051
CDK5R1,0.002979585,cg07437263,chr17,30817129,-0.0730941
CDK6,0.2273196,cg14199261,chr7,92313449,-0.0260818
CDKN1A,0.4679042,cg08179530,chr6,36648295,0.0466766
CDKN1B,0.8885522,cg19252671,chr12,12871110,0.00314454
CDKN1C,0.2354578,cg23904595,chr11,2908116,-0.0464958
CEBPB,0.452307,cg02930951,chr20,48806066,-0.0408579
CEBPG,0.9211816,cg15046693,chr19,33863876,-0.00625838
CENPA,0.03487084,cg22284448,chr2,27008234,-0.0595187
CHAF1B,0.3633629,cg22871721,chr21,37761363,-0.0150013
CHD5,0.05547338,cg05382282,chr1,6164735,0.0539966
CHEK1,0.2745834,cg03474731,chr11,125495234,0.0525066
CHUK,0.7194889,cg05917963,chr10,101988539,-0.03574
CIT,0.5621376,cg10923838,chr12,120242330,0.0195561
CKB,0.1863744,cg12935359,chr14,103987150,0.0168002
CLCA2,0.140569,cg17424433,chr1,86913263,-0.0248492
CLPP,0.65217,cg16848221,chr19,6362787,-0.00458667
CLU,0.09856154,cg03735511,chr8,27461800,0.0541862
CNOT6,0.1432976,cg16245345,chr5,179922339,0.0802535
CNOT6L,0.229703,cg14880894,chr4,78697859,0.0311953
CPEB1,0.3139622,cg07769790,chr15,83317281,-0.0551462
CPT1C,0.01393426,cg00449201,chr19,50193437,0.129615
CREG1,0.5916645,cg22344162,chr1,167523769,-0.0468376
CRISPLD2,0.04142315,cg05923015,chr16,84856950,0.0732853
CSNK1A1,0.8917455,cg03611632,chr5,148932063,0.00765589
CSNK2A1,0.7568294,cg07511836,chr20,464048,0.0118997
CTNNAL1,0.5159157,cg14452121,chr9,111776163,-0.0247359
CTNNB1,0.5235465,cg05726118,chr3,41265374,0.041032
CTSB,0.2209825,cg21919729,chr8,11719367,-0.0205615
CTSD,0.006102664,cg12007048,chr11,1785701,-0.069423
CUX1,0.04755938,cg02725620,chr7,101630650,0.0633407
CXCL1,0.759688,cg19170015,chr4,74734714,0.0242993
CXCR2,0.267745,cg14150666,chr2,218991310,0.0154734
CYB5R3,0.2132369,cg20727362,chr22,43045952,0.0120612
CYP26A1,0.04807577,cg16445268,chr10,94835624,0.127647
DDAH2,3.93e-13,cg15264752,chr6,31697973,-0.341766
DDB2,0.1131975,cg22081008,chr11,47236131,0.042519
DDIT4,0.5597055,cg01839993,chr10,74034644,0.0411978
DGCR8,0.7224502,cg12670310,chr22,20071307,-0.00768005
DHCR24,0.6949701,cg25536676,chr1,55353327,-0.024295
DICER1,0.2788591,cg23126376,chr14,95623091,0.0173932
DIDO1,0.08279186,cg09864671,chr20,61565484,-0.019553
DIRAS3,0.1980421,cg22901840,chr1,68512777,0.515146
DLC1,0.03518389,cg16099871,chr8,13296183,0.0429158
DMTF1,0.8406688,cg05757385,chr7,86782435,0.00314827
DNMT3A,0.002710507,cg13558695,chr2,25500125,0.156591
DNMT3B,0.008421261,cg00300969,chr20,31366486,0.0707158
DOT1L,0.006276155,cg02092181,chr19,2162766,-0.059832
DPP4,0.6928959,cg18892517,chr2,162930244,0.0272685
DPY30,0.5407372,cg16259886,chr2,32265121,0.034933
DUSP1,0.07538489,cg11757894,chr5,172198326,-0.0508164
DUSP3,0.6098715,cg12812662,chr17,41857603,0.0354407
DUSP6,0.4195019,cg20722088,chr12,89742886,0.0315946
E2F1,0.1440188,cg00509772,chr20,32273129,-0.0744077
E2F3,0.3918657,cg00380904,chr6,20468372,-0.0261813
E2F7,0.1700717,cg22480875,chr12,77417567,0.0139224
EEF1E1,0.3115837,cg18093864,chr6,8087916,-0.0110133
EGFR,0.07111012,cg23757825,chr7,55092271,0.0861406
EGLN1,0.9659301,cg18815120,chr1,231512676,0.00049512
EGR2,0.08322087,cg10601026,chr10,64579140,0.0958634
EHF,0.1751363,cg13084525,chr11,34642463,0.0270802
EHMT2,9.71e-16,cg02760218,chr6,31866586,-0.12611
EIF2AK2,0.03475212,cg17326313,chr2,37383568,0.17088
EIF2AK3,0.01467458,cg05707116,chr2,88924001,0.107764
EIF4E,0.6082555,cg02998394,chr4,99849011,-0.0186739
EIF4EBP1,0.4108449,cg17887364,chr8,37891957,0.0489537
EIF4G2,0.2093331,cg08506841,chr11,10830655,0.0252795
ELAVL1,0.1214818,cg19357849,chr19,8071093,-0.0441605
ENDOG,0.9198114,cg13630871,chr9,131583092,-0.00443935
ENG,0.8616585,cg07318313,chr9,130616620,-0.0106532
ENO1,0.2843243,cg13785123,chr1,8931135,-0.0441342
ENTPD7,0.5875085,cg20313873,chr10,101436820,-0.0141892
EPAS1,0.05935861,cg17518825,chr2,46523461,0.0351959
EPHA3,0.1823942,cg18055394,chr3,89156478,-0.0695402
EPOR,0.6345857,cg07625271,chr19,11492376,-0.0159312
ERBB2,0.006797816,cg05616858,chr17,37843591,0.0823598
ERCC1,0.1269746,cg15740759,chr19,45926585,-0.0883757
ERRFI1,0.01189783,cg22678073,chr1,8087421,-0.0423251
ESR1,0.0504915,cg08884395,chr6,152127887,0.106043
ESRRB,0.02576603,cg08072202,chr14,76844671,0.148481
ETS1,0.1688034,cg21695395,chr11,128364143,0.0560253
ETS2,0.02337031,cg23110422,chr21,40182073,-0.0740562
ETV6,0.01338204,cg11655490,chr12,12038352,-0.095616
EWSR1,0.5381093,cg07886712,chr22,29665413,0.0274662
EZH2,0.7356247,cg03661164,chr7,148560646,0.0279408
FASN,0.1628087,cg15948410,chr17,80040611,0.0272285
FASTK,0.1545112,cg01139039,chr7,150778208,0.04603
FBXO31,0.02410675,cg27365499,chr16,87376795,0.134331
FBXO4,0.01007456,cg26810146,chr5,41924792,0.0460175
FBXO5,0.166566,cg22417733,chr6,153303409,-0.0748362
FERMT1,0.7252938,cg25325723,chr20,6104886,-0.0061779
FERMT2,0.6033534,cg12104022,chr14,53385809,0.0283406
FGF21,0.03420257,cg07800524,chr19,49259452,0.0709878
FGFR1,0.10026,cg02043791,chr8,38322629,-0.0465957
FGFR2,0.1929454,cg03471571,chr10,123357075,0.0637199
FGFR3,0.6400651,cg00077738,chr4,1801866,0.0223022
FIS1,0.004243433,cg17944572,chr7,100888748,0.141122
FLT1,0.0111627,cg14283783,chr13,29069941,-0.0637088
FNTB,0.3284627,cg18730905,chr14,65452914,-0.0466407
FOXA1,0.6934377,cg01824511,chr14,38064456,0.0244854
FOXD1,0.5837678,cg19541747,chr5,72744581,0.028906
FOXM1,0.9029855,cg08765490,chr12,2985958,-0.00205828
FOXO1,0.05327218,cg23413567,chr13,41223175,-0.129754
FOXP1,0.08653721,cg02336104,chr3,71481486,-0.0360815
FSCN1,0.1644041,cg01418527,chr7,5631189,-0.0170927
FXN,0.03489081,cg02268013,chr9,71650331,0.113995
FXR1,0.8905013,cg12685548,chr3,180644451,-0.0057137
GAPDH,0.2123128,cg21225563,chr12,6645571,-0.021884
GATA4,0.4106886,cg15644626,chr8,11616798,0.032538
GDF15,0.1230729,cg21088460,chr19,18499786,-0.0286754
GGCT,0.1177298,cg12773030,chr7,30543611,0.0977953
GKN1,0.2833398,cg20475718,chr2,69201798,0.0617926
GMPS,0.2704153,cg19761337,chr3,155588136,0.0640786
GNG11,0.6694232,cg08038054,chr7,93550781,-0.022514
GNMT,0.1579029,cg19051105,chr6,42928407,-0.0901491
GRIK2,0.4114993,cg10815152,chr6,102098727,-0.0454063
GRK4,0.2746183,cg12572295,chr4,3042386,-0.026568
GRK6,0.5551982,cg23176889,chr5,176863531,0.00861232
GRN,0.1636914,cg07935119,chr17,42422355,-0.0665947
HAS1,0.1063192,cg06785213,chr19,52227357,-0.0871508
HAUS4,0.5680438,cg21807240,chr14,23425770,0.0363136
HBP1,0.002093666,cg02696742,chr7,106810147,-0.0788545
HDAC1,0.09522239,cg24468890,chr1,32757294,0.0747458
HDAC3,0.6443513,cg26849931,chr5,141014062,-0.0275577
HDAC4,0.003410356,cg25921544,chr2,240040290,0.130063
HDAC7,0.374147,cg06086316,chr12,48207862,-0.0297274
HEPACAM,0.7344919,cg05768922,chr11,124791389,0.00892947
HIPK2,0.0346797,cg14405813,chr7,139414573,0.0614841
HIRA,0.4148151,cg24860752,chr22,19419956,0.114785
HIVEP1,0.7386863,cg10792727,chr6,12013467,0.00973037
HJURP,0.9604459,cg04550103,chr2,234762281,0.00191581
HK3,0.0275208,cg15914500,chr5,176316668,0.101117
HMGA1,4.86e-05,cg20294304,chr6,34203153,0.261274
HMGA2,0.05218653,cg24776736,chr12,66356357,-0.0566309
HMGCR,0.8739401,cg11003009,chr5,74632112,0.00799455
HNRNPA1,0.4327937,cg02583484,chr12,54677008,0.0949465
HNRNPAB,0.05224037,cg18428006,chr5,177633449,-0.108061
HNRNPC,0.8659767,cg17002899,chr14,21727471,0.0107087
HOPX,0.3657981,cg01330221,chr4,57522689,0.0615437
HRAS,0.06012815,cg22174486,chr11,536817,-0.0737971
HSF1,0.5525936,cg18814314,chr8,145518788,0.00795029
HSP90AA1,0.40386,cg02017208,chr14,102547744,-0.0229005
HSP90AB1,0.2518437,cg00651216,chr6,44213720,-0.0660592
HSPA1A,0.000385431,cg22847691,chr6,31783344,-0.546858
HSPA2,0.8327936,cg08161617,chr14,65006777,-0.0125062
HSPA5,0.09472389,cg13769004,chr9,128004122,-0.124251
HSPA9,0.989488,cg27641051,chr5,137911203,0.000888533
HSPB1,0.621842,cg16567172,chr7,75931606,0.0155294
HTRA1,0.2288204,cg25446361,chr10,124220504,0.0223803
ID1,0.05682563,cg11815991,chr20,30193098,0.0999082
IFI16,0.07807203,cg19939130,chr1,158978468,-0.10978
IGFBP1,0.2749707,cg22108980,chr7,45927824,-0.0542611
IGFBP3,0.2822445,cg08541297,chr7,45962236,0.0602691
IGFBP5,0.564651,cg26724497,chr2,217556803,-0.0202544
IGFBP7,0.04562004,cg21154227,chr4,57904332,-0.0375274
IL1A,0.2177208,cg23974023,chr2,113544294,0.0814066
IL24,0.5474503,cg23909633,chr1,207070539,-0.0316517
IL6,0.002020572,cg01770232,chr7,22766155,-0.0769164
ILF3,0.03449893,cg17848348,chr19,10766748,0.0423284
IMMT,0.03580162,cg23811061,chr2,86423046,-0.0438224
INCENP,0.3109245,cg02397499,chr11,61891354,0.0366246
ING1,0.879883,cg15841412,chr13,111365552,0.00550029
ING5,0.02527861,cg13262212,chr2,242666066,-0.101973
INPP4B,0.01436715,cg22031873,chr4,143765657,-0.0732714
IRAK4,0.4474142,cg27465569,chr12,44153853,0.0359791
IRF1,0.04574328,cg13907973,chr5,131825843,0.0255021
IRF3,0.03593448,cg03172226,chr19,50162898,-0.119217
IRF5,1.77e-10,cg12816198,chr7,128577593,0.147527
IRF7,0.003127114,cg16486109,chr11,613632,-0.0486725
ITGB3,0.1484638,cg10753610,chr17,45335202,0.0838885
ITGB4,0.04185862,cg12146151,chr17,73716945,0.0505238
ITPK1,0.06599367,cg16575291,chr14,93419496,0.039765
ITPKB,0.02656861,cg13500195,chr1,226891357,-0.187083
ITPR1,0.1219702,cg02799411,chr3,4794061,-0.101102
ITPR2,0.3694992,cg01354782,chr12,26522758,0.0575611
ITPR3,1.04e-21,cg18558423,chr6,33653506,-0.470284
ITSN2,0.1383013,cg06992220,chr2,24583671,0.0232993
JAK2,0.152079,cg03390472,chr9,5043263,0.0376353
KAT5,0.004519646,cg11637721,chr11,65486928,-0.205228
KCNA1,0.527946,cg13331526,chr12,5021585,0.0256649
KCNJ12,0.2884488,cg24655009,chr17,21318555,0.0418887
KDM1A,0.5854136,cg01718365,chr1,23345643,-0.0321246
KDM2B,0.08895248,cg09151742,chr12,122018897,-0.0727741
KDM4A,0.1516746,cg08462360,chr1,44119109,-0.0812327
KDM4C,0.5218012,cg14161821,chr9,6955559,-0.0193036
KDM5B,0.0448676,cg14381677,chr1,202778618,-0.0444367
KDM6B,0.03556885,cg23087944,chr17,7757148,-0.0306495
KDR,0.4100574,cg01340163,chr4,55990582,0.0471618
KEAP1,0.5483909,cg15204119,chr19,10613180,0.0123988
KIF11,0.2537347,cg18863837,chr10,94352819,-0.0553129
KIF2C,0.3843203,cg03907454,chr1,45205136,0.0192597
KIFC1,1.54e-12,cg12052754,chr6,33376867,0.611691
KL,0.05262541,cg18056695,chr13,33589285,-0.0521015
KLF4,0.6976319,cg03066050,chr9,110249749,-0.00514486
KNDC1,0.06977623,cg04135960,chr10,134982446,-0.0311201
KRT19,0.4990989,cg05396212,chr17,39683705,0.0249931
KSR2,0.04450031,cg16803088,chr12,118407229,0.101576
LATS1,0.4012787,cg04369109,chr6,150039330,-0.0177016
LATS2,0.1036673,cg15882591,chr13,21608557,0.0219156
LAYN,0.9115963,cg21703322,chr11,111411076,0.0048655
LCN2,0.8161427,cg13518265,chr9,130910662,0.011487
LEO1,0.7681416,cg24148025,chr15,52264263,-0.0141947
LGALS3,0.02667199,cg18273401,chr14,55600338,-0.0665332
LIMA1,0.5147429,cg21150049,chr12,50677498,0.0317906
LIMK1,0.5527361,cg06757357,chr7,73497746,-0.0390639
LIN52,0.2814357,cg26102253,chr14,74666841,-0.10132
LIN54,0.8987971,cg01882498,chr4,83934956,-0.00316223
LIN9,0.7620413,cg17985912,chr1,226497578,-0.0132857
LMNA,0.1138959,cg26667550,chr1,156098772,0.0245418
LMNB1,0.4089645,cg23953133,chr5,126112875,0.0189848
LOX,0.6459465,cg09262269,chr5,121412429,0.0074148
LOXL2,0.09931457,cg17804498,chr8,23167318,0.0447865
LPAR1,0.448532,cg06148685,chr9,113800909,0.0469243
LPAR3,0.02317706,cg21422605,chr1,85313514,0.218899
LY6D,0.1180886,cg17252645,chr8,143867129,-0.0206906
MAD1L1,0.02003131,cg23930681,chr7,2205249,0.096208
MAD2L1,0.5511536,cg05985659,chr4,120988155,0.01605
MAEL,0.3876082,cg00001349,chr1,166958439,-0.0606818
MAF,0.649662,cg00333843,chr16,79627884,0.0213421
MAGOHB,0.3200288,cg20694715,chr12,10766273,-0.0280317
MAP2K1,0.5206568,cg05866062,chr15,66678927,0.0385503
MAP2K2,0.227242,cg25777714,chr19,4102976,0.0533011
MAP2K3,0.2128638,cg10347246,chr17,21193716,0.0357879
MAP2K6,0.7427687,cg17583957,chr17,67536299,0.0178395
MAP2K7,0.5523224,cg25782440,chr19,7979022,0.0371996
MAP3K14,0.08204731,cg15639951,chr17,43367609,-0.0394461
MAP3K5,0.4548829,cg21506299,chr6,137105225,-0.0389872
MAP3K6,0.07876474,cg09230763,chr1,27683351,0.0933953
MAP4K1,0.01117163,cg17792788,chr19,39109619,0.0375931
MAPK1,0.3604081,cg00014104,chr22,22220367,-0.0576067
MAPK12,0.07549885,cg00361695,chr22,50699354,0.0500325
MAPK14,0.1788616,cg20559215,chr6,36076933,-0.0133676
MAPK9,0.7400094,cg00262681,chr5,179720254,0.00447876
MAPKAPK5,0.3906476,cg19563158,chr12,112284205,-0.11352
MARCKS,0.2325122,cg27241808,chr6,114180814,-0.0738797
MAST1,0.4110289,cg09980403,chr19,12975529,0.0281499
MATK,0.4734128,cg11326255,chr19,3786583,0.0157528
MCAM,0.9229689,cg10191494,chr11,119181669,-0.00148252
MCL1,0.9070532,cg17724175,chr1,150552817,0.00207426
MCM3AP,0.5583438,cg14211055,chr21,47704251,-0.027036
MCM7,0.7819405,cg07461273,chr7,99697172,0.0141941
MCRS1,0.173403,cg14267862,chr12,49952407,0.0408339
MDC1,0.000780539,cg26193015,chr6,30683144,0.161863
MDK,0.3739488,cg08604523,chr11,46405046,-0.0695407
ME1,0.1662833,cg16701167,chr6,84141234,0.0431123
ME2,0.1077274,cg26727372,chr18,48404491,0.0667298
MEF2A,0.1768394,cg04219504,chr15,100105188,0.0257653
MEIS2,0.5552274,cg09863630,chr15,37189299,-0.044498
MEN1,0.3649321,cg10879244,chr11,64577190,0.0466428
MEOX1,0.0544648,cg04986591,chr17,41723953,0.0394449
MET,0.250177,cg25299676,chr7,116312739,0.0281796
METTL14,0.6487895,cg18425908,chr4,119606135,0.0214269
MIF,0.2833841,cg01585852,chr22,24235823,-0.0273573
MINK1,0.008748273,cg17788994,chr17,4799244,-0.0610133
MKRN1,0.406626,cg20631969,chr7,140178322,0.0277224
MMP7,0.5250669,cg25511807,chr11,102401438,-0.0161632
MMP9,0.003958439,cg23303369,chr20,44641161,-0.0472841
MNX1,0.04783775,cg05744332,chr7,156799873,-0.0838625
MORF4L1,0.2540439,cg03589001,chr15,79164714,-0.041384
MOS,0.612279,cg22130262,chr8,57026502,-0.0439306
MT1G,0.8214891,cg27367960,chr16,56702038,-0.00466652
MTHFD2,0.5888739,cg22704057,chr2,74425085,0.0252701
MTOR,0.4213826,cg04310074,chr1,11211495,0.0215629
MUC4,0.07600315,cg08223984,chr3,195476016,-0.0791352
MUS81,0.4009889,cg04055107,chr11,65626734,0.0185727
MVK,0.1808977,cg27604975,chr12,110026028,0.0457202
MVP,0.1198019,cg09010156,chr16,29836211,0.0981045
MXD4,0.719712,cg20935156,chr4,2252845,0.0120387
MYBBP1A,0.4815424,cg10612383,chr17,4459172,-0.0233461
MYBL2,0.3909711,cg09604203,chr20,42296114,-0.0632703
MYCN,0.9073278,cg19623054,chr2,16085728,0.00229285
MYLK,0.3160642,cg18731398,chr3,123414733,0.0340984
NACC1,0.6170075,cg16671682,chr19,13249201,0.0192404
NADK,0.3087315,cg18947110,chr1,1688383,-0.0322958
NANOG,0.6188005,cg01663696,chr12,7942817,0.0136054
NBR1,0.5444499,cg05368731,chr17,41323189,-0.00601748
NCAPG2,0.4302308,cg17906105,chr7,158488980,0.0271225
NDRG1,0.3120534,cg14044167,chr8,134271505,0.00959821
NDST2,0.2445144,cg16540259,chr10,75572220,0.0810386
NEDD4,0.2437879,cg20929476,chr15,56284168,0.0337242
NEK1,0.2440412,cg04384893,chr4,170533734,0.0541272
NEK2,0.2272559,cg21395147,chr1,211849137,0.0710741
NEK4,0.002956404,cg10802521,chr3,52805072,-0.039502
NEK6,1.27e-06,cg13512951,chr9,127029180,-0.0625863
NEK9,0.008433257,cg09945151,chr14,75594005,-0.0797435
NF1,0.05187546,cg06729676,chr17,29421871,0.129368
NF2,0.3215577,cg10400825,chr22,29999397,-0.0600753
NFE2L2,0.4141012,cg26271591,chr2,178125956,-0.0214113
NFKB2,0.06600698,cg23779220,chr10,104159695,-0.0243714
NFKBIA,0.4085324,cg16518861,chr14,35871715,0.0118496
NHEJ1,0.1355418,cg08530484,chr2,220024606,0.0629577
NINJ1,0.02993137,cg13538006,chr9,95897313,-0.0804063
NIPA2,0.01290082,cg27514038,chr15,23035493,-0.102913
NLK,0.4246323,cg15704699,chr17,26439377,0.0517795
NLRX1,0.9840926,cg03029752,chr11,119038708,-0.00152596
NOLC1,0.114533,cg16657244,chr10,103911592,0.0403945
NOTCH1,0.0327101,cg12076931,chr9,139427171,-0.0230938
NOTCH3,0.04909387,cg14696996,chr19,15285081,-0.0407718
NOX4,0.4403284,cg25638870,chr11,89224717,0.00914823
NPM1,0.8346972,cg02478379,chr5,170814123,0.0127235
NR1H2,0.861608,cg24440997,chr19,50879393,0.00644866
NR2E1,0.1734515,cg22476027,chr6,108492642,-0.111307
NRF1,0.08979648,cg14652524,chr7,129299889,-0.0180951
NSUN2,0.1107901,cg10459717,chr5,6633577,-0.078954
NTN4,0.1831286,cg04923773,chr12,96161502,0.0486439
NUAK1,0.3283388,cg05647733,chr12,106474322,0.0667702
NUAK2,0.6226238,cg01012936,chr1,205289384,-0.0170218
NUTF2,0.4677454,cg16485385,chr16,67881857,-0.0552114
OGG1,0.03168046,cg25415932,chr3,9791051,-0.103281
OPA1,0.07600702,cg23144852,chr3,193405999,-0.0701202
ORAI1,0.2891731,cg01774878,chr12,122063005,-0.023963
OTX2,0.4716209,cg18241942,chr14,57277739,-0.0355894
OXTR,0.3347189,cg11589699,chr3,8806317,-0.0294711
PAK2,0.7594013,cg06034459,chr3,196515643,-0.0163138
PAK4,0.1621455,cg15149491,chr19,39662958,0.0637291
PAPSS2,0.05870773,cg13926569,chr10,89418898,-0.0420033
PARK7,0.009008096,cg25007680,chr1,8021821,-0.128033
PARP1,0.7983838,cg18590995,chr1,226558496,0.00971327
PATZ1,0.8525962,cg00930606,chr22,31740944,-0.0167256
PAX8,0.08134057,cg00354484,chr2,114007283,0.0989626
PCGF2,0.3958545,cg21692159,chr17,36898937,-0.0619071
PDCD10,0.05283264,cg18801567,chr3,167450363,-0.0470651
PDGFB,0.0133162,cg20773033,chr22,39635187,-0.163215
PDIK1L,0.06635138,cg02957197,chr1,26449233,0.101935
PDZD2,0.06419382,cg22461201,chr5,31798797,-0.0185511
PELP1,0.8638823,cg23387401,chr17,4582204,0.0104626
PES1,0.8266206,cg06488842,chr22,30988475,-0.00396871
PGR,0.6691242,cg27121959,chr11,100905070,0.00858238
PHB2,0.02159894,cg15778232,chr12,7081145,0.0853277
PHGDH,0.6194295,cg04086443,chr1,120286814,0.0261236
PIK3CA,0.1389839,cg24272902,chr3,178867151,0.20446
PIK3R5,0.1870082,cg02823329,chr17,8792092,0.013718
PINK1,0.2026688,cg17183232,chr1,20958590,0.0433235
PINX1,0.2754376,cg16970850,chr8,10623534,-0.0111862
PITX1,0.3556498,cg22827250,chr5,134363823,0.0804888
PLA2G2A,0.3728953,cg25755892,chr1,20307463,0.0379404
PLA2R1,0.1606749,cg14032856,chr2,160839557,0.0750275
PLD2,0.04745559,cg04103918,chr17,4726687,-0.0524853
PML,0.108398,cg19394923,chr15,74286704,-0.0560414
PMVK,0.04057197,cg23803022,chr1,154908781,-0.0959987
PNPT1,0.3005493,cg25620797,chr2,55921863,0.0293352
PON1,0.5485628,cg05433222,chr7,94948020,-0.035263
POT1,0.1987237,cg05285228,chr7,124571219,-0.0154798
POU3F1,0.9853686,cg12622182,chr1,38513641,-0.00146295
POU5F1,2.19e-34,cg22994781,chr6,31139359,-0.258233
PPARG,6.82e-05,cg04908300,chr3,12330532,-0.329011
PPARGC1A,0.4282934,cg27514608,chr4,23892540,0.0365138
PPM1B,0.2328308,cg25371329,chr2,44400179,-0.0693267
PPP1R13B,0.6781941,cg03586793,chr14,104312558,0.03151
