cpg,logFC_M,dbeta,t,p_raw,p_bacon,fdr_bacon,gene,direction
cg08561895,0.264195305017017,0.000711727156267328,4.46495489873304,1.57160709824268e-05,6.52290824152218e-05,0.480472761850351,WNT11,hyper
cg08873912,0.196710244262879,0.0153713966995764,4.44947701124707,1.67490273342928e-05,6.90305921515315e-05,0.493516394908879,,hyper
cg24135615,0.159142712010381,0.0202896321658268,4.44804486529517,1.68478419467805e-05,6.93927419312737e-05,0.493516394908879,LASP1,hyper
cg14158573,0.155071191323699,-0.00147569351575402,4.44287007469262,1.72095880749323e-05,7.07163404640915e-05,0.493942598974727,DSTN,hypo
cg23095383,-0.19222716620741,0.0221142637509156,-4.70118370553638,5.83944158377159e-06,7.18475896223045e-05,0.493942598974727,PTPRC,hyper
cg26817334,0.182172269676817,0.0175551189880723,4.42348682836131,1.86321807973293e-05,7.58895020360152e-05,0.496378398222003,,hyper
cg06473288,-0.160646837832768,0.0407890593204678,-4.68334878929778,6.30018256366316e-06,7.66663770058521e-05,0.496378398222003,TAP1,hyper
cg01695083,-0.160507675779497,-0.0116908510877159,-4.68217137972036,6.33180526400868e-06,7.69950222204325e-05,0.496378398222003,SEC16A,hypo
cg23572944,0.162351095039102,-0.0168781812778351,4.41943440288976,1.89435803108427e-05,7.70153542037377e-05,0.496378398222003,SLC15A3,hypo
cg06858835,-0.153693865083988,0.0204916222538065,-4.66256750261097,6.88141560863413e-06,8.26665691500754e-05,0.524173994694349,C6orf103,hyper
cg17811608,-0.190671287578899,-0.0032373175294028,-4.65857355170978,6.99890844993184e-06,8.38694657104309e-05,0.524173994694349,,hypo
cg01159149,-0.134302084256938,-0.000778564173324142,-4.63485720566158,7.73754100424385e-06,9.13600959610547e-05,0.562467294077125,EIF4G2,hypo
cg00124011,-0.441429141174225,-0.00883383527900633,-4.6259064791785,8.03542332816192e-06,9.43479856570652e-05,0.572320430877267,PRDM2,hypo
cg19351628,0.195426021897127,-0.0251558632326112,4.34763870735007,2.53653243596741e-05,9.97784819703867e-05,0.572483304472457,,hypo
cg13827970,-0.226820272932078,-0.000469833385459861,-4.60982886836623,8.59852236249672e-06,9.99480251758395e-05,0.572483304472457,GCH1,hypo
